Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y3(1+),421.15,723.45,b8-(H3PO4)(1+),5525.633423946464,6392.853897617853,0.136
2,b5(1+),566.15,676.53,y6(1+),2158.59878397223,5563.694032017447,0.126
3,b3(1+),339.86,902.74,y8(1+),10093.57927524231,5290.477655304979,0.325
4,b6-(H3PO4)(1+),539.32,605.48,y5(1+),2915.089658298414,5283.806064554656,0.122
5,y4(1+),492.13,652.41,b7-(H3PO4)(1+),6009.225379432184,4655.220922552109,0.179
6,y5(1+),605.42,637.19,b6(1+),2119.255177413705,4598.166251440612,0.05
7,y3(1+),421.17,821.4,b8(1+),2610.643056971181,4557.7382195754835,0.108
8,y2(1+),273.87,870.5,b9-(H3PO4)(1+),1605.361922726926,4343.956936309886,0.326
9,y2(1+),273.93,968.44,b9(1+),1376.09375756632,3175.91012069215,0.262
10,b5-(H3PO4)(1+),468.17,676.64,y6(1+),517.3981213144202,3104.8521519784795,0.233
11,y4(1+),492.23,750.38,b7(1+),2205.9694725682675,2619.6915501160374,0.092
12,y3(1+),421.19,803.37,b8-(H2O)(1+),681.9637430240822,2071.968147387038,0.081
13,y2(1+),273.83,950.46,b9-(H2O)(1+),283.1663666468917,1746.702960139263,0.365
14,y3(1+),421.13,705.85,ai(2-8)(1+),387.0267406308614,1720.2037716737984,0.478
,y3(1+),421.13,705.85,a7-(NH3)(1+),387.0267406308614,1720.2037716737984,0.585
15,b3-(H3PO4)(1+),241.7,902.95,y8(1+),868.7501760879646,1667.915577001023,0.601
16,bi(3-6)-(H3PO4)(1+),380.98,605.44,y5(1+),329.1347448574448,1648.5785358157705,0.209
17,a5-(NH3)(1+),521.16,605.48,y5(1+),326.85368900647694,1617.7383829607195,0.1
18,bi(3-4)(1+),278.81,805.49,y7(1+),69.61669818902803,1457.4090870125385,0.262
,a3-2(NH3)(1+),278.81,805.49,y7(1+),69.61669818902803,1457.4090870125385,0.771
19,b4(1+),437.06,805.68,y7(1+),58.72343358339586,1436.7858202016023,0.234
20,bi(4-6)(1+),297.85,605.48,y5(1+),160.54885118875978,1407.9411260252857,0.307
21,y2(1+),273.91,852.72,ai(2-9)(1+),120.4432794448391,1237.8889183307576,0.717
22,y2(1+),273.8,712.59,bi(3-9)-(H3PO4)(1+),118.95751945359028,1217.4659504003932,0.448
23,bi(4-5)(1+),226.66,676.49,y6(1+),80.36918432780169,1166.388339876291,0.447
,ai(8-10)-2(NH3)-(HCOH)(1+),226.66,676.49,a7-(HCOOH)(1+),80.36918432780169,1166.388339876291,0.572
24,y4(1+),492.07,732.32,b7-(H2O)(1+),373.217049122272,1137.2774358086433,0.221
25,a5-(HCOOH)(1+),492.17,634.36,y6-(HN=C=NH)(1+),315.49240641995203,1104.2371014520365,0.032
26,b3-(HCOH)(1+),309.86,676.51,y6(1+),101.1787171210609,1060.9160681948533,0.242
,bi(3-5)-(H3PO4)(1+),309.86,676.51,y6(1+),101.1787171210609,1060.9160681948533,0.297
,b4-(H3PO4)-(HCOH)(1+),309.86,676.51,y6(1+),101.1787171210609,1060.9160681948533,0.707
27,b4-(H3PO4)(1+),338.82,805.7,y7(1+),107.38593889827219,1034.5232976219231,0.424
28,bi(3-4)-(H3PO4)(1+),180.41,805.55,y7(1+),14.006405491344387,857.8713412220699,0.696
29,y2-(H2O)(1+),256.56,870.49,b9-(H3PO4)(1+),55.5312732588887,802.8486999338319,0.383
,y2-(NH3)(1+),256.56,870.49,b9-(H3PO4)(1+),55.5312732588887,802.8486999338319,0.602
