Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,b3(1+),472.12,519.33,y5(1+),33253.13569317337,1279.4848475557342,0.175
2,y3-(H2O)(1+),387.16,586.37,b5(1+),9496.333241537015,982.6867188562597,0.067
3,y4(1+),462.32,529.41,b4(1+),6751.068549970272,861.7447174421045,0.156
4,b2(1+),287.88,703.42,y6(1+),8222.571489131074,852.8551547021312,0.255
5,b2(1+),288.02,685.47,y6-(H2O)(1+),6485.615246795245,733.9114201215024,0.156
6,y2-(H2O)(1+),257.58,714.87,b6(1+),76494.00078969025,708.0321046617227,0.745
7,,324.56,603.2,,1590.2315124459997,533.3791172708814,
8,y3(1+),405.07,586.24,b5(1+),3577.018110724727,518.0761859436166,0.148
9,y3-2(H2O)(1+),369.13,586.13,b5(1+),1970.2489948343766,454.51057265744765,0.187
10,b2(1+),287.89,658.28,y6-(CH3NHCH3)(1+),2360.0812570438366,452.16139639994725,0.243
11,y2(1+),275.59,715.52,b6(1+),61341.48089416367,442.7600940752328,0.595
12,b2(1+),288.12,519.22,y5(1+),4735.544026293036,422.58336276788253,0.022
13,bi(2-2)(1+),187.0,703.71,y6(1+),1630.4577987264213,406.83697505678504,0.352
14,,487.29,604.19,,8771.304063574464,396.90117769718336,
15,,402.33,519.27,,2141.9006925407784,393.75972113281136,
16,b2(1+),287.84,557.08,bi(3-7)(1+),1263.8522073565807,382.76130098872505,0.347
17,a2(1+),260.1,703.32,y6(1+),4379.49214744782,374.8656232428018,0.058
18,b2-(H2O)(1+),270.0,703.66,y6(1+),1409.1439447979596,373.09040895370526,0.314
19,bi(4-7)(1+),373.06,472.29,b3(1+),4046.565587359481,369.39087946215506,0.082
20,,453.15,518.97,,4694.606252690242,366.4906891013745,
21,,287.68,615.96,,1019.4212879406614,365.6238448511143,
22,b2(1+),287.88,667.37,y6-2(H2O)(1+),1168.1530165505947,362.1743099621476,0.251
23,,800.31,818.33,,1736.997700750488,338.4310420398334,
24,,221.73,715.89,,19226.27302015547,326.66120826354404,
25,bi(2-2)(1+),186.43,685.46,y6-(H2O)(1+),992.9213526535647,325.79830709952864,0.668
26,,380.42,729.32,,748.0463413874993,324.7001429358429,
27,,239.3,715.34,,23187.86206762239,323.89126098030044,
28,a2(1+),260.16,557.32,bi(3-7)(1+),1896.198140947338,319.13325137335073,0.058
29,b2(1+),287.78,640.67,y6-(H2O)-(CH3NHCH3)(1+),1054.666022747102,318.6418364275397,0.502
,b2(1+),287.78,640.67,y6-(NH3)-(CH3NHCH3)(1+),1054.666022747102,318.6418364275397,0.712
30,y2(1+),275.74,670.9,a6-(NH3)(1+),7310.023337599873,314.4287188918591,0.708
,y2(1+),275.74,670.9,b6-(CH3NHCH3)(1+),7310.023337599873,314.4287188918591,0.732
31,y1(1+),146.61,826.53,b7-(H2O)(1+),1710.917118279637,313.31287644781247,0.522
32,,699.79,733.51,,1473.899238186092,303.30251624798944,
33,,477.61,801.07,,3722.1909512246853,300.26827823018425,
34,,456.83,816.67,,3151.610526789712,292.80610341669444,
35,ai(2-2)(1+),158.77,703.53,y6(1+),934.1070198835354,292.3387740285506,0.358
36,,240.41,316.55,,1305.2494994302422,291.82910933783864,
37,,633.94,844.98,,2359.2227754490386,291.59491036055124,
38,,427.15,546.41,,383.21645213980355,288.0069721284969,
39,,456.67,640.65,,1662.2551052207566,287.51494581324806,
40,,628.49,863.01,,2442.8368238528715,287.0320100499294,
41,,809.02,862.16,,1375.768303495852,284.5037139745678,
42,a3-(NH3)(1+),427.76,519.17,y5(1+),2477.033453988955,284.20799480317174,0.525
,b3-(CH3NHCH3)(1+),427.76,519.17,y5(1+),2477.033453988955,284.20799480317174,0.554
43,y2(1+),275.65,687.78,a6(1+),6995.740210811706,283.80632360008485,0.667
44,b3(1+),472.15,501.45,y5-(H2O)(1+),2696.8800220591397,281.4557274384104,0.251
,b3(1+),472.15,501.45,y5-(NH3)(1+),2696.8800220591397,281.4557274384104,0.769
45,,251.34,486.63,,1013.4400636227989,280.7876295290711,
46,b3(1+),472.91,485.54,y5-2(NH3)(1+),2813.2055486593713,274.8615487926228,0.729
47,,362.26,843.57,,1860.5949137819434,272.28439392549046,
48,,221.66,808.87,,685.3918388995468,268.9427801190672,
49,,716.16,891.51,,1898.0574196114721,268.3832443146345,
50,,352.44,817.82,,1583.3795172525065,267.3862725843069,
51,,187.09,600.29,,1187.757088010077,266.55011834293464,
52,,145.57,486.25,,1830.9468162051307,266.18792356238396,
53,,248.29,743.34,,533.8536948555698,265.62278583388513,
54,,169.3,478.76,,1264.0311268418955,264.632572931144,
55,,800.85,928.29,,1108.8540448230463,263.638512265765,
56,y3-2(NH3)(1+),371.77,568.91,b5-(NH3)(1+),598.6252592069413,263.5486941035676,0.722
57,,288.25,782.94,,892.9639549093278,263.0468944859266,
58,,530.38,587.18,,1006.2608191242141,260.800094576297,
59,,212.67,716.08,,3101.8574500806762,257.4036624158802,
60,bi(2-2)(1+),186.75,640.23,y6-(H2O)-(CH3NHCH3)(1+),513.9448951120232,256.9333548169812,0.349
61,,558.73,862.68,,1245.99022406307,256.89374191548467,
62,y2-2(H2O)-(HCOOH)(1+),194.67,715.42,b6(1+),5736.727977762673,256.488723897888,0.545
63,,716.76,853.66,,1387.3507523353742,256.24599902394186,
64,ai(2-2)(1+),158.52,640.37,y6-(H2O)-(CH3NHCH3)(1+),477.70867885743166,255.00084411834968,0.573
65,ai(2-4)-(NH3)-(CH3NH2)(1+),352.23,444.94,y4-(NH3)(1+),2446.006479505143,252.48032400628156,0.257
,ai(2-4)-(NH3)-(CH3NH2)(1+),352.23,444.94,y4-(H2O)(1+),2446.006479505143,252.48032400628156,0.732
66,,272.78,844.36,,2181.514922808636,251.93266181508636,
67,,431.96,687.76,,2409.2574094270426,249.72194489063864,
68,,275.72,854.97,,1112.976983877403,249.5047525662331,
69,,472.97,902.37,,2580.785160915574,247.78563753008527,
70,,187.44,947.01,,653.4341055080977,247.0929325077559,
71,y3-(H2O)(1+),387.56,452.75,a4-(H2O)-(HCOH)(1+),2151.966703677387,246.9133131253,0.638
72,,716.13,882.3,,652.946553981641,246.72846149544299,
73,,405.23,685.02,,1413.961237335834,246.25265614526595,
74,,372.92,428.51,,671.5418900801673,245.0694222247792,
75,,276.39,883.91,,751.2641402419248,244.9102150379644,
76,,269.96,862.47,,1204.06065184008,244.40273286368372,
77,,608.13,659.7,,622.4816690023141,243.4803400266656,
78,,687.03,697.01,,1889.212692505452,242.80681017985384,
79,,257.33,509.77,,1736.4663175418432,242.6456518303353,
80,,488.39,865.14,,4319.900140965218,242.23781541307844,
81,,704.41,817.61,,1902.3676150162385,241.9000985735626,
82,y4-(H2O)(1+),443.84,529.51,b4(1+),945.1437768612731,241.66861973055538,0.43
83,,716.07,732.13,,1191.6901502936262,241.29684560820857,
84,,845.11,901.31,,1720.3406601876095,240.45825976067619,
85,,422.68,444.82,,3008.897622498696,240.35578535807147,
86,,317.42,844.21,,2004.8600130123004,239.8115208338147,
87,,408.6,861.96,,1899.2586107257755,239.56557536473693,
88,,519.18,890.46,,921.3560955344581,238.96649030003135,
89,,659.33,703.47,,1450.4013184190771,238.93922069316724,
90,,257.7,688.05,,5324.396078394248,238.84483106008352,
91,,258.1,871.61,,1603.880095339373,238.42657134265716,
92,,452.74,587.45,,1686.6581557973411,238.2990397574949,
93,,223.15,408.8,,2909.343707946355,238.24603861259294,
94,,352.07,474.35,,8784.290016687468,238.1470157765662,
95,,331.51,586.27,,582.8624751793513,237.37778765552966,
96,,222.24,603.52,,1365.6794309722336,236.7887509929972,
97,,488.05,765.36,,1104.025099288028,236.62921692218023,
98,,420.63,714.93,,2165.624962149058,235.07383885844317,
99,,329.07,455.67,,835.1071058239079,234.95134776882915,
100,,611.27,826.09,,427.22104019164783,234.5628180294836,
101,,486.28,825.87,,2757.963041471862,233.0639040856002,
102,bi(4-6)-(H2O)-(HCOH)(1+),196.13,275.6,y2(1+),770.3996612629944,232.70577768389003,0.563
,a2-2(NH3)-(HCOH)(1+),196.13,275.6,y2(1+),770.3996612629944,232.70577768389003,0.563
103,,213.0,818.07,,508.67143417189845,230.59310558873818,
104,y2-2(H2O)(1+),240.12,512.72,b4-(NH3)(1+),1017.4507124963048,229.99957418560584,0.46
,ai(5-7)-(H2O)-(HCOH)(1+),240.12,512.72,b4-(NH3)(1+),1017.4507124963048,229.99957418560584,0.461
,b2-(H2O)-(HCOH)(1+),240.12,512.72,ai(3-7)-(NH3)(1+),1017.4507124963048,229.99957418560584,0.48
,b2-(H2O)-(HCOH)(1+),240.12,512.72,bi(3-7)-(CH3NHCH3)(1+),1017.4507124963048,229.99957418560584,0.51
,y2-2(H2O)(1+),240.12,512.72,a5-(CH3NHCH3)(1+),1017.4507124963048,229.99957418560584,0.53
105,,557.8,800.37,,778.9230244746486,229.75200728037996,
106,,276.32,782.11,,2661.3017770686906,228.96713793054334,
107,bi(3-3)-(H2O)(1+),166.36,456.4,y5-(NH3)-(HCOOH)(1+),742.7215394972127,228.33515369237304,0.793
108,,239.91,744.38,,922.3963151081691,226.92505641406342,
109,,364.2,478.01,,1571.1709502481322,226.6766976704818,
110,ai(3-5)-2(H2O)-(CH3NH2)(1+),203.62,222.06,b2-2(H2O)-(HCOH)(1+),626.7496840970432,226.3735845139159,0.502
111,,327.3,826.21,,591.1543701689465,225.43647040203888,
112,y2-2(NH3)-(HCOH)(1+),212.0,257.82,b2-(HCOH)(1+),1621.052772914355,224.83696719385694,0.313
,y2-(H2O)-(HCOOH)(1+),212.0,257.82,b2-(HCOH)(1+),1621.052772914355,224.83696719385694,0.331
,a2-(H2O)-(HCOH)(1+),212.0,257.82,y2-(H2O)(1+),1621.052772914355,224.83696719385694,0.348
113,,222.0,735.9,,729.6998024198439,224.0228773802756,
114,y2-2(H2O)(1+),239.96,586.16,b5(1+),3466.404176742948,223.2834800894327,0.227
,y2-2(H2O)(1+),239.96,586.16,ai(2-6)(1+),3466.404176742948,223.2834800894327,0.227
115,,519.02,743.29,,757.1780864860905,223.13288204680265,
116,,452.02,671.36,,2776.8065460970624,222.59536398257117,
117,,325.91,688.11,,1842.3106251388772,222.57368823358885,
118,,845.79,864.81,,4453.14255417068,222.25377752953827,
119,bi(2-2)-(H2O)(1+),168.29,686.23,y6-(NH3)(1+),271.83595541542337,220.71300199908455,0.799
120,,456.77,801.75,,1244.3634465781536,220.63850436818407,
121,,444.86,825.69,,1365.8603276235137,218.65675236406278,
122,,703.76,888.91,,501.2147866966071,217.67685335955525,
123,,390.53,845.38,,3940.838792224178,217.53599062394133,
124,b2-(HCOH)(1+),257.96,335.28,ai(3-6)-2(NH3)-(CH3NH2)(1+),2597.2879328109802,217.33291941006624,0.219
,y2-(H2O)(1+),257.96,335.28,ai(3-6)-2(NH3)-(CH3NH2)(1+),2597.2879328109802,217.33291941006624,0.242
125,,399.64,864.42,,1576.5478326706746,217.09273512826513,
126,b2-(HCOH)(1+),258.35,381.8,y4-2(NH3)-(HCOOH)(1+),1958.1924663415168,217.04932022007085,0.427
,y2-(H2O)(1+),258.35,381.8,bi(3-6)-(HCOOH)(1+),1958.1924663415168,217.04932022007085,0.465
,y2-(H2O)(1+),258.35,381.8,ai(3-6)-(H2O)(1+),1958.1924663415168,217.04932022007085,0.465
,b2-(HCOH)(1+),258.35,381.8,ai(3-6)-(H2O)(1+),1958.1924663415168,217.04932022007085,0.479
,b2-(HCOH)(1+),258.35,381.8,bi(3-6)-(HCOOH)(1+),1958.1924663415168,217.04932022007085,0.479
127,,326.34,404.69,,648.9250249030879,216.28026916767104,
128,,464.57,586.41,,1518.4283446875572,216.26194590334944,
129,,156.72,862.45,,1112.1662178567228,216.05797868895027,
130,,671.6,733.24,,879.8802767948044,215.86006412457942,
131,,605.27,698.34,,684.9566024033616,215.83765328003975,
132,,275.77,326.32,,2566.2738743876494,214.9214694231495,
133,,587.49,827.39,,772.7309880973545,214.60397495741512,
134,a2-2(H2O)-(HCOH)(1+),194.6,672.53,y6-(CH3NH2)(1+),1152.09008443952,214.42891806442384,0.539
