Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,b9-(NH3)(2+),394.12,523.37,y5(1+),129595.86962609868,2367.0639525288166,0.125
,b9-(H2O)(2+),394.12,523.37,y5(1+),129595.86962609868,2367.0639525288166,0.444
2,y3(1+),319.06,496.16,b11-(NH3)(2+),77880.54099818108,2073.21852296066,0.125
,y3(1+),319.06,496.16,b11-(H2O)(2+),77880.54099818108,2073.21852296066,0.444
3,b7-(NH3)(2+),337.01,637.4,y7(1+),85808.436438972,1996.7767579054478,0.175
,b7-(H2O)(2+),337.01,637.4,y7(1+),85808.436438972,1996.7767579054478,0.361
4,b9(2+),402.71,523.36,y5(1+),97645.76042974665,1978.2262529559996,0.102
,b5-(HCOH)-(HCOH)(1+),402.71,523.36,y5(1+),97645.76042974665,1978.2262529559996,0.471
5,bi(10-12)(1+),262.01,804.43,b9(1+),51988.944982927336,1963.3681781107068,0.121
,y5(2+),262.01,804.43,b9(1+),51988.944982927336,1963.3681781107068,0.139
,y2(1+),262.01,804.43,b9(1+),51988.944982927336,1963.3681781107068,0.149
6,y9(2+),432.77,463.16,b5(1+),230713.4008251529,1922.0699380593542,0.05
,b5-(HCOH)(1+),432.77,463.16,y5-(HCOH)-(HCOH)(1+),230713.4008251529,1922.0699380593542,0.418
,a6-(HCOH)-(HCOH)(1+),432.77,463.16,y5-(HCOH)-(HCOH)(1+),230713.4008251529,1922.0699380593542,0.585
7,y3(1+),319.03,504.82,b11(2+),80061.02243847307,1919.9727560270126,0.161
8,a4(1+),348.03,476.38,y10(2+),322039.6083431223,1915.8995678763988,0.191
,a4(1+),348.03,476.38,y5-(NH3)-(HCOH)(1+),322039.6083431223,1915.8995678763988,0.198
9,b4(1+),376.1,467.68,y10-(NH3)(2+),285220.8755743548,1836.7056282599317,0.078
,y4(1+),376.1,467.68,b10-(NH3)(2+),285220.8755743548,1836.7056282599317,0.095
,b4(1+),376.1,467.68,y10-(H2O)(2+),285220.8755743548,1836.7056282599317,0.444
,y4(1+),376.1,467.68,b10-(H2O)(2+),285220.8755743548,1836.7056282599317,0.469
10,b7(2+),345.63,637.38,y7(1+),57043.166453615406,1677.6600468601825,0.081
,b4-(HCOH)(1+),345.63,637.38,y7(1+),57043.166453615406,1677.6600468601825,0.525
11,b8-(NH3)(2+),365.48,580.38,y6(1+),41623.91164773839,1600.4401965318127,0.215
,b8-(H2O)(2+),365.48,580.38,y6(1+),41623.91164773839,1600.4401965318127,0.316
12,b3-(H2O)(1+),210.78,549.94,y11(2+),76903.11380546233,1475.6132268876668,0.34
,b3-(H2O)(1+),210.78,549.94,y6-(HCOH)(1+),76903.11380546233,1475.6132268876668,0.446
,bi(7-8)-(NH3)(1+),210.78,549.94,y6-(HCOH)(1+),76903.11380546233,1475.6132268876668,0.474
