Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y4(1+),487.33,940.46,b8(1+),225002.18038772594,2247.9740208760118,0.067
2,y5(1+),600.41,827.36,b7(1+),158667.88964648038,2054.7114608792854,0.076
3,y3(1+),359.1,1068.7,b9(1+),163416.7755634568,2013.9794401229037,0.184
4,y4(1+),487.33,922.49,b8-(H2O)(1+),113788.1003124648,1860.9006223043948,0.036
5,b5(1+),542.34,885.45,y7(1+),32224.627586329083,1312.0390930461506,0.081
6,y3(1+),359.08,1050.69,b9-(H2O)(1+),45771.795183572445,1152.2074723409276,0.2
7,b5-(H2O)(1+),524.19,885.65,y7(1+),15050.615649713813,959.751855624579,0.164
8,y2(1+),245.97,1181.49,b10(1+),46857.94902866201,954.1697156581959,0.255
9,y2(1+),245.91,1163.9,b10-(H2O)(1+),15458.333152210185,633.8147399997426,0.354
,y2(1+),245.91,1163.9,b10-(NH3)(1+),15458.333152210185,633.8147399997426,0.772
10,y4-(NH3)(1+),470.0,940.39,b8(1+),14515.87913993388,609.7262991995385,0.3
,y4-(H2O)(1+),470.0,940.39,b8(1+),14515.87913993388,609.7262991995385,0.722
11,y5(1+),600.51,809.43,b7-(H2O)(1+),22316.168724866333,609.3037744875863,0.13
12,bi(5-7)(1+),383.02,600.43,y5(1+),24668.792627882613,601.999823303733,0.177
,a4-2(NH3)(1+),383.02,600.43,y5(1+),24668.792627882613,601.999823303733,0.187
13,y5(1+),600.46,694.37,b6-(H2O)(1+),51493.62302698241,546.6022908836362,0.085
,y5(1+),600.46,694.37,bi(2-7)-2(NH3)(1+),51493.62302698241,546.6022908836362,0.1
14,b4(1+),444.78,982.45,y8(1+),221349.79695430008,546.5493929915439,0.485
15,b5-(CH3CH2SCH3)(1+),466.06,885.51,y7(1+),3067.4916359273248,497.85733561108395,0.21
,a5-(H2O)-(HCOH)(1+),466.06,885.51,y7(1+),3067.4916359273248,497.85733561108395,0.22
,a5-(CH3SH)(1+),466.06,885.51,y7(1+),3067.4916359273248,497.85733561108395,0.24
,b5-(CH2S)-(HCOH)(1+),466.06,885.51,y7(1+),3067.4916359273248,497.85733561108395,0.24
16,b3-(H2O)(1+),295.77,1113.42,y9(1+),111924.5314065502,478.8949920995802,0.47
17,y3(1+),359.17,624.25,bi(5-9)(1+),9815.532383390733,469.5334530644531,0.114
,y3(1+),359.17,624.25,a6-(CH3COOH)(1+),9815.532383390733,469.5334530644531,0.157
18,,514.19,886.54,,6451.580285806683,464.4021707947421,
19,,324.07,1068.38,,5842.686617531155,460.10220428366745,
20,,490.83,981.88,,35087.00396211573,452.6829588607294,
21,a4(1+),416.79,982.31,y8(1+),134532.81539114582,445.1162386778125,0.528
