Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,b3-(H2O)(1+),296.01,557.48,y9(2+),1101694.9806345506,2218.3398625040927,0.242
2,b8-(H2O)(2+),461.85,487.38,y4(1+),430959.651853323,2020.594481965544,0.106
,bi(5-8)-2(NH3)(1+),461.85,487.38,y4(1+),430959.651853323,2020.594481965544,0.418
,b8-(NH3)(2+),461.85,487.38,y4(1+),430959.651853323,2020.594481965544,0.428
3,b4(1+),445.09,491.85,y8(2+),1194047.3387638826,1803.4095013013632,0.165
4,b7(2+),414.33,600.45,y5(1+),91429.91827490038,1342.4138692617707,0.114
5,a4(1+),417.07,491.86,y8(2+),411136.6994306995,1271.2100502896035,0.187
6,y3(1+),359.13,534.98,b9(2+),85470.60163295512,1244.7321365079488,0.202
7,b4-(CH3CH2SCH3)(1+),369.06,492.02,y8(2+),322746.79375174176,1112.0854249508598,0.258
,a4-(H2O)-(HCOH)(1+),369.06,492.02,y8(2+),322746.79375174176,1112.0854249508598,0.27
,b4-(CH2S)-(HCOH)(1+),369.06,492.02,y8(2+),322746.79375174176,1112.0854249508598,0.283
,a4-(CH3SH)(1+),369.06,492.02,y8(2+),322746.79375174176,1112.0854249508598,0.283
8,b2(1+),200.55,613.95,y10(2+),1052975.8265823992,1096.2676156851344,0.576
9,y3(1+),359.11,526.01,b9-(H2O)(2+),52159.6935121058,1060.9228439185572,0.247
,y3(1+),359.11,526.01,b9-(NH3)(2+),52159.6935121058,1060.9228439185572,0.318
,y3(1+),359.11,526.01,b5-(NH3)(1+),52159.6935121058,1060.9228439185572,0.751
10,b4-(H2O)(1+),427.1,491.95,y8(2+),264711.248873224,1059.6976306357824,0.198
11,b6(2+),356.73,715.5,y6(1+),49029.24497200169,1059.3780358076876,0.09
12,a3-2(H2O)(1+),250.96,557.48,y9(2+),178088.54651481198,1054.8674021519273,0.784
13,y5(2+),300.67,827.93,b7(1+),37426.87402630872,958.0377739779303,0.461
,y3-(NH3)-(HN=C=NH)(1+),300.67,827.93,b7(1+),37426.87402630872,958.0377739779303,0.665
14,b7-(H2O)(2+),405.2,600.46,y5(1+),69285.83233095321,885.9045501510999,0.085
,b7-(NH3)(2+),405.2,600.46,y5(1+),69285.83233095321,885.9045501510999,0.536
15,b3(1+),313.73,492.05,y8(2+),228640.36371107015,856.3965500902865,0.537
16,y5(1+),600.43,627.44,bi(3-7)(1+),26416.484229256417,721.8439317653283,0.103
17,bi(3-6)(1+),512.42,715.55,y6(1+),9154.640109581154,710.8447088551499,0.166
,b5-(HCOH)(1+),512.42,715.55,y6(1+),9154.640109581154,710.8447088551499,0.191
18,a2(1+),172.51,614.1,y10(2+),388814.33837280207,710.6968537273349,0.652
19,,600.51,738.45,,14829.59007286013,702.7228525760978,
20,b8-2(H2O)(2+),452.69,487.28,y4(1+),35694.86763433041,662.666110108031,0.082
21,y2(1+),245.81,591.62,b10(2+),16119.235569802277,659.6133702800253,0.442
22,a3-(H2O)(1+),268.1,557.35,y9(2+),75648.4837652668,617.8346006568933,0.102
23,y4(1+),487.18,809.38,b7-(H2O)(1+),18937.053209916707,602.6794329866652,0.144
24,y4-(H2O)(2+),234.97,941.23,b8(1+),9824.07663290661,571.9124213565749,0.703
25,ai(4-7)-(CH3CH2SCH3)-(HCOOH)(2+),182.72,557.89,y5-(HN=C=NH)(1+),80367.7076224393,567.2711629281987,0.481
,bi(5-7)-(H2O)(2+),182.72,557.89,y5-(HN=C=NH)(1+),80367.7076224393,567.2711629281987,0.611
,b2-(H2O)(1+),182.72,557.89,y5-(HN=C=NH)(1+),80367.7076224393,567.2711629281987,0.611
,b2-(H2O)(1+),182.72,557.89,y9(2+),80367.7076224393,567.2711629281987,0.682
26,a4-2(NH3)(1+),383.09,600.45,y5(1+),6843.012857916046,533.2275992837187,0.13
,a7-2(NH3)(2+),383.09,600.45,y5(1+),6843.012857916046,533.2275992837187,0.139
,bi(5-7)(1+),383.09,600.45,y5(1+),6843.012857916046,533.2275992837187,0.157
27,y2(1+),245.87,582.64,b10-(NH3)(2+),12274.71122573744,503.30829878500447,0.352
,y2(1+),245.87,582.64,ai(6-10)-(HCOH)(1+),12274.71122573744,503.30829878500447,0.383
,y2(1+),245.87,582.64,b10-(H2O)(2+),12274.71122573744,503.30829878500447,0.41
28,bi(2-4)(1+),345.79,492.16,y8(2+),50691.63128386336,499.04317934106945,0.524
29,bi(4-6)(1+),399.1,715.45,y6(1+),10181.574250300804,492.0600531811032,0.146
,a4-(H2O)(1+),399.1,715.45,y6(1+),10181.574250300804,492.0600531811032,0.146
,b4-(CH2S)(1+),399.1,715.45,y6(1+),10181.574250300804,492.0600531811032,0.165
30,,444.1,542.05,,16675.33862078862,480.20040052982256,
31,b6(2+),356.56,697.71,y6-(H2O)(1+),7418.55108148777,480.1264653749752,0.354
,b6(2+),356.56,697.71,y6-(NH3)(1+),7418.55108148777,480.1264653749752,0.691
32,a5(1+),514.37,600.48,y5(1+),7634.516860194406,474.3505306050297,0.122
,bi(4-7)(1+),514.37,600.48,y5(1+),7634.516860194406,474.3505306050297,0.141
33,b6-(H2O)(2+),347.89,715.87,y6(1+),8067.3255620089085,474.06524359881445,0.49
,b6-(NH3)(2+),347.89,715.87,y6(1+),8067.3255620089085,474.06524359881445,0.56
34,y4(2+),244.08,940.25,b8(1+),7337.347407161751,437.4412315996592,0.308
35,,300.46,628.95,,11828.001910266868,427.12477372591286,
36,a4-(NH3)(1+),399.88,491.81,y8(2+),51707.54314652466,426.5266850420944,0.34
,b4-(CH2S)(1+),399.88,491.81,y8(2+),51707.54314652466,426.5266850420944,0.62
,a4-(H2O)(1+),399.88,491.81,y8(2+),51707.54314652466,426.5266850420944,0.64
37,a2-(H2O)(1+),154.65,614.01,y10(2+),53291.869478139015,410.1142021633886,0.481
,b2-(NH3)-(HCOH)(1+),154.65,614.01,y10(2+),53291.869478139015,410.1142021633886,0.577
38,,359.36,626.58,,7781.128575674287,378.364743110377,
39,y3(1+),359.19,434.69,bi(3-9)(2+),8379.381023554562,377.668863619525,0.078
,y3(1+),359.19,434.69,ai(6-9)-2(NH3)-(HCOH)(1+),8379.381023554562,377.668863619525,0.572
40,ai(3-4)(1+),216.66,492.06,y8(2+),33010.643887635895,375.1215602201642,0.532
41,a3-(HCOH)(1+),256.39,715.55,y6(1+),3393.6989315461187,367.525911150566,0.236
,b5-(HCOH)(2+),256.39,715.55,y6(1+),3393.6989315461187,367.525911150566,0.295
,bi(3-6)(2+),256.39,715.55,y6(1+),3393.6989315461187,367.525911150566,0.313
42,a2-2(H2O)(1+),137.43,613.57,y10(2+),58697.8885407628,358.60307981408516,0.446
,b2-2(NH3)-(HCOH)(1+),137.43,613.57,y10(2+),58697.8885407628,358.60307981408516,0.476
43,bi(6-8)(1+),399.13,542.36,b5(1+),5284.468448313324,351.0245607022054,0.143
44,,355.68,492.14,,58466.64110434586,339.34355088029673,
45,y5(2+),300.51,809.41,b7-(H2O)(1+),5701.652301873868,326.9281485638712,0.196
,y3-(NH3)-(HN=C=NH)(1+),300.51,809.41,b7-(H2O)(1+),5701.652301873868,326.9281485638712,0.324
46,y3(1+),359.64,827.5,b7(1+),5473.5438346416095,326.5799636406612,0.401
,bi(8-11)-2(H2O)-(HCOH)(1+),359.64,827.5,b7(1+),5473.5438346416095,326.5799636406612,0.601
47,bi(2-3)-(H2O)(1+),196.36,557.28,y9(2+),19678.605350472117,311.418695426023,0.772
48,b4(1+),444.95,482.7,y8-(H2O)(2+),8655.016284623867,300.904467822314,0.316
,b4(1+),444.95,482.7,y8-(NH3)(2+),8655.016284623867,300.904467822314,0.662
49,,664.29,756.22,,5607.289376676938,294.59379010740207,
50,a2-(NH3)(1+),155.81,416.95,bi(3-9)-2(H2O)(2+),3738.9104839578968,286.3275980758732,0.358
,a2-(H2O)(1+),155.81,416.95,bi(3-9)-2(H2O)(2+),3738.9104839578968,286.3275980758732,0.731
,ai(5-7)-(HCOOH)(2+),155.81,416.95,a4(1+),3738.9104839578968,286.3275980758732,0.752
,a4-(CH3CH2SCH3)-(HCOH)(2+),155.81,416.95,bi(5-8)-2(NH3)-(HCOOH)(1+),3738.9104839578968,286.3275980758732,0.752
51,b3(1+),313.65,557.24,y9(2+),54278.94377231179,284.59917713467155,0.567
52,a2(1+),172.64,186.6,ai(3-6)-2(H2O)-(CH3CH2SCH3)(2+),3389.377063273845,282.67330541045635,0.482
,a2(1+),172.64,186.6,y2-(H2O)-(HN=C=NH)(1+),3389.377063273845,282.67330541045635,0.679
,a2(1+),172.64,186.6,y2-(NH3)-(HN=C=NH)(1+),3389.377063273845,282.67330541045635,0.7
53,ai(2-8)-(H2O)-(HCOH)(2+),383.26,445.85,y4-(HN=C=NH)(1+),6598.247428862089,282.5907605710344,0.57
,bi(2-8)-(HCOOH)-(HCOH)(2+),383.26,445.85,y4-(HN=C=NH)(1+),6598.247428862089,282.5907605710344,0.57
,bi(2-8)-(CH2S)-(HCOH)(2+),383.26,445.85,y4-(HN=C=NH)(1+),6598.247428862089,282.5907605710344,0.57
,ai(2-8)-(CH3SH)(2+),383.26,445.85,y4-(HN=C=NH)(1+),6598.247428862089,282.5907605710344,0.57
