Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y5(1+),462.15,599.32,b6(1+),42247145.58761687,2624.1083206692742,0.089
2,y4(1+),405.1,656.41,b7(1+),5134724.770371128,1515.7329322373578,0.114
3,a4(1+),387.07,646.35,y7(1+),19129936.07821279,1432.1734113977352,0.17
4,b4(1+),415.03,646.3,y7(1+),22404009.310404062,1271.5594171988218,0.216
5,a2(1+),216.78,816.47,y9(1+),5272413.284871285,1165.751845059738,0.35
6,b2(1+),244.74,816.63,y9(1+),4931694.757133129,1056.5552590720508,0.425
7,b3(1+),302.0,759.44,y8(1+),2046257.760723616,957.9202877390201,0.15
8,y3-(H2O)(1+),259.1,784.44,b8(1+),1858335.7801249318,930.2515062774632,0.04
9,y3(1+),276.82,784.43,b8(1+),2267864.7264671014,923.0929394251531,0.294
10,a4-(NH3)(1+),370.09,616.39,y7-(HCOH)(1+),1431944.739525702,863.6519643253487,0.13
11,y2(1+),162.65,898.68,b9(1+),1748695.598251865,837.3029631725401,0.449
12,y5(1+),462.28,571.38,a6(1+),4353470.600877015,792.1200120920944,0.054
13,b4(1+),415.02,629.32,y7-(NH3)(1+),4895222.265941222,736.9502951949459,0.22
14,y5-(NH3)(1+),445.32,599.16,b6(1+),3744266.3224546085,736.1250670186106,0.233
15,bi(9-10)(1+),201.71,784.29,b8(1+),822494.947854657,697.9562931064803,0.416
16,a5(1+),500.18,515.89,y6-(NH3)(1+),3697438.260040745,662.5255230179788,0.377
,a5(1+),500.18,515.89,y6-(H2O)(1+),3697438.260040745,662.5255230179788,0.645
17,b2(1+),244.76,799.39,y9-(NH3)(1+),1159040.209081579,656.1197436656986,0.372
18,b3(1+),301.85,646.66,y7(1+),3912360.784735909,629.0112050105031,0.431
19,y2(1+),162.45,881.58,b9-(NH3)(1+),503274.0857644809,621.7057720476439,0.626
20,a2-(CH2S)(1+),171.61,816.51,y9(1+),1227995.6247666313,611.2716763088204,0.473
21,bi(6-10)(1+),458.17,500.19,a5(1+),2189440.4390352657,558.1098780830088,0.148
22,bi(6-9)-(NH3)(1+),353.87,500.24,a5(1+),1157188.8066509755,497.0618782728146,0.32
,bi(6-9)-(H2O)(1+),353.87,500.24,a5(1+),1157188.8066509755,497.0618782728146,0.685
23,y5(1+),462.07,554.35,a6-(NH3)(1+),1625492.4110707056,492.03145215706814,0.161
24,y4-2(NH3)(1+),371.13,500.07,a5(1+),1624826.7913487274,489.686944332778,0.252
,bi(6-9)(1+),371.13,500.07,a5(1+),1624826.7913487274,489.686944332778,0.26
25,a5-(CH3SH)(1+),452.32,516.12,y6-(NH3)(1+),1313886.6069326878,459.81810926336345,0.12
,b5-(CH3CH2SCH3)(1+),452.32,516.12,y6-(NH3)(1+),1313886.6069326878,459.81810926336345,0.124
26,y4(1+),405.07,638.21,b7-(H2O)(1+),261739.66439407336,459.60104468939176,0.213
27,a2(1+),216.67,799.18,y9-(NH3)(1+),677332.8862974346,451.72279234949434,0.524
28,bi(6-8)(1+),256.83,500.48,a5(1+),1010848.9654359407,448.67897806421684,0.367
29,bi(8-10)(1+),329.93,656.43,b7(1+),327830.5108690816,443.12893961213103,0.255
30,a3-(NH3)(1+),257.02,729.39,y8-(HCOH)(1+),247765.04113963296,443.0252411669969,0.117
31,,405.09,543.19,,243024.15034185202,372.7053558873242,
32,y5(1+),462.14,581.2,b6-(H2O)(1+),663694.1079175451,368.1382911580141,0.175
33,,242.11,784.16,,220601.24243087185,365.49261987793307,
34,,339.17,647.51,,968740.6223377103,363.24945722612733,
35,,201.79,501.19,,441291.7945671166,356.36234850615193,
36,a4(1+),387.41,629.75,y7-(NH3)(1+),1444816.2930014986,354.9272161283336,0.453
37,y5(1+),462.35,507.05,a6-(H2O)-(CH2S)(1+),817705.9230526133,350.234093342475,0.332
,y5(1+),462.35,507.05,a6-(NH3)-(CH3SH)(1+),817705.9230526133,350.234093342475,0.73
,y5(1+),462.35,507.05,b6-(NH3)-(CH3CH2SCH3)(1+),817705.9230526133,350.234093342475,0.76
38,b5-(H2O)-(CH3SH)(1+),462.02,486.44,y6-(NH3)-(HCOH)(1+),1462491.6357098862,346.9967830666154,0.358
39,,185.99,799.81,,153947.25684377638,337.89096063085935,
40,,283.96,647.4,,731801.7963088094,331.5841808449269,
41,,244.72,760.23,,484267.8413465972,326.88841097819574,
42,bi(6-10)-(H2O)(1+),440.39,500.61,a5(1+),659485.0535101162,323.90037612811955,0.331
43,,324.15,816.27,,372813.46902661264,298.31647721707986,
44,,493.23,535.48,,206932.7679905957,286.60559101743155,
45,b2(1+),245.06,505.17,bi(3-8)-(H20)-(NH3)(1+),388432.3951574969,284.6062283544575,0.157
46,y4(1+),405.32,452.1,b5-(CH3CH2SCH3)(1+),409820.86687195866,284.0819021430425,0.22
,y4(1+),405.32,452.1,a5-(CH3SH)(1+),409820.86687195866,284.0819021430425,0.246
47,b4-(H2O)(1+),396.71,499.27,y6-2(NH3)(1+),303242.61977522884,280.48377114361153,0.522
,bi(2-5)(1+),396.71,499.27,y6-2(NH3)(1+),303242.61977522884,280.48377114361153,0.572
48,a3-(NH3)(1+),256.84,712.22,y8-(NH3)-(HCOH)(1+),86150.67921739187,279.4006157441243,0.341
,b3-(CH2S)(1+),256.84,712.22,y8-(NH3)-(HCOH)(1+),86150.67921739187,279.4006157441243,0.694
,a3-(H2O)(1+),256.84,712.22,y8-(NH3)-(HCOH)(1+),86150.67921739187,279.4006157441243,0.723
49,,217.02,857.93,,116136.1342060744,274.8368939398283,
50,b2(1+),245.57,742.79,y8-(NH3)(1+),246531.8330198859,267.72722355781127,0.581
51,bi(8-10)-(H2O)(1+),311.88,656.41,b7(1+),196859.67929025803,263.1394370178937,0.292
52,y4-2(NH3)(1+),370.98,435.45,a5-(NH3)-(CH3SH)(1+),272767.30461102637,262.45877588346474,0.241
,y4-2(NH3)(1+),370.98,435.45,b5-(NH3)-(CH3CH2SCH3)(1+),272767.30461102637,262.45877588346474,0.262
,bi(6-9)(1+),370.98,435.45,a5-(NH3)-(CH3SH)(1+),272767.30461102637,262.45877588346474,0.272
,bi(6-9)(1+),370.98,435.45,b5-(NH3)-(CH3CH2SCH3)(1+),272767.30461102637,262.45877588346474,0.291
53,,245.32,408.81,,318517.5761769343,260.34055238018203,
54,bi(6-10)-(NH3)(1+),441.71,452.2,b5-(CH3CH2SCH3)(1+),338773.2862223643,259.4970784947313,0.508
,bi(6-10)-(NH3)(1+),441.71,452.2,a5-(CH3SH)(1+),338773.2862223643,259.4970784947313,0.514
55,,283.72,702.33,,64681.41390483253,256.76173854896444,
56,y5-2(NH3)-(HCOH)(1+),397.73,515.3,b6-2(H2O)-(CH3SH)(1+),459262.525274642,255.37907787735622,0.441
,bi(2-5)(1+),397.73,515.3,y6-(H2O)(1+),459262.525274642,255.37907787735622,0.452
,b4-(NH3)(1+),397.73,515.3,y6-(H2O)(1+),459262.525274642,255.37907787735622,0.482
,b4-(H2O)(1+),397.73,515.3,y6-(H2O)(1+),459262.525274642,255.37907787735622,0.502
57,,500.74,573.45,,374145.63605499483,252.65966459147933,
58,,436.24,484.35,,329470.2337980057,249.8110332861509,
59,,312.89,458.31,,200109.75254908894,246.62823519698375,
60,,244.92,912.04,,136413.16405012965,245.75521052511536,
61,,435.35,898.71,,294519.7435490977,244.76673025994302,
62,,370.26,510.13,,180159.19358412153,242.94740180502794,
63,,172.22,799.53,,130436.01117524669,242.49220161022635,
64,,216.54,784.34,,318763.6277309547,241.54141012883846,
65,,458.06,929.12,,176480.7544350192,241.33799446628805,
66,a3-(NH3)-(CH3SH)(1+),209.53,462.72,y5(1+),158549.2180728802,237.93774440992033,0.639
,b2-2(H2O)(1+),209.53,462.72,y5(1+),158549.2180728802,237.93774440992033,0.645
