Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y10(2+),642.84,952.11,b9(1+),7704.539887945866,1771.4975352911433,0.362
,ai(10-15)-(HCOOH)-(HCOH)(1+),642.84,952.11,b9(1+),7704.539887945866,1771.4975352911433,0.569
2,y11(2+),699.93,838.15,b8(1+),1992.0265152678007,1598.4365343392653,0.301
,ai(9-14)-(H2O)(1+),699.93,838.15,b8(1+),1992.0265152678007,1598.4365343392653,0.464
,bi(9-14)-(HCOOH)(1+),699.93,838.15,b8(1+),1992.0265152678007,1598.4365343392653,0.472
,bi(9-14)-(NH3)-(HCOH)(1+),699.93,838.15,b8(1+),1992.0265152678007,1598.4365343392653,0.717
3,y5(1+),653.05,792.1,b14(2+),1147.4555444026944,1273.8616762236675,0.389
,y5(1+),653.05,792.1,a8-(H2O)(1+),1147.4555444026944,1273.8616762236675,0.425
,y5(1+),653.05,792.1,b8-(HCOOH)(1+),1147.4555444026944,1273.8616762236675,0.433
,y5(1+),653.05,792.1,b8-(NH3)-(HCOH)(1+),1147.4555444026944,1273.8616762236675,0.763
4,y3(1+),390.97,923.46,b16(2+),1795.9150880763393,1145.9813124797647,0.263
5,y4(1+),538.12,850.02,b15(2+),663.5933554465357,1032.0319891804259,0.228
,a11-(HCOH)-(HCOH)(2+),538.12,850.02,ai(12-18)-(H2O)-(HCOH)(1+),663.5933554465357,1032.0319891804259,0.743
,a11-(HCOH)-(HCOH)(2+),538.12,850.02,bi(12-18)-(HCOOH)-(HCOH)(1+),663.5933554465357,1032.0319891804259,0.748
6,b12(2+),664.01,909.99,y7(1+),1785.7772550233697,930.3290684472616,0.618
,b7-(HCOH)-(HCOH)(1+),664.01,909.99,bi(8-15)-2(H2O)-(HCOH)(1+),1785.7772550233697,930.3290684472616,0.716
7,y10-(NH3)(2+),634.08,953.17,b9(1+),1102.2347948800982,873.4535593785242,0.731
,y10-(H2O)(2+),634.08,953.17,b9(1+),1102.2347948800982,873.4535593785242,0.758
8,b6(1+),610.1,814.04,y13(2+),245.91693754408047,844.3317629109301,0.272
9,b13-(NH3)(2+),719.6,781.11,y6(1+),989.8910322968441,814.9169116680811,0.362
,b13-(H2O)(2+),719.6,781.11,y6(1+),989.8910322968441,814.9169116680811,0.382
10,y5(1+),653.04,783.63,b14-(NH3)(2+),505.06862077868016,767.5071532780646,0.37
,y5(1+),653.04,783.63,b14-(H2O)(2+),505.06862077868016,767.5071532780646,0.389
11,b13(2+),728.24,781.26,y6(1+),1129.8969555663193,736.7965803879928,0.164
12,y8(2+),536.84,1164.48,b11(1+),419.0462664181012,729.5977411342251,0.106
13,b5(1+),523.01,857.12,ai(6-13)-(H2O)-(HCOH)(1+),326.79109357168727,695.072582063235,0.375
,b5(1+),523.01,857.12,bi(6-13)-(HCOOH)-(HCOH)(1+),326.79109357168727,695.072582063235,0.382
,b5(1+),523.01,857.12,y14(2+),326.79109357168727,695.072582063235,0.389
14,y3(1+),391.01,914.57,b16-(H2O)(2+),664.6490276767937,692.3899784552002,0.272
,y3(1+),391.01,914.57,ai(9-16)-2(H2O)-(HCOH)(1+),664.6490276767937,692.3899784552002,0.297
,a8-(HCOH)(2+),391.01,914.57,ai(9-16)-2(H2O)-(HCOH)(1+),664.6490276767937,692.3899784552002,0.361
,y3(1+),391.01,914.57,b16-(NH3)(2+),664.6490276767937,692.3899784552002,0.405
15,b12-(NH3)(2+),655.81,909.12,y7(1+),815.4334767323412,653.8663123250923,0.33
,ai(7-12)-2(NH3)(1+),655.81,909.12,y7(1+),815.4334767323412,653.8663123250923,0.55
,b12-(H2O)(2+),655.81,909.12,y7(1+),815.4334767323412,653.8663123250923,0.599
,bi(7-12)-(NH3)-(HCOOH)(1+),655.81,909.12,y7(1+),815.4334767323412,653.8663123250923,0.633
16,b6-2(H2O)(1+),574.02,1072.32,bi(7-15)-(NH3)(1+),575.2121352396066,652.6406984031041,0.297
,b11-(H2O)(2+),574.02,1072.32,y8(1+),575.2121352396066,652.6406984031041,0.306
,b11-(NH3)(2+),574.02,1072.32,y8(1+),575.2121352396066,652.6406984031041,0.314
,b6-2(H2O)(1+),574.02,1072.32,y8(1+),575.2121352396066,652.6406984031041,0.338
17,y11-(NH3)(2+),691.45,838.12,b8(1+),421.9947189657617,638.1012416781352,0.34
,y11-(H2O)(2+),691.45,838.12,b8(1+),421.9947189657617,638.1012416781352,0.702
18,y2(1+),243.91,997.02,b17(2+),1065.1139635350894,591.0384219100815,0.269
,b5-2(H2O)(2+),243.91,997.02,bi(6-14)-2(NH3)-(HCOH)(1+),1065.1139635350894,591.0384219100815,0.436
,b5-2(H2O)(2+),243.91,997.02,ai(6-14)-2(H2O)(1+),1065.1139635350894,591.0384219100815,0.47
,b5-2(H2O)(2+),243.91,997.02,y8-(HCOOH)-(HCOH)(1+),1065.1139635350894,591.0384219100815,0.578
,y2(1+),243.91,997.02,ai(10-17)-(NH3)(1+),1065.1139635350894,591.0384219100815,0.663
19,a12(2+),649.93,909.0,y7(1+),393.7136814656998,564.2501372468727,0.589
,b12-(HCOH)(2+),649.93,909.0,y7(1+),393.7136814656998,564.2501372468727,0.766
20,y5(1+),653.15,774.76,a8-2(H2O)(1+),198.36288297379667,530.5645944435862,0.394
,y5(1+),653.15,774.76,b8-2(NH3)-(HCOH)(1+),198.36288297379667,530.5645944435862,0.43
,y5(1+),653.15,774.76,b14-2(H2O)(2+),198.36288297379667,530.5645944435862,0.439
,y5(1+),653.15,774.76,b14-2(NH3)(2+),198.36288297379667,530.5645944435862,0.607
21,y4(1+),538.01,841.03,b15-(H2O)(2+),263.774437601019,523.9611053360863,0.326
,y4(1+),538.01,841.03,b15-(NH3)(2+),263.774437601019,523.9611053360863,0.447
22,a6(1+),582.4,1072.11,bi(7-15)-(NH3)(1+),397.69085430359434,516.5217942673859,0.32
,a6(1+),582.4,1072.11,y8(1+),397.69085430359434,516.5217942673859,0.408
,bi(6-11)-(HCOH)-(HCOH)(1+),582.4,1072.11,y8(1+),397.69085430359434,516.5217942673859,0.427
,b11(2+),582.4,1072.11,y8(1+),397.69085430359434,516.5217942673859,0.552
,a6(1+),582.4,1072.11,bi(7-15)-(H2O)(1+),397.69085430359434,516.5217942673859,0.675
23,ai(10-15)-(HCOOH)-(HCOH)(1+),643.18,935.31,b9-(NH3)(1+),572.8380913552874,462.9531685882527,0.172
,y10(2+),643.18,935.31,b9-(NH3)(1+),572.8380913552874,462.9531685882527,0.405
24,y5-(HCOOH)(1+),607.47,910.15,bi(7-14)-2(NH3)-(HCOH)(1+),162.82250446130365,455.93841785889896,0.258
,y5-(HCOOH)(1+),607.47,910.15,ai(7-14)-2(H2O)(1+),162.82250446130365,455.93841785889896,0.292
25,y4(1+),538.17,832.31,b15-2(H2O)(2+),122.2815697734032,455.6586100555772,0.459
,y4(1+),538.17,832.31,b15-2(NH3)(2+),122.2815697734032,455.6586100555772,0.565
,a11-(HCOH)-(HCOH)(2+),538.17,832.31,ai(12-18)-2(H2O)-(HCOH)(1+),122.2815697734032,455.6586100555772,0.603
26,y2(1+),243.97,980.03,b17-2(NH3)(2+),138.6028369164526,450.5848953840867,0.224
,y2(1+),243.97,980.03,ai(10-17)-2(NH3)(1+),138.6028369164526,450.5848953840867,0.68
27,y6(2+),391.13,905.48,b9-(NH3)-(HCOH)(1+),197.9972078364144,444.33669587243224,0.081
,y6(2+),391.13,905.48,ai(6-13)(1+),197.9972078364144,444.33669587243224,0.106
,y3(1+),391.13,905.48,b9-(NH3)-(HCOH)(1+),197.9972078364144,444.33669587243224,0.108
,y3(1+),391.13,905.48,b16-2(H2O)(2+),197.9972078364144,444.33669587243224,0.122
28,a13(2+),714.38,781.18,y6(1+),191.309383883919,442.25596535711156,0.214
29,a6(2+),291.8,781.35,y6(1+),111.02761002371545,435.74154813724925,0.146
,bi(9-13)-2(H2O)(2+),291.8,781.35,y6(1+),111.02761002371545,435.74154813724925,0.184
,bi(12-13)(1+),291.8,781.35,y6(1+),111.02761002371545,435.74154813724925,0.332
30,bi(10-17)-2(NH3)(2+),504.13,935.16,b9-(NH3)(1+),77.39082446298492,421.7292982918878,0.296
,bi(10-13)(1+),504.13,935.16,b9-(NH3)(1+),77.39082446298492,421.7292982918878,0.301
,y4-2(NH3)(1+),504.13,935.16,b9-(NH3)(1+),77.39082446298492,421.7292982918878,0.314
,y8-2(H2O)-(HCOH)(2+),504.13,935.16,b9-(NH3)(1+),77.39082446298492,421.7292982918878,0.486
,y8-2(NH3)-(HCOH)(2+),504.13,935.16,b9-(NH3)(1+),77.39082446298492,421.7292982918878,0.666
,bi(10-17)-2(NH3)(2+),504.13,935.16,b9-(H2O)(1+),77.39082446298492,421.7292982918878,0.703
,bi(10-13)(1+),504.13,935.16,b9-(H2O)(1+),77.39082446298492,421.7292982918878,0.705
,y4-2(NH3)(1+),504.13,935.16,b9-(H2O)(1+),77.39082446298492,421.7292982918878,0.71
31,a12-(NH3)(2+),641.83,909.12,y7(1+),236.24287793778348,415.4572834070535,0.331
,ai(7-12)-(H2O)-(HCOH)(1+),641.83,909.12,y7(1+),236.24287793778348,415.4572834070535,0.558
,b12-(HCOOH)(2+),641.83,909.12,y7(1+),236.24287793778348,415.4572834070535,0.616
,a12-(H2O)(2+),641.83,909.12,y7(1+),236.24287793778348,415.4572834070535,0.616
32,,1072.09,1310.35,,64.25908878721324,413.4021471419599,
33,,663.96,702.35,,337.4887751195109,407.9968922307328,
34,,419.37,936.23,,71.03214758865926,405.70631340421113,
35,y8(2+),536.78,1147.23,b11-(NH3)(1+),108.22326020735385,400.8142915147545,0.301
