Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,b5-2(NH3)(2+),268.44,424.39,y3-(NH3)(1+),4.336288520132167,654.3699706452575,0.255
,bi(9-14)-2(H2O)-(HCOH)(2+),268.44,424.39,y3-(NH3)(1+),4.336288520132167,654.3699706452575,0.255
,ai(12-14)-(NH3)(1+),268.44,424.39,y3-(NH3)(1+),4.336288520132167,654.3699706452575,0.328
,bi(5-7)(1+),268.44,424.39,b4-(NH3)-(HCOH)(1+),4.336288520132167,654.3699706452575,0.336
,b3-(NH3)-(HCOH)(1+),268.44,424.39,bi(4-7)(1+),4.336288520132167,654.3699706452575,0.37
,b3-(NH3)-(HCOH)(1+),268.44,424.39,y3-(NH3)(1+),4.336288520132167,654.3699706452575,0.389
,a3-(H2O)(1+),268.44,424.39,bi(4-7)(1+),4.336288520132167,654.3699706452575,0.691
,b3-(HCOOH)(1+),268.44,424.39,bi(4-7)(1+),4.336288520132167,654.3699706452575,0.691
,a3-(H2O)(1+),268.44,424.39,y3-(NH3)(1+),4.336288520132167,654.3699706452575,0.701
,b3-(HCOOH)(1+),268.44,424.39,y3-(NH3)(1+),4.336288520132167,654.3699706452575,0.701
,a6-(HCOOH)-(HCOH)(2+),268.44,424.39,y3-(NH3)(1+),4.336288520132167,654.3699706452575,0.74
2,y1(1+),165.8,842.32,a9-(HN=C=NH)(1+),11.802338671329935,630.3682545217696,0.31
,y1(1+),165.8,842.32,b16-(H2O)(2+),11.802338671329935,630.3682545217696,0.31
,y1(1+),165.8,842.32,b16-(NH3)(2+),11.802338671329935,630.3682545217696,0.666
3,bi(6-9)(1+),342.51,468.78,y8-(H2O)(2+),2.3996696153651587,487.5806003962234,0.796
4,bi(7-11)(1+),473.98,641.11,b6(1+),9.74748897896383,482.8611222787511,0.305
5,b3-(H2O)-(HCOH)(1+),266.65,576.86,ai(4-15)-(HCOH)-(HCOH)(2+),2.9889540343727927,481.9054005546019,0.461
,y2-(NH3)-(HCOH)(1+),266.65,576.86,ai(4-15)-(HCOH)-(HCOH)(2+),2.9889540343727927,481.9054005546019,0.531
,ai(7-10)-2(NH3)-(HCOH)(1+),266.65,576.86,b6-2(NH3)-(HCOH)(1+),2.9889540343727927,481.9054005546019,0.601
,ai(7-10)-2(NH3)-(HCOH)(1+),266.65,576.86,a6-2(H2O)(1+),2.9889540343727927,481.9054005546019,0.637
,y2-(NH3)-(HCOH)(1+),266.65,576.86,b6-2(NH3)-(HCOH)(1+),2.9889540343727927,481.9054005546019,0.67
,y2-(NH3)-(HCOH)(1+),266.65,576.86,a12-(HCOH)(2+),2.9889540343727927,481.9054005546019,0.676
,y2-(NH3)-(HCOH)(1+),266.65,576.86,bi(10-15)-2(H2O)-(HCOH)(1+),2.9889540343727927,481.9054005546019,0.695
,y2-(NH3)-(HCOH)(1+),266.65,576.86,a6-2(H2O)(1+),2.9889540343727927,481.9054005546019,0.702
,y2-(NH3)-(HCOH)(1+),266.65,576.86,b12-(HCOH)-(HCOH)(2+),2.9889540343727927,481.9054005546019,0.786
6,a6-(HCOOH)-(HCOH)(2+),268.6,342.49,bi(7-10)-(NH3)(1+),1.8063364011453595,480.2468377528503,0.666
,b5-2(NH3)(2+),268.6,342.49,bi(6-9)(1+),1.8063364011453595,480.2468377528503,0.671
7,y3-2(NH3)-(HCOH)(1+),376.92,1114.33,b11(1+),32.553676724179994,462.0534275809975,0.324
,y6(2+),376.92,1114.33,b11(1+),32.553676724179994,462.0534275809975,0.35
,bi(12-15)-2(NH3)-(HCOH)(1+),376.92,1114.33,b11(1+),32.553676724179994,462.0534275809975,0.35
,ai(12-15)-2(H2O)(1+),376.92,1114.33,b11(1+),32.553676724179994,462.0534275809975,0.385
,y3-2(NH3)-(HCOH)(1+),376.92,1114.33,ai(3-14)-(HN=C=NH)(1+),32.553676724179994,462.0534275809975,0.788
8,y1(1+),165.74,434.46,a9-(NH3)(2+),2.7368955698583433,427.1087465461505,0.424
9,bi(7-8)(1+),184.78,641.15,b6(1+),4.791150455464756,425.158734338797,0.364
,b2-(HCOH)-(HCOH)(1+),184.78,641.15,bi(3-15)-(HCOH)(2+),4.791150455464756,425.158734338797,0.738
,b2-(HCOH)-(HCOH)(1+),184.78,641.15,ai(3-9)(1+),4.791150455464756,425.158734338797,0.743
,b2-(HCOH)-(HCOH)(1+),184.78,641.15,y12-(NH3)(2+),4.791150455464756,425.158734338797,0.787
10,y4-(HCOH)-(HCOH)(1+),468.66,622.99,ai(7-13)-(H2O)-(HCOH)(1+),9.048309926081059,422.43958423619694,0.512
,y4-(HCOH)-(HCOH)(1+),468.66,622.99,a13-2(H2O)-(HCOH)(2+),9.048309926081059,422.43958423619694,0.519
,y4-(HCOH)-(HCOH)(1+),468.66,622.99,bi(7-13)-(HCOOH)-(HCOH)(1+),9.048309926081059,422.43958423619694,0.519
,y4-(HCOH)-(HCOH)(1+),468.66,622.99,b6-(H2O)(1+),9.048309926081059,422.43958423619694,0.525
,y8-(H2O)(2+),468.66,622.99,b6-(H2O)(1+),9.048309926081059,422.43958423619694,0.672
,y8-(H2O)(2+),468.66,622.99,ai(3-9)-(H2O)(1+),9.048309926081059,422.43958423619694,0.688
,a10-2(H2O)(2+),468.66,622.99,y5-2(NH3)(1+),9.048309926081059,422.43958423619694,0.791
11,,268.61,442.07,,1.7647777969790102,417.51005772727916,
12,y2-(H2O)-(HCOH)(1+),265.4,622.83,a13-2(H2O)-(HCOH)(2+),5.9943644578858315,406.64151759441984,0.559
,y2-(H2O)-(HCOH)(1+),265.4,622.83,b6-(H2O)(1+),5.9943644578858315,406.64151759441984,0.568
,ai(7-10)-2(H2O)-(HCOH)(1+),265.4,622.83,b6-(H2O)(1+),5.9943644578858315,406.64151759441984,0.573
,y2-(H2O)-(HCOH)(1+),265.4,622.83,bi(3-15)-2(H2O)-(HCOH)(2+),5.9943644578858315,406.64151759441984,0.577
