Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,a6-2(NH3)-(HCOH)(2+),275.03,744.18,bi(7-12)-(H2O)(1+),9665.831437665229,1015.4063325782911,0.233
,a6-(H2O)-(HCOOH)(2+),275.03,744.18,bi(7-12)-(H2O)(1+),9665.831437665229,1015.4063325782911,0.244
,a6-(NH3)-(HCOOH)(2+),275.03,744.18,bi(7-12)-(H2O)(1+),9665.831437665229,1015.4063325782911,0.661
2,y3(1+),330.96,1331.43,bi(3-13)(1+),139996.6826638402,952.4572272077412,0.361
,y3(1+),330.96,1331.43,b12-(HN=C=NH)-(HCOH)(1+),139996.6826638402,952.4572272077412,0.768
3,y5(1+),531.07,1131.4,bi(3-11)(1+),28136.716725480466,915.1111447470413,0.3
4,b3(1+),299.94,717.07,y12(2+),120225.39001678623,808.1973077101572,0.388
,b3(1+),299.94,717.07,ai(4-9)-(HCOH)(1+),120225.39001678623,808.1973077101572,0.397
,y6-(HCOH)-(HCOH)(2+),299.94,717.07,b7-2(NH3)-(HCOOH)(1+),120225.39001678623,808.1973077101572,0.4
,y6-(HCOH)-(HCOH)(2+),299.94,717.07,ai(5-10)-(HCOH)(1+),120225.39001678623,808.1973077101572,0.408
5,y4(1+),444.1,1219.25,bi(3-12)(1+),14647.82093526826,703.5965013013566,0.665
6,b4(1+),413.06,660.56,y11(2+),37026.416578451,699.4031679090182,0.341
7,a6(1+),613.35,1049.26,y9(1+),3798.795531133433,578.5138022555522,0.3
,bi(3-7)(1+),613.35,1049.26,y9(1+),3798.795531133433,578.5138022555522,0.301
8,a4-2(NH3)-(HCOH)(1+),321.03,1187.55,ai(5-15)-(HN=C=NH)-(HCOH)(1+),9828.619606478924,570.2916840643402,0.175
,b6(2+),321.03,1187.55,y10-(H2O)(1+),9828.619606478924,570.2916840643402,0.18
,a4-2(NH3)-(HCOH)(1+),321.03,1187.55,y10-(H2O)(1+),9828.619606478924,570.2916840643402,0.18
,y6-(H2O)(2+),321.03,1187.55,b10(1+),9828.619606478924,570.2916840643402,0.184
,a4-(H2O)-(HCOOH)(1+),321.03,1187.55,ai(5-15)-(HN=C=NH)-(HCOH)(1+),9828.619606478924,570.2916840643402,0.21
