Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,b3(1+),299.96,717.23,y12(2+),734.2483840337698,708.3861083792751,0.256
,b3(1+),299.96,717.23,ai(4-9)-(HCOH)(1+),734.2483840337698,708.3861083792751,0.262
,y6-(HCOH)-(HCOH)(2+),299.96,717.23,b7-2(NH3)-(HCOOH)(1+),734.2483840337698,708.3861083792751,0.272
,y6-(HCOH)-(HCOH)(2+),299.96,717.23,ai(5-10)-(HCOH)(1+),734.2483840337698,708.3861083792751,0.278
2,b5(1+),526.15,660.65,y11(2+),755.566805675879,611.8042629506848,0.262
3,a9(2+),523.57,772.12,y7(1+),498.57124376762135,590.6104234639085,0.4
4,b4(1+),412.9,660.45,y11(2+),470.67844017980457,589.2864193446813,0.525
5,y3(1+),330.94,758.37,b13(2+),180.26652825240663,536.7903617934115,0.263
,b4-2(H2O)-(HCOOH)(1+),330.94,758.37,bi(5-10)-(NH3)(1+),180.26652825240663,536.7903617934115,0.27
,y6(2+),330.94,758.37,bi(5-10)-(NH3)(1+),180.26652825240663,536.7903617934115,0.75
6,y4(1+),444.02,701.99,b12(2+),151.9932332082286,525.9739237585087,0.286
,y4(1+),444.02,701.99,bi(7-12)-(HCOH)-(HCOH)(1+),151.9932332082286,525.9739237585087,0.46
,b5-2(H2O)-(HCOOH)(1+),444.02,701.99,ai(6-11)-(HCOH)-(HCOH)(1+),151.9932332082286,525.9739237585087,0.464
7,y5(1+),531.06,658.09,bi(7-11)-(NH3)(1+),499.2210382532639,501.29001598748164,0.347
,a6-2(H2O)-(HCOOH)(1+),531.06,658.09,bi(7-11)-(NH3)(1+),499.2210382532639,501.29001598748164,0.354
,y5(1+),531.06,658.09,b11(2+),499.2210382532639,501.29001598748164,0.361
,y5(1+),531.06,658.09,bi(7-11)-(H2O)(1+),499.2210382532639,501.29001598748164,0.781
,a6-2(H2O)-(HCOOH)(1+),531.06,658.09,bi(7-11)-(H2O)(1+),499.2210382532639,501.29001598748164,0.784
8,bi(8-14)-(NH3)-(HCOH)(2+),384.97,717.45,b7-2(NH3)-(HCOOH)(1+),236.76458523619502,491.9629857622527,0.238
