Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y2(1+),293.98,511.58,b9(2+),70914.94694018777,1358.4434301483077,0.305
2,b2(1+),194.86,561.45,y9(2+),35844.024502011045,993.4914627994629,0.269
,b2(1+),194.86,561.45,y4-(NH3)(1+),35844.024502011045,993.4914627994629,0.269
,y3-2(NH3)(2+),194.86,561.45,a6-2(H2O)(1+),35844.024502011045,993.4914627994629,0.273
,y3-2(NH3)(2+),194.86,561.45,b6-2(NH3)-(HCOH)(1+),35844.024502011045,993.4914627994629,0.3
,bi(6-7)-(H2O)(1+),194.86,561.45,y4-(NH3)(1+),35844.024502011045,993.4914627994629,0.307
,bi(7-8)-2(NH3)-(HN=C=NH)(1+),194.86,561.45,a6-2(H2O)(1+),35844.024502011045,993.4914627994629,0.751
,bi(7-8)-2(NH3)-(HN=C=NH)(1+),194.86,561.45,b6-2(NH3)-(HCOH)(1+),35844.024502011045,993.4914627994629,0.762
3,y1(1+),165.8,575.7,b10(2+),73291.3293671525,977.6284550461564,0.331
4,bi(6-7)-2(NH3)(1+),178.92,545.06,y4-2(NH3)(1+),6388.334347670116,947.9703604338816,0.764
5,b5(1+),526.21,691.25,y5(1+),39805.32306692193,719.4972773570504,0.218
6,y5(2+),346.18,625.07,b6(1+),17320.710501254696,713.2930306932976,0.275
7,y2-(NH3)(1+),276.92,511.49,b9(2+),16789.8121509319,688.4129736869761,0.4
8,b3-(H2O)(1+),307.86,495.67,y8(2+),9208.233392141788,616.3445995520328,0.322
9,b3(1+),325.89,495.98,y8(2+),8510.019902291748,589.6921617791962,0.3
,y5-(HN=C=NH)(2+),325.89,495.98,b5-(HCOH)(1+),8510.019902291748,589.6921617791962,0.726
10,b3-(H2O)(1+),307.99,825.28,y7-2(NH3)-(HCOH)(1+),3926.0221974557444,555.7526645256404,0.3
,b3-(H2O)(1+),307.99,825.28,bi(4-10)(1+),3926.0221974557444,555.7526645256404,0.326
11,b4-(H2O)(1+),408.91,790.26,y6(1+),14272.049043302412,552.981985959101,0.389
12,y2(1+),293.99,885.6,bi(2-9)(1+),5989.340693203664,549.6353062297461,0.202
13,y3-2(NH3)(2+),194.85,478.54,b5-(CH3SH)(1+),7410.726562543266,513.6148545188429,0.355
,b2(1+),194.85,478.54,bi(3-7)-2(H2O)-(HCOH)(1+),7410.726562543266,513.6148545188429,0.361
