Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y4(1+),567.37,970.49,b8(1+),46091.950298546704,1961.9035476625986,0.082
2,b6(1+),743.45,794.46,y6(1+),46669.22372317789,1910.6114896586894,0.108
3,y5(1+),680.38,857.72,b7(1+),20202.22234264444,1452.9362945263865,0.33
4,y3(1+),420.1,1117.93,b9(1+),57613.478446562476,1451.8044475368058,0.408
5,,415.13,1052.45,,12724.083271463549,1354.5415635014676,
6,y4(1+),567.36,942.69,a8(1+),16562.17771434555,1129.6749609636765,0.231
7,b5(1+),614.38,923.65,y7(1+),14890.453395324193,1045.476276717836,0.202
8,bi(2-4)-(CH3NH2)(1+),397.02,1052.43,y8(1+),5939.504134294846,948.4847032675683,0.197
9,y3(1+),420.1,1086.66,b9-(CH3NH2)(1+),13124.125027385016,915.267353910478,0.2
10,y2(1+),333.03,1204.74,b10(1+),19408.95581228166,788.6234682181454,0.226
11,,385.12,1134.78,,2100.543718252612,701.8328298279467,
12,,503.45,1034.68,,2900.1569036904175,657.4775085905544,
13,y2-(H2O)(1+),315.62,1204.4,b10(1+),7563.369177165218,622.8698869260759,0.475
,y2-(NH3)(1+),315.62,1204.4,b10(1+),7563.369177165218,622.8698869260759,0.579
14,bi(10-11)(1+),273.97,1117.69,b9(1+),5844.169639672468,614.2332009798447,0.212
15,b6-(CH3NH2)(1+),712.08,794.43,y6(1+),3362.3621485460694,583.3177708601706,0.23
16,bi(9-11)-(H2O)(1+),403.11,970.64,b8(1+),4767.59326224453,582.2868024683796,0.184
,y3-(NH3)(1+),403.11,970.64,b8(1+),4767.59326224453,582.2868024683796,0.192
17,,544.27,923.73,,3148.6601031780897,570.9411078516068,
18,y4-(H2O)(1+),549.15,970.7,b8(1+),7211.1165585155395,555.5556153185598,0.264
19,b6(1+),743.18,777.19,y6-(NH3)(1+),3963.2103603014925,540.486516669738,0.262
,b6(1+),743.18,777.19,y6-(H2O)(1+),3963.2103603014925,540.486516669738,0.798
20,,568.31,900.48,,2302.3557444163134,536.7222709965919,
21,,267.7,1053.19,,2128.973931815029,519.1366625046261,
22,y2-(H20)-(NH3)(1+),297.95,1204.32,b10(1+),4437.581994706258,500.7920329105796,0.334
23,y2(1+),332.85,1174.07,b10-(HCOH)(1+),3955.7752528012184,467.6686129624022,0.596
,y2(1+),332.85,1174.07,b10-(CH3NH2)(1+),3955.7752528012184,467.6686129624022,0.638
24,bi(8-11)-(NH3)(1+),516.8,857.79,b7(1+),2179.2621306667506,465.5398502304413,0.602
,bi(8-11)-(H2O)(1+),516.8,857.79,b7(1+),2179.2621306667506,465.5398502304413,0.672
25,b3(1+),300.73,1052.61,y8(1+),1727.8647888993628,433.0439903613299,0.412
26,ai(4-7)-(NH3)-(CH3NH2)(1+),481.17,613.78,y5-2(H2O)-(HCOH)(1+),2796.820932641771,431.4330264127187,0.571
27,y2(1+),333.02,1186.56,b10-(H2O)(1+),4884.005888147566,420.55532470713985,0.17
28,y5(1+),680.46,826.49,b7-(CH3NH2)(1+),2055.723057591891,385.49774427869113,0.161
29,y4-(H2O)(1+),549.37,942.14,a8(1+),3074.785021038328,382.76268293270135,0.342
30,b5(1+),614.34,906.12,y7-(NH3)(1+),2611.409838406609,380.1313211524669,0.321
,b5(1+),614.34,906.12,y7-(H2O)(1+),2611.409838406609,380.1313211524669,0.671
31,y2-(H20)-(NH3)(1+),297.95,1186.58,b10-(H2O)(1+),2646.478117319834,373.84328403738584,0.211
,y2-2(H2O)(1+),297.95,1186.58,b10-(H2O)(1+),2646.478117319834,373.84328403738584,0.78
32,,734.08,1234.06,,2323.295807833202,372.00399614791,
33,y4-(NH3)-(HCOH)(1+),520.41,612.8,ai(4-8)-(HCOH)(1+),3143.0155063726706,370.62233081823956,0.484
34,y2-(H2O)(1+),315.61,1187.32,b10-(NH3)(1+),2803.2587126363364,369.7565318218635,0.488
,y2-(NH3)(1+),315.61,1187.32,b10-(NH3)(1+),2803.2587126363364,369.7565318218635,0.605
35,,245.68,1119.2,,2766.4722925906885,361.1915812895443,
36,,1052.79,1475.04,,1195.0553177808895,354.8945292250541,
37,y5-(H2O)(1+),662.46,857.64,b7(1+),1041.9699590297714,353.7760829657511,0.266
38,y4(1+),567.39,882.37,bi(2-8)-(CH3NH2)(1+),1381.8358215702492,350.7504772925566,0.108
39,,588.65,922.98,,2059.3691768249096,349.4955762542124,
40,y2-(H2O)(1+),315.32,1174.46,b10-(HCOH)(1+),1207.750978272506,343.88821493312673,0.172
41,y4-2(H2O)(1+),531.82,970.37,b8(1+),1375.4986845807005,343.8036199703963,0.559
42,y4(1+),567.01,911.28,a8-(CH3NH2)(1+),1482.683041352004,337.3388113235906,0.318
43,b4(1+),485.44,1052.56,y8(1+),2596.4751307975525,334.343168031967,0.187
44,,568.17,953.11,,1173.164064008793,329.91694223918074,
45,,455.61,1052.5,,1508.1117106449178,327.7766037225241,
46,b2-(NH3)(1+),227.55,760.94,y6-2(NH3)(1+),1789.6122511794613,325.9643324778344,0.739
47,bi(7-11)-(H2O)(1+),630.44,638.64,a6-(HCOOH)-(CH3NH2)(1+),1326.077168000241,324.7850587907362,0.368
48,,664.26,905.34,,1344.4371370908043,324.6748136690352,
49,y3(1+),420.08,1100.62,b9-(NH3)(1+),1859.716415362496,324.62250636567626,0.172
50,,548.21,656.7,,1775.8221583159268,323.551468064674,
51,,622.78,1111.77,,1329.1201614719519,319.181988740076,
52,,233.95,1205.13,,1335.037349428739,319.0539774782415,
53,,687.12,1025.99,,892.0178214045011,316.00982858617283,
54,b5-(H2O)-(CH3NHCH3)(1+),551.29,620.92,y5-(HCOH)-(HCOH)(1+),2065.5348049832937,314.87125516051634,0.562
,bi(3-7)-(H2O)-(CH3NHCH3)(1+),551.29,620.92,y5-(HCOH)-(HCOH)(1+),2065.5348049832937,314.87125516051634,0.564
55,,485.26,717.0,,1552.3298851944799,313.7166415534635,
56,ai(7-11)-(HCOH)(1+),590.59,664.53,b6-2(NH3)-(CH3NHCH3)(1+),2792.9525226959,311.48150374562204,0.41
57,,269.78,1204.41,,1869.7301687066717,309.32485420782893,
58,,355.25,752.83,,1574.521739387271,307.67097137126177,
59,,497.89,695.74,,1152.9501445526564,305.24534801922545,
60,,844.67,1117.34,,1314.332076858533,304.8171101023635,
61,,534.08,1053.33,,1332.7609851554603,301.83532850233195,
62,,724.7,1111.57,,1334.461470609931,299.71475635569567,
63,,1097.2,1204.62,,2083.679844213413,298.42696228646196,
64,,245.62,1052.78,,1108.3191011245565,298.2249666991434,
65,y2(1+),333.19,1101.0,a10-(HCOOH)-(HCOH)(1+),1247.4045862247967,296.6560667199404,0.44
,y2(1+),333.19,1101.0,b9-(NH3)(1+),1247.4045862247967,296.6560667199404,0.48
,y2(1+),333.19,1101.0,bi(2-10)-(NH3)-(HCOH)(1+),1247.4045862247967,296.6560667199404,0.48
,y2(1+),333.19,1101.0,a10-(CH3NHCH3)-(HCOH)(1+),1247.4045862247967,296.6560667199404,0.51
,y2(1+),333.19,1101.0,ai(2-10)-(H2O)(1+),1247.4045862247967,296.6560667199404,0.54
,y2(1+),333.19,1101.0,bi(2-10)-(HCOOH)(1+),1247.4045862247967,296.6560667199404,0.55
66,,467.09,1188.06,,936.6561352014455,296.630718161187,
67,,988.53,1204.49,,1492.9039295407529,295.7789229109567,
68,,812.32,1118.31,,1492.7195026757176,295.7573056082676,
69,b4(1+),485.35,1034.63,y8-(H2O)(1+),1337.0114151757764,295.1952876378631,0.166
70,,631.05,1227.06,,1145.6460945005826,291.5329777470439,
71,y3-(H2O)(1+),401.82,1118.06,b9(1+),3279.84028095798,291.39058870425583,0.65
72,,245.73,923.0,,565.6044902216285,289.54074859764563,
73,,840.27,971.06,,891.6421455302058,289.4788710495881,
74,y3(1+),420.13,874.83,bi(3-9)(1+),1734.202566571667,289.21657115200793,0.4
,y3(1+),420.13,874.83,a8-2(H2O)-(CH3NH2)(1+),1734.202566571667,289.21657115200793,0.587
,b4-2(NH3)-(CH3NH2)(1+),420.13,874.83,y7-(H2O)-(HCOH)(1+),1734.202566571667,289.21657115200793,0.611
75,,543.1,724.69,,1599.1547420991515,287.854464609348,
76,,385.02,1118.57,,1986.127981289053,286.462727112976,
77,,734.11,1026.52,,1478.0551162318611,286.2863121863551,
78,,333.13,1135.0,,1563.4207543879093,285.3069191678909,
79,,648.72,1176.98,,2079.278515579296,285.1716452212023,
80,,287.86,1204.44,,1594.9174496970206,284.78480678943185,
81,,1117.62,1332.53,,1227.5868946985715,283.5921005206708,
82,,526.45,682.42,,1634.9853826041751,282.54369346101964,
83,,744.66,1247.02,,844.1993717387487,281.96647249252624,
84,,545.55,1090.66,,1182.2620287691252,279.8998910304922,
85,,1052.24,1177.03,,1569.57336878866,279.70550226247036,
86,,585.43,673.61,,2429.952640289764,279.322414533487,
