Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y4(1+),433.13,628.37,b7(1+),29682024.832400158,3022.0071790914094,0.124
2,b6(1+),515.21,546.35,y5(1+),10457761.46622297,2564.802820954932,0.054
3,y3(1+),319.84,741.38,b8(1+),16230018.947464999,1678.780137721194,0.324
4,y2(1+),262.79,798.46,b9(1+),2991975.402463996,1265.4793616743723,0.35
5,b4(1+),387.08,674.32,y7(1+),2234668.4269450046,1159.8045940507895,0.139
6,,355.01,557.2,,911248.4460931055,1139.9481494808183,
7,b4(1+),387.13,497.39,ai(5-10)(1+),1312924.8041976106,913.0180914438772,0.086
,y4-(CH2S)(1+),387.13,497.39,b6-(H2O)(1+),1312924.8041976106,913.0180914438772,0.191
8,b4(1+),387.09,507.37,bi(5-10)-(H2O)(1+),1186944.1301058903,900.3053030910983,0.117
,bi(2-5)(1+),387.09,507.37,y6-2(NH3)-(CH3CH2SCH3)(1+),1186944.1301058903,900.3053030910983,0.142
,b4(1+),387.09,507.37,y6-2(NH3)-(CH3CH2SCH3)(1+),1186944.1301058903,900.3053030910983,0.142
,y4-(CH2S)(1+),387.09,507.37,ai(2-7)-2(H2O)(1+),1186944.1301058903,900.3053030910983,0.184
,y4-(CH2S)(1+),387.09,507.37,bi(2-7)-2(NH3)-(HCOH)(1+),1186944.1301058903,900.3053030910983,0.202
9,b4-(H2O)(1+),369.36,674.37,y7(1+),1523141.5612606201,881.6544776204425,0.171
10,,370.24,542.16,,413528.02852430067,785.0101921696481,
11,y4-2(H2O)(1+),397.1,515.35,b6(1+),1056542.9251913815,761.5301521441975,0.158
,bi(7-10)(1+),397.1,515.35,b6(1+),1056542.9251913815,761.5301521441975,0.201
12,,355.08,688.58,,154558.87293336412,626.428145438211,
13,,327.02,557.37,,152538.73727182252,616.9634026334891,
14,b4(1+),387.07,412.11,bi(5-9)(1+),406256.9421886482,591.6441718010783,0.198
15,bi(3-4)(1+),242.73,674.14,y7(1+),391700.9399830206,590.2203800155659,0.489
,b3-(NH3)(1+),242.73,674.14,y7(1+),391700.9399830206,590.2203800155659,0.696
16,y3-2(H2O)(1+),283.7,628.38,b7(1+),877034.5040489831,569.5970095439138,0.442
,ai(2-4)-(H2O)(1+),283.7,628.38,y7-(CH2S)(1+),877034.5040489831,569.5970095439138,0.47
,bi(8-10)(1+),283.7,628.38,b7(1+),877034.5040489831,569.5970095439138,0.502
,bi(2-4)-(NH3)-(HCOH)(1+),283.7,628.38,y7-(CH2S)(1+),877034.5040489831,569.5970095439138,0.56
17,,330.1,582.34,,117171.77551122439,547.0095467327099,
18,b5(1+),444.06,617.31,y6(1+),520972.67102297954,538.7562023342658,0.171
19,y2-(NH3)-(CH3CH2SCH3)(1+),170.59,741.37,b8(1+),1178045.2756573856,493.27609978316315,0.514
