,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
0,y1 (1+) @ 174.67 & [b13-NH3] (2+) @ 567.67,174.67,567.67,a4(2+),bi(5-11)-2(H2O)-(HCOH)(1+),1.0,1.0,0.4
1,y1 (1+) @ 174.67 & [b13-NH3] (2+) @ 567.67,174.67,567.67,y1(1+),b13-(H2O)(2+),1.0,1.0,0.459
2,y1 (1+) @ 174.67 & [b13-NH3] (2+) @ 567.67,174.67,567.67,y1(1+),bi(7-13)-2(H2O)-(HCOH)(1+),1.0,1.0,0.595
3,y1 (1+) @ 174.67 & [b13-NH3] (2+) @ 567.67,174.67,567.67,y1(1+),b13-(NH3)(2+),1.0,1.0,0.734
4,y4 (2+) @ 188.0 & [b10-NH3] (1+) @ 934.33,188.0,934.33,b4(2+),y10-(NH3)(1+),1.0,1.0,0.592
5,y4 (2+) @ 188.0 & [b10-NH3] (1+) @ 934.33,188.0,934.33,y4(2+),b10-(NH3)(1+),1.0,1.0,0.607
6,y4 (2+) @ 188.0 & [b10-NH3] (1+) @ 934.33,188.0,934.33,ai(3-4)-(NH3)-(HCOH)(1+),y10-(NH3)(1+),1.0,1.0,0.928
7,y5 (2+) @ 262.0 & b12 (2+) @ 533.0,262.0,533.0,y2(1+),b12(2+),1.0,1.0,0.292
8,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,262.0,787.33,bi(10-12)(1+),b9-(NH3)(1+),1.0,1.0,0.122
9,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,262.0,787.33,y5(2+),b9-(NH3)(1+),1.0,1.0,0.141
10,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,262.0,787.33,y2(1+),b9-(NH3)(1+),1.0,1.0,0.151
11,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,262.0,787.33,ai(10-13)-(HCOH)-(HCOH)(1+),b9-(NH3)(1+),1.0,1.0,0.87
12,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,262.0,787.33,bi(10-12)(1+),b9-(H2O)(1+),1.0,1.0,0.977
13,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,262.0,787.33,y5(2+),b9-(H2O)(1+),1.0,1.0,0.98
14,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,262.0,787.33,y2(1+),b9-(H2O)(1+),1.0,1.0,0.982
15,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,262.0,804.33,bi(10-12)(1+),b9(1+),1.0,1.0,0.13
16,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,262.0,804.33,y5(2+),b9(1+),1.0,1.0,0.149
17,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,262.0,804.33,y2(1+),b9(1+),1.0,1.0,0.158
18,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,262.0,804.33,ai(10-13)-(HCOH)-(HCOH)(1+),b9(1+),1.0,1.0,0.871
19,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,262.0,804.33,ai(3-5)-(HCOH)-(HCOH)(1+),y9-(HCOH)-(HCOH)(1+),1.0,1.0,0.875
20,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,262.0,804.33,y2(1+),bi(4-12)-2(NH3)(1+),1.0,1.0,0.991
21,y6 (2+) @ 290.33 & [b8-NH3] (1+) @ 730.33,290.33,730.33,y6(2+),b8-(NH3)(1+),1.0,1.0,0.32
22,y6 (2+) @ 290.33 & [b8-NH3] (1+) @ 730.33,290.33,730.33,ai(9-12)(1+),b8-(NH3)(1+),1.0,1.0,0.81
23,y6 (2+) @ 290.33 & b8 (1+) @ 747.33,290.33,747.33,y6(2+),b8(1+),1.0,1.0,0.321
24,y6 (2+) @ 290.33 & b8 (1+) @ 747.33,290.33,747.33,ai(9-12)(1+),b8(1+),1.0,1.0,0.81
25,y7 (2+) @ 319.0 & [b11 - NH3] (2+) @ 496.0,319.0,496.0,y3(1+),b11-(NH3)(2+),1.0,1.0,0.278
26,y7 (2+) @ 319.0 & [b11 - NH3] (2+) @ 496.0,319.0,496.0,y3(1+),b11-(H2O)(2+),1.0,1.0,0.319
27,y7 (2+) @ 319.0 & b11 (2+) @ 504.67,319.0,504.67,y3(1+),b11(2+),1.0,1.0,0.184
28,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33,319.0,673.33,bi(8-11)(1+),b7-(NH3)(1+),1.0,1.0,0.141
29,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33,319.0,673.33,y7(2+),b7-(NH3)(1+),1.0,1.0,0.161
30,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33,319.0,673.33,y3(1+),b7-(NH3)(1+),1.0,1.0,0.171
31,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33,319.0,673.33,ai(8-12)-(HCOH)(1+),b7-(NH3)(1+),1.0,1.0,0.85
32,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33,319.0,673.33,a4-(HCOH)(1+),bi(5-12)-(NH3)(1+),1.0,1.0,0.85
33,y7 (2+) @ 319.0 & b7(1+) @ 690.33,319.0,690.33,bi(8-11)(1+),b7(1+),1.0,1.0,0.14
34,y7 (2+) @ 319.0 & b7(1+) @ 690.33,319.0,690.33,y7(2+),b7(1+),1.0,1.0,0.16
35,y7 (2+) @ 319.0 & b7(1+) @ 690.33,319.0,690.33,y3(1+),b7(1+),1.0,1.0,0.17
36,y7 (2+) @ 319.0 & b7(1+) @ 690.33,319.0,690.33,ai(8-12)-(HCOH)(1+),b7(1+),1.0,1.0,0.85
37,y7 (2+) @ 319.0 & b7(1+) @ 690.33,319.0,690.33,a4-(HCOH)(1+),bi(5-12)(1+),1.0,1.0,0.85
38,y7 (2+) @ 319.0 & b7(1+) @ 690.33,319.0,690.33,bi(9-12)(1+),a8-(HCOH)(1+),1.0,1.0,1.0
39,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,bi(2-9)-(CH3NH2)(2+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.1
40,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,b8-(CH3NH2)(2+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.1
41,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,a9-(HCOH)-(HCOH)(2+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.1
