,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y7 (1+) @ 637.39 & b7 (1+) @ 690.36,m1+m2,1327.75,0,0,0,0,0,0,0,0,0,0
2,y6 (1+) @ 580.39 & b8 (1+) @ 747.43,m1+m2,1327.82,0,0,0,0,0,0,0,0,0,0
3,y5 (1+) @ 523.26 & b9 (1+) @ 804.37,m1+m2,1327.63,-1,0,0,0,0,0,0,0,0,0
4,y6 (1+) @ 580.37 & [b8-NH3] (1+) @ 730.35,m1+m2,1310.72,1,1,1,1,1,1,1,1,1,1
5,[y4-NH3] (1+) @ 359.11 & b10 (1+) @ 951.13,m1+m2,1310.24,-1,-1,-1,1,1,1,1,1,1,1
6,[b8-CH3NH2-NH3] (1+) @ 699.38 & y6 (1+) @ 580.59,m1+m2,1279.97,-1,-1,2,2,2,2,2,2,2,2
7,[y5-NH3] (1+) @ 506.09 & b9 (1+) @ 804.5,m1+m2,1310.59,1,1,1,1,1,1,1,1,1,1
8,y6(1+) @ 580.43 & [b7-NH3] (1+) @ 673.04,m1+m2,1253.4699999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,[y6-NH3] (1+) @ 562.87 & b8 (1+) @ 747.77,m1+m2,1310.6399999999999,1,1,1,1,1,1,1,1,1,1
10,[y10-CH3NH2] (1+) @ 921.04 & a4 (1+) @,m1+2m2,,,,,,,,,,,
11,b10 (1+) @ 951.13 & [y4-2(H2O)-NH3] (1+) @ 323.13,m1+m2,1274.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,[y9-NH3] (1+) @ 847.45 & [b5-NH3] (1+) @ 446.02,m1+m2,1293.47,-1,-1,-1,-1,3,3,3,3,3,3
13,[y9-CH3NH2] (1+) @ 833.18 & [b5-NH3-H2O] (1+) @ 427.77,m1+m2,1260.9499999999998,-1,-1,-1,-1,-1,-1,-1,-1,4,4
14,[b8+H2O] (1+) @ 765.76 & [y6-H2O] (1+) @ 562.31,m1+m2,1328.07,-1,-1,0,0,0,0,0,0,0,0
15,[y3-NH3] (1+) @ 301.75 & b11(1+) @ 1009.17,m1+m2,1310.92,-1,-1,1,1,1,1,1,1,1,1
16,b9 (1+) @ 804.33 & [y5-2(NH3)](1+) @ 490.22,m1+m2,1294.5500000000002,-1,-1,-1,-1,-1,-1,3,3,3,3
17,[y10 - HN=C=N-CH3] (1+) @ 895.4 & a4 (1+) @ 347.81,m1+m2,1243.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,y6(1+) @ 580.57 & a8(1+) @ 719.46,m1+m2,1300.0300000000002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,[y9-NH3] (1+) @ 847.25 & [b5-NH3-H2O] (1+) @ 428.27,m1+m2,1275.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,[y9- CH3NH2] (1+) @ 833.18 & [a5-NH3-H2O] (1+) @ 400.18,m1+m2,1233.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,[y3-NH3] (1+) @ 301.89 & [b11-NH3] (1+) @ 992.02,m1+m2,1293.9099999999999,-1,-1,-1,-1,3,3,3,3,3,3
22,a9 (1+) @ 776.68 & ??? @ 485.61,m1+m2,1262.29,2,2,3,3,4,4,4,4,4,4
23,[y10-NH3] (1+) @ 934.85 & b3(1+) @ 228.71,m1+2m2,1392.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,??? @ 682.12 & y6 (1+) @ 580.14,m1+m2,1262.26,2,2,3,3,4,4,4,4,4,4
25,[y9- CH3NH2 – NH3] (1+) @ 816.84 & [b5-NH3-H2O] (1+) @ 428.1,m1+m2,1244.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,[y9- CH3NH2] (1+) @ 833.6 & [b5-NH3] (1+) @ 446.11,m1+m2,1279.71,-1,-1,2,2,2,2,2,2,2,2
27,b11 (1+) @ 1008.62 & [y3 - HN=C=NH - 2(H2O)] (1+) @ 240.79,m1+m2,1249.41,-1,3,4,4,5,5,5,5,5,5
28,[y9-NH3] (1+) @ 847.79 & [a5-NH3] (1+) @ 418.1,m1+m2,1265.8899999999999,-1,-1,-1,-1,-1,-1,6,6,6,6
29,[y10-NH3] (1+) @ 934.52 & [a4-NH3] (1+) @ 330.69,m1+m2,1265.21,-1,4,5,5,6,6,6,6,6,6
30,y7(1+) @ 637.6 & [b6-NH3] (1+) @ 503.15,m1+m2,1140.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,[y10- HN=C=NH - NH3] (1+) @ 891.57 & b3 (1+) @ 228.66,m1+2m2,1348.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,y10/b10 (1+) @ 51.14 & [b4/y4 -NH3-H2O] (1+) @ 341.21,m1+2m2,733.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,[b8- CH3NH2 - NH3] (1+) @ 699.4 & [y6 - H2O] (1+) @ 562.35,m1+m2,1261.75,-1,-1,-1,-1,-1,4,4,4,4,4
34,b12 (1+) @ 1065.78 & [y2-H2O-NH3] (1+) @ 226.8,m1+m2,1292.58,-1,-1,6,6,7,7,3,3,3,3
35,[b9- CH3NH2 - NH3] (1+) @ 755.7 & y5 (1+) @ 523.15,m1+m2,1278.85,-1,-1,-1,-1,-1,-1,-1,-1,2,2
36,b7 (1+) @ 691.33 & [y7-NH3] (1+) @ 620.15,m1+m2,1311.48,-1,-1,-1,-1,-1,1,1,1,1,1
37,b10 (1+) @ 952.06 & [y4 - HN=C=NH -2(H2O)] (1+) @ 297.46,m1+m2,1249.52,-1,3,4,4,5,5,5,5,5,5
38,[b9 - CH3-NH2] (1+) @ 773.13 & y5 (1+) @ 523.25,m1+m2,1296.38,-1,5,7,7,8,8,7,7,7,7
