,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum
1,y7 (1+) @ 637.39 & b7 (1+) @ 690.36,y7,,,1+,637.39,b7,,,1+,690.36,0.0,0.0,636.2979500000001,689.32451,637.3052000000001,690.33176,0.08479999999985921,0.0282399999999825,1327.75,1965.1399999999999,2018.1100000000001,m1+m2,1327.75
2,y6 (1+) @ 580.39 & b8 (1+) @ 747.43,y6,,,1+,580.39,b8,,,1+,747.43,0.0,0.0,579.2764900000001,746.3459700000001,580.2837400000001,747.3532200000001,0.10625999999990654,0.0767799999998715,1327.82,1908.21,2075.25,m1+m2,1327.82
3,y5 (1+) @ 523.26 & b9 (1+) @ 804.37,y5,,,1+,523.26,b9,,,1+,804.37,0.0,0.0,522.25503,803.3674300000001,523.26228,804.3746800000001,-0.002280000000041582,-0.004680000000121254,1327.63,1850.8899999999999,2132.0,m1+m2,1327.63
4,y6 (1+) @ 580.37 & [b8-NH3] (1+) @ 730.35,y6,,,1+,580.37,b8,NH3,-,1+,730.35,0.0,17.02654910112,579.2764900000001,746.3459700000001,580.2837400000001,730.32667089888,0.08625999999992473,0.023329101119998086,1310.72,1891.0900000000001,2041.0700000000002,m1+m2,1310.72
5,[y4-NH3] (1+) @ 359.11 & b10 (1+) @ 951.13,y4,NH3,-,1+,359.11,b10,,,1+,951.13,17.02654910112,0.0,375.18662,950.4358400000001,359.16732089888,951.4430900000001,-0.057320898879993365,-0.313090000000102,1310.24,1669.35,2261.37,m1+m2,1310.24
6,[b8-CH3NH2-NH3] (1+) @ 699.38 & y6 (1+) @ 580.59,b8,CH3NH2-NH3,-,1+,699.38,y6,,,1+,580.59,48.0687482667,0.0,746.3459700000001,579.2764900000001,699.2844717333,580.2837400000001,0.09552826669994374,0.306259999999952,1279.97,1979.35,1860.56,m1+m2,1279.97
7,[y5-NH3] (1+) @ 506.09 & b9 (1+) @ 804.5,y5,NH3,-,1+,506.09,b9,,,1+,804.5,17.02654910112,0.0,522.25503,803.3674300000001,506.23573089888004,804.3746800000001,-0.14573089888006052,0.1253199999998742,1310.59,1816.6799999999998,2115.09,m1+m2,1310.59
8,y6(1+) @ 580.43 & [b7-NH3] (1+) @ 673.04,y6,,,1+,580.43,b7,NH3,-,1+,673.04,0.0,17.02654910112,579.2764900000001,689.32451,580.2837400000001,673.30521089888,0.14625999999987016,-0.2652108988800137,1253.4699999999998,1833.8999999999999,1926.5099999999998,m1+m2,1253.4699999999998
9,[y6-NH3] (1+) @ 562.87 & b8 (1+) @ 747.77,y6,NH3,-,1+,562.87,b8,,,1+,747.77,17.02654910112,0.0,579.2764900000001,746.3459700000001,563.25719089888,747.3532200000001,-0.38719089888002145,0.41677999999990334,1310.6399999999999,1873.51,2058.41,m1+m2,1310.6399999999999
10,[y10-CH3NH2] (1+) @ 921.04 & a4 (1+) @,y10,CH3NH2,-,1+,921.04,,,,,,31.04219916558,0.0,950.4682000000001,,920.4332508344202,,0.6067491655797994,,,,,m1+2m2,
11,b10 (1+) @ 951.13 & [y4-2(H2O)-NH3] (1+) @ 323.13,b10,,,1+,951.13,y4,2(H2O)-NH3,-,1+,323.13,0.0,53.04767846918,950.4358400000001,375.18662,951.4430900000001,323.14619153082003,-0.313090000000102,-0.01619153082003777,1274.26,2225.39,1597.3899999999999,m1+m2,1274.26
12,[y9-NH3] (1+) @ 847.45 & [b5-NH3] (1+) @ 446.02,y9,NH3,-,1+,847.45,b5,NH3,-,1+,446.02,17.02654910112,17.02654910112,863.4361700000002,462.18629000000004,847.4168708988801,446.16699089888004,0.03312910111992551,-0.14699089888006256,1293.47,2140.92,1739.49,m1+m2,1293.47
13,[y9-CH3NH2] (1+) @ 833.18 & [b5-NH3-H2O] (1+) @ 427.77,y9,CH3NH2,-,1+,833.18,b5,NH3-H2O,-,1+,427.77,31.04219916558,35.03711378515,863.4361700000002,462.18629000000004,833.4012208344202,428.15642621485006,-0.22122083442025087,-0.38642621485007567,1260.9499999999998,2094.13,1688.7199999999998,m1+m2,1260.9499999999998
14,[b8+H2O] (1+) @ 765.76 & [y6-H2O] (1+) @ 562.31,b8,H2O,+,1+,765.76,y6,H2O,-,1+,562.31,18.01056468403,18.01056468403,746.3459700000001,579.2764900000001,765.3637846840301,562.2731753159701,0.39621531596992554,0.036824684029852506,1328.07,2093.83,1890.3799999999999,m1+m2,1328.07
15,[y3-NH3] (1+) @ 301.75 & b11(1+) @ 1009.17,y3,NH3,-,1+,301.75,b11,,,1+,1009.17,17.02654910112,0.0,318.16516,1007.4573000000001,302.14586089888,1008.4645500000001,-0.3958608988800165,0.7054499999998143,1310.92,1612.67,2320.09,m1+m2,1310.92
16,b9 (1+) @ 804.33 & [y5-2(NH3)](1+) @ 490.22,b9,,,1+,804.33,y5,2(NH3),-,1+,490.22,0.0,34.05309820224,803.3674300000001,522.25503,804.3746800000001,489.20918179776004,-0.044680000000084874,1.0108182022399888,1294.5500000000002,2098.88,1784.77,m1+m2,1294.5500000000002
