,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y5 (1+) @ 519.33 & b3 (2+) @ 236.46,y5,,,1+,519.33,b3,,,2+,236.46,0.0,0.0,518.23362,471.25939999999997,519.24087,236.63694999999998,0.08913000000006832,-0.17694999999997663,755.7900000000001,1275.1200000000001,992.25,m1+2m2,992.25,0,0,0,0,0,0,0,0,0,0
2,y6 (2+) @ 352.17 & b2 (1+) @ 287.97,y6,,,2+,352.17,b2,,,1+,287.97,0.0,0.0,702.36603,287.12699,352.190265,288.13424,-0.02026499999999487,-0.16423999999994976,640.1400000000001,992.3100000000001,928.1100000000001,2m1+m2,992.3100000000001,0,0,0,0,0,0,0,0,0,0
3,y2 (1+) @ 276.0 & b6 (2+) @ 358.22,y2,,,1+,276.0,b6,,,2+,358.22,0.0,0.0,275.14811,714.34491,276.15536,358.179705,-0.1553599999999733,0.040295000000014625,634.22,910.22,992.44,m1+2m2,992.44,0,0,0,0,0,0,0,0,0,0
4,y4 (1+) @ 462.2 & b4 (2+) @ 265.05,y4,,,1+,462.2,b4,,,2+,265.05,0.0,0.0,461.2121599999999,528.28086,462.2194099999999,265.14768,-0.019409999999936645,-0.09767999999996846,727.25,1189.45,992.3,m1+2m2,992.3,0,0,0,0,0,0,0,0,0,0
5,y2 (1+) @ 275.95 & [b6-NH3] (2+) @ 349.0,y2,,,1+,275.95,b6,NH3,-,2+,349.0,0.0,17.02654910112,275.14811,714.34491,276.15536,349.66643044944,-0.20535999999998467,-0.6664304494399858,624.95,900.9,973.95,m1+2m2,973.95,1,1,1,1,1,1,1,1,1,1
6,y6 (2+) @ 352.25 & a2 (1+) @ 260.09,y6,,,2+,352.25,a2,,,1+,260.09,0.0,0.0,702.36603,259.11638999999997,352.190265,260.12363999999997,0.05973499999998921,-0.03363999999999123,612.3399999999999,964.5899999999999,872.43,2m1+m2,964.5899999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,b4 (1+) @ 529.34 & Im(W) @ 158.68,b4,,,1+,529.34,,,,,158.68,0.0,0.0,528.28086,,529.28811,,0.05189000000007127,,688.02,1217.3600000000001,846.7,m1+2m2,846.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,379.75 & 197.76,,,,,379.75,,,,,197.76,0.0,0.0,,,,,,,577.51,957.26,775.27,2m1+m2,957.26,-1,-1,-1,-1,-1,-1,-1,2,2,2
9,[y3-NH3] (1+) @ 387.08 & [b5-NH3] (2+) @ 284.5,y3,NH3,-,1+,387.08,b5,NH3,-,2+,284.5,17.02654910112,17.02654910112,404.19069999999994,585.30232,388.17140089887994,285.14513544944,-1.0914008988799537,-0.6451354494399766,671.5799999999999,1058.6599999999999,956.0799999999999,m1+2m2,956.0799999999999,-1,-1,-1,2,2,2,2,2,2,2
10,[y2-NH3] (2+) @ 129.42 & b7 (2+) @ 422.56,y2,NH3,-,2+,129.42,b7,,,2+,422.56,17.02654910112,0.0,275.14811,843.3875,130.06803044944,422.701,-0.6480304494400002,-0.14100000000001955,551.98,681.4,974.54,m1+2m2,974.54,-1,2,1,1,1,1,1,1,1,1
11,[bi3-7 - HCOOH] (1+) @ 511.25 & Im (W) @ 158.67,bi3-7,HCOOH,-,1+,511.25,,,,,158.67,46.0054793036,0.0,556.26051,,511.26228069639996,,-0.012280696399955104,,669.92,1181.17,828.5899999999999,m1+2m2,828.5899999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
