m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
536.8535300000001	977.56968	10935.697	10260.014	246.53818	725	1057.02356	9016.401367	537.35077299	977.90413459	2.0	3.0	ffc_line
714.9563800000001	858.8326133333334	7484.8697	6909.8016	230.38912	1347	2740.950928	4452.258789	715.95928161	858.83253251	2.0	3.0	ffc_line
714.95713	858.8326133333334	33015.339	30962.311	519.66255	19	7287.959961	5887.783203	715.45818357	859.16708053	2.0	3.0	ffc_line
507.30668	997.2666800000001	32908.687	27416.675	304.49631	141	2503.153809	55772.65625	507.3056947	997.93548112	2.0	3.0	ffc_line
665.42258	891.85598	11680.751	10991.087	302.6213	147	2930.113037	5793.853027	666.42457583	891.85658203	2.0	3.0	ffc_line
601.37508	934.55478	22029.156	20045.1	434.00178	39	4652.558594	7464.984863	601.87567191	934.88923931	2.0	3.0	ffc_line
536.8535300000001	977.56968	44658.18	43114.414	633.58157	8	7287.316406	6710.589355	536.85350795	978.23735262	2.0	3.0	ffc_line
601.37508	934.55478	8677.647	8314.2796	328.28553	97	1385.694092	4653.150879	602.37726795	934.55495728	2.0	3.0	ffc_line
741.9537300000001	840.1668466666667	3370.8756	3356.4112	252.88024	583	1312.172485	503.517456	743.96958575	840.16024408	2.0	3.0	ffc_line
665.42258	891.85598	49323.83	46378.095	594.21629	11	8824.393555	8645.186523	665.92444779	892.19044005	2.0	3.0	ffc_line
676.40548	884.5346133333334	23422.131	23003.919	502.83078	23	2337.665283	8991.875977	676.40548759	885.20308052	2.0	3.0	ffc_line
601.37508	934.55478	21207.066	19192.046	392.59243	49	7510.525879	6224.410645	601.37494387	935.22361234	2.0	3.0	ffc_line
542.32803	973.58728	10042.138	9283.2576	282.76128	250	811.381226	22163.167969	543.32786244	973.92171729	2.0	3.0	ffc_line
676.40548	884.5346133333334	10619.623	9720.9478	266.01316	392	1635.036255	12195.871094	676.90708163	884.86905849	2.0	3.0	ffc_line
665.42258	891.85598	44383.351	41758.325	644.68964	7	10164.852539	6037.196777	665.42238076	892.52552908	2.0	3.0	ffc_line
714.95713	858.8326133333334	21880.086	20805.057	412.02362	43	8203.520508	5088.088867	714.95639853	859.50288756	2.0	3.0	ffc_line
536.8535300000001	977.56968	30424.249	29452.95	590.15689	12	3703.027344	9016.401367	537.35610799	977.90413459	2.0	3.0	ffc_line
714.95713	858.8326133333334	11236.949	11084.885	325.0328	102	1598.692017	5088.088867	714.96633853	859.50288756	2.0	3.0	ffc_line
741.9537300000001	840.1668466666667	4599.4548	4461.5654	279.36546	274	1394.309204	2212.346924	743.46907471	840.50130811	2.0	3.0	ffc_line
741.9537300000001	840.1668466666667	2511.1181	2484.6349	223.16979	1838	1312.172485	465.621063	743.96958575	839.82491206	2.0	3.0	ffc_line
714.95713	858.8326133333334	32295.448	30775.03	518.32714	20	7287.959961	4452.258789	715.45818357	858.83253251	2.0	3.0	ffc_line
714.95713	858.8326133333334	36074.295	34475.215	530.72493	17	8203.520508	5887.783203	714.95639853	859.16708053	2.0	3.0	ffc_line
507.30668	997.2666800000001	29373.914	21756.962	241.88697	865	2503.153809	71064.914063	507.3056947	997.60113709	2.0	3.0	ffc_line
542.32803	973.58728	14161.832	13455.73	255.96187	525	983.134033	22163.167969	542.8252244	973.92171729	2.0	3.0	ffc_line
665.42258	891.85598	66678.423	63106.417	716.58684	4	10164.852539	8645.186523	665.42238076	892.19044005	2.0	3.0	ffc_line
