m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
725.41588	761.1814300000001	21029.25	16450.538	119.59575	7704	8988.938477	5100.819824	0	726.419375	761.432281	2	4	ffc_line
612.3314300000001	818.482555	23905.696	21079.189	146.90126	2211	18141.761719	2460.867188	0	612.331443	818.482567	2	4	ffc_line
666.37648	790.21738	48379.636	38461.217	127.80803	5329	34256.730469	5484.28418	0	667.379302	790.968177	2	4	ffc_line
749.93928	749.6884550000001	706414.98	357883.93	115.8788	9006	18142.796875	312006.875	0	749.437345	749.939297	2	4	ffc_line
596.84668	825.7338550000001	36116.652	30330.039	170.68462	744	2983.531982	27114.330078	0	597.849053	825.733908	2	4	ffc_line
725.41588	761.449055	469823.75	297284.44	274.32356	56	29642.630859	78403.257813	0	725.415877	761.950532	2	4	ffc_line
733.4287800000001	757.194305	21053.541	18767.758	105.60287	13742	4612.88916	5613.712891	0	734.92801	757.194479	2	4	ffc_line
666.37648	790.21738	355990.4	171923.12	174.1931	626	136702.09375	15514.326172	0	666.878039	791.219504	2	4	ffc_line
661.3680300000001	793.473055	189520.04	101457.2	160.33443	1177	10474.780273	85877.625	0	661.368052	793.974537	2	4	ffc_line
532.79898	857.7574050000001	86635.228	71581.706	299.87227	43	4604.45459	24554.28125	0	532.798998	858.259089	2	4	ffc_line
532.79898	857.7574050000001	39104.362	32575.848	201.55565	221	2668.499268	24387.839844	0	533.300365	858.008507	2	4	ffc_line
596.84668	825.7338550000001	361507.75	216823.42	283.92799	49	18650.214844	80952.023438	0	596.84668	826.235368	2	4	ffc_line
661.3680300000001	793.473055	150753.05	101821.71	182.8924	429	6975.993652	100787.984375	0	661.86965	793.723885	2	4	ffc_line
666.37648	790.21738	491945.85	293589.44	265.03787	63	186418.96875	14735.070313	0	666.376489	791.470501	2	4	ffc_line
725.41588	761.449055	522346.44	256621.82	214.09757	157	28152.609375	96996.125	0	725.917768	761.699887	2	4	ffc_line
725.41588	761.449055	78109.245	47694.065	111.91133	10631	8988.938477	37541.628906	0	726.419375	761.449109	2	4	ffc_line
596.84668	825.7338550000001	284905.01	200678.27	293.59774	44	12084.492188	90494.71875	0	597.348212	825.984697	2	4	ffc_line
725.41588	761.449055	39552.059	32892.281	104.86324	14137	2672.978027	25088.998047	0	724.91884	762.201123	2	4	ffc_line
827.6829133333333	846.9486466666666	147827.48	95257.641	120.05637	7531	8949.833984	48955.78125	1	827.682919	847.283102	3	3	ffc_line
823.7454133333333	850.8872133333333	219881.79	142555.64	108.492	12269	3626.397949	478650.21875	1	824.079876	850.887207	3	3	ffc_line
836.35018	836.9517800000001	143451.55	104609.64	119.57926	7711	57748.066406	9987.385742	1	836.684626	838.286359	3	3	ffc_line
829.5440133333334	842.7528800000001	32566.27	31253.044	134.68427	3871	5108.09668	3321.866211	1	830.881433	844.091469	3	3	ffc_line
826.15158	847.1485133333333	190839.24	122851.98	111.29343	10899	31868.662109	23569.384766	1	826.486044	848.488103	3	3	ffc_line
819.9485466666667	854.35838	1179765.9	664973.79	165.0295	932	37678.210938	315560.625	1	820.283002	854.692818	3	3	ffc_line
835.75548	838.5563133333334	69695.659	51749.031	118.3598	8089	15470.591797	8497.472656	1	836.089919	838.890757	3	3	ffc_line
826.15158	846.1585466666667	21588.847	20340.915	103.01494	15188	7539.541992	2574.231445	1	827.484121	847.496681	3	3	ffc_line
819.1460800000001	852.1607466666667	47738.134	40908.315	144.82453	2435	16309.763672	4018.571533	1	821.480859	853.50047	3	3	ffc_line
826.15158	849.1684133333334	68867.533	60571.091	146.8039	2222	31868.662109	3426.131592	1	826.486044	848.49645	3	3	ffc_line
654.6379466666667	1020.34488	41703.886	36246.925	135.95456	3646	32060.541016	2640.11084	1	654.63795	1020.344866	3	3	ffc_line
835.3548466666667	837.9519133333334	14093.241	13401.829	117.31669	8459	2935.048096	3183.197998	1	835.68931	839.293912	3	3	ffc_line
815.7436466666667	858.9076133333334	45553.537	36176.832	104.18092	14529	16485.638672	3331.623291	1	816.078096	858.907626	3	3	ffc_line
816.1428800000001	856.1873800000001	14523.185	14198.696	120.32247	7447	4502.349609	2513.413574	1	817.475535	857.524124	3	3	ffc_line
