m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
668.86863	789.21258	11693.948	11733.783	106.29449	1729	3336.966553	2621.842773	669.87268368	789.21321106	2.0	4.0	ffc_line
725.41238	761.448105	69437.598	59745.344	130.83309	273	12432.706055	17906.8125	725.41237675	761.44810003	2.0	4.0	ffc_line
533.29633	857.50238	12266.673	12170.352	112.28632	1082	962.005371	7793.57666	533.29635404	858.25403722	2.0	4.0	ffc_line
596.84308	825.73023	51802.14	47924.918	146.54012	94	4386.131348	30045.128906	597.34389162	826.23165144	2.0	4.0	ffc_line
661.36288	793.4693050000001	35346.405	31932.547	122.66777	491	2817.374756	29540.378906	661.86624473	793.97074738	2.0	4.0	ffc_line
725.41238	761.445405	61469.777	56170.267	136.53056	180	12432.706055	16160.09375	725.41237675	762.19811987	2.0	4.0	ffc_line
596.84308	825.73023	54021.928	50504.44	145.74791	100	7653.060547	17933.158203	596.84307206	826.48278172	2.0	4.0	ffc_line
667.38183	790.2140300000001	13795.41	13642.636	118.31027	698	966.150269	3096.421387	667.88514946	790.96530902	2.0	4.0	ffc_line
661.36288	793.4693050000001	37743.789	33530.368	116.64711	782	3476.739258	29540.378906	661.36290417	793.97074738	2.0	4.0	ffc_line
596.84308	825.73023	86417.731	77863.774	165.5872	29	7653.060547	30045.128906	596.84307206	826.23165144	2.0	4.0	ffc_line
661.36288	793.4693050000001	43401.286	39026.6	145.32187	105	2817.374756	35713.785156	661.86624473	793.7201471	2.0	4.0	ffc_line
716.6258600000001	915.4830800000001	14137.694	13942.436	134.20577	211	1555.178711	7213.625977	716.62585393	915.48312819	5.0	1.0	ffc_line
686.4035200000001	1064.58418	6947.5951	6723.3098	107.07506	1635	2900.174561	1472.697632	686.80564761	1064.58422783	5.0	1.0	ffc_line
661.36288	793.4693050000001	53850.339	48451.053	127.86787	335	3476.739258	35713.785156	661.36290417	793.7201471	2.0	4.0	ffc_line
666.37278	790.2140300000001	69477.585	65853.287	155.46943	52	52013.984375	3096.421387	666.87455833	790.96530902	2.0	4.0	ffc_line
596.84308	825.73023	90116.31	82088.509	174.82712	16	7653.060547	33017.101563	596.84307206	825.98107415	2.0	4.0	ffc_line
702.4086550000001	844.47338	16601.863	15670.652	109.00059	1415	1583.293091	8249.459961	702.40866104	844.47337482	4.0	2.0	ffc_line
654.63473	940.02738	13381.495	13134.388	112.84826	1036	25036.363281	484.698364	654.88558093	940.02736862	4.0	2.0	ffc_line
654.63473	938.52813	19247.363	18787.783	106.81965	1666	8928.552734	2838.341309	655.38777549	939.0297975	4.0	2.0	ffc_line
654.63473	939.53438	37215.148	35397.677	135.03162	202	18505.033203	2878.160889	655.13670721	939.53437707	4.0	2.0	ffc_line
701.9146800000001	844.97983	38343.194	37473.307	117.38587	745	1548.178467	12324.739258	702.16550977	845.48150295	4.0	2.0	ffc_line
716.82386	915.4830800000001	7392.7761	7263.3525	125.73517	395	1166.014893	7213.625977	716.82385116	915.48312819	5.0	1.0	ffc_line
703.81136	979.5646800000001	18889.731	17104.478	119.15507	637	5142.246094	3686.253662	704.21270206	978.55632468	5.0	1.0	ffc_line
729.22842	850.4831800000001	52977.094	51478.542	128.26435	330	1680.657227	23523.121094	729.62976047	851.48497466	5.0	1.0	ffc_line
732.9226050000001	781.95208	45638.289	43954.928	150.50892	75	12765.512695	3667.866211	733.17336143	782.45373351	4.0	2.0	ffc_line
654.63473	939.53438	28936.397	26345.043	128.71021	315	14207.597656	2878.160889	654.63558165	939.53437707	4.0	2.0	ffc_line
733.426905	781.95208	35627.596	32557.577	122.66485	492	23987.175781	3212.3396	733.42689471	781.95236195	4.0	2.0	ffc_line
596.84308	825.73023	48208.74	46614.381	132.8138	233	4386.131348	17933.158203	597.34389162	826.48278172	2.0	4.0	ffc_line
725.41238	762.19613	30041.154	29313.4	120.16218	589	12432.706055	2632.717773	725.41237675	762.69812343	2.0	4.0	ffc_line
666.37280077	978.89461310	415460.65	335048.49	266.88076	1	75390.40625	26660.886719	666.37280077	979.56463181	2.0	3.0	topfd
666.37280077	978.89461310	215050.27	191355.4	262.92845	2	75390.40625	12187.589844	666.37280077	979.89783118	2.0	3.0	topfd
666.37280077	978.89461310	280079.88	230846.37	240.32748	3	52013.984375	26660.886719	666.87455833	979.56463181	2.0	3.0	topfd
666.37280077	978.89461310	366102.27	272512.91	221.16393	4	75390.40625	27505.117188	666.37280077	979.22890943	2.0	3.0	topfd
666.37280077	978.89461310	152575.63	138068.1	215.15487	5	52013.984375	12187.589844	666.87455833	979.89783118	2.0	3.0	topfd
666.37280077	1016.92414556	182866.19	152138.7	204.71899	6	75390.40625	13086.357422	666.37280077	1016.92414556	2.0		topfd
666.37280077	1017.59278131	119643.05	105790.49	199.20862	7	75390.40625	5922.193848	666.37280077	1017.59278131	2.0		topfd
199.18030961	820.06861355	82848.097	123021.19	194.15325	8	255187.1875	4893.766602	199.18030961	820.06861355			topfd
666.37280077	921.54624034	58870.195	57187.029	193.69509	9	52013.984375	1747.399048	666.87455833	922.54828708	2.0	3.0	topfd
666.37280077	978.89461310	152473.42	133957.23	191.60701	10	14901.019531	27505.117188	667.37377089	979.22890943	2.0	3.0	topfd
666.37280077	921.54624034	87509.772	76545.803	187.48857	11	75390.40625	3460.380859	666.37280077	922.21370771	2.0	3.0	topfd
666.37280077	978.89461310	229636.09	172334.65	186.78707	12	52013.984375	27505.117188	666.87455833	979.22890943	2.0	3.0	topfd
200.17714473	877.30571352	49701.282	52859.205	181.73807	13	1109.984253	170310.640625	200.17714473	877.30571352			topfd
666.37280077	1017.59278131	103086.48	94605.051	180.62969	14	52013.984375	5922.193848	666.87455833	1017.59278131	2.0		topfd
793.46953082	1095.54935344	44411.182	43453.963	176.13843	15	18446.875	3782.778809	794.22151166	1095.54935344	4.0	1.0	topfd
832.87528711	873.30039604	141104.52	130822.82	174.68135	17	4481.227539	56851.546875	832.87798486	873.30039604	5.0		topfd
284.19573863	842.48118284	47286.376	45453.78	174.2647	18	3929.76001	36868.410156	284.19573863	842.88230004		5.0	topfd
793.46953082	1095.54935344	46526.93	44704.726	171.43417	19	29540.378906	3782.778809	793.97074738	1095.54935344	4.0	1.0	topfd
761.44796328	1192.67649399	24369.052	23216.612	170.54689	20	17906.8125	1696.10022	761.44810003	1192.67649399	4.0	1.0	topfd
838.48646844	915.48312819	21360.863	20552.959	170.41544	21	6371.824219	3181.882813	838.73674241	916.48654631	4.0	1.0	topfd
589.29128862	819.27730229	60457.969	55940.429	170.20942	22	2621.900391	78915.429688	590.29489474	820.07958556	1.0	5.0	topfd
844.47337482	860.15963140	36227.364	35647.664	170.11901	23	8249.459961	5177.186523	844.47337482	860.49392473		3.0	topfd
731.24751928	820.06861355	60121.061	59435.064	169.76461	24	3581.140381	4893.766602	731.24751928	820.06861355			topfd
788.4442032	873.70092949	36214.037	35754.879	168.32426	25	389.844055	53216.003906	788.4442032	873.70092949			topfd
761.44796328	1223.64970261	28481.642	27085.204	167.16281	26	30478.798828	1027.928345	761.94716559	1224.64761472	4.0	1.0	topfd
798.26630685	854.08716357	333697.76	266328.8	167.03173	27	1682.904785	657060.4375	799.06693307	854.08716357	5.0		topfd
751.38308778	879.76267626	12511.631	12155.365	165.59024	28	1070.357422	9269.563477	752.3871379	879.76267626	1.0		topfd
854.28765079	967.88313775	179446.35	154589.1	165.12086	30	765626.4375	590.406982	854.28765079	967.88313775			topfd
832.87528711	850.48247576	321915.44	290334.58	164.94546	31	15616.193359	69728.8125	833.27640331	851.28398443	5.0	5.0	topfd
597.35291163	876.70422285	95446.036	73611.69	164.47086	32	769.637817	255958.9375	597.35291163	876.70422285			topfd
819.27730229	850.48247576	446726.4	351107.65	164.4169	33	29685.699219	66331.054688	819.47794789	850.48319754	5.0	5.0	topfd
666.37280077	978.89461310	86985.526	75159.781	164.23441	34	14901.019531	17221.048828	667.37377089	978.89600306	2.0	3.0	topfd
666.37280077	978.89461310	163548.58	126951.83	163.38902	35	52013.984375	17221.048828	666.87455833	978.89600306	2.0	3.0	topfd
789.21269859	876.70422285	336621.33	288340.14	162.26981	36	6242.655273	255958.9375	789.46342034	876.70422285	4.0		topfd
850.48247576	1016.58704619	247296.81	231638.58	162.0843	37	159148.578125	4938.957031	850.88354199	1016.58704619	5.0		topfd
669.36992212	971.55636423	48016.775	43686.104	162.08138	38	7609.478516	13586.680664	669.36992212	971.89065923		3.0	topfd
712.24158303	789.21269859	76248.824	76468.731	161.39165	39	21678.029297	2621.842773	712.24158303	789.21321106		4.0	topfd
716.4198797	730.92068791	107020.51	100461.49	160.95018	40	2547.717773	56660.640625	716.4198797	730.92068791			topfd
825.72974762	855.08976169	152014.39	143013.25	160.76261	41	13696.728516	23076.396484	825.72988487	855.08976169	4.0		topfd
666.37280077	1016.58704619	87587.706	81552.945	160.72734	42	75390.40625	4938.957031	666.37280077	1016.58704619	2.0		topfd
612.32599136	1009.24860036	31704.663	30198.885	158.98761	43	5748.131348	7197.477051	612.32599136	1009.58289836	2.0	3.0	topfd
844.97516338	860.15963140	27275.073	26244.898	158.56446	44	6207.956543	2764.677246	844.97516338	860.8309271		3.0	topfd
867.003854	915.48312819	19249.732	19119.268	157.95942	45	2687.990234	7213.625977	867.003854	915.48312819		1.0	topfd
717.40768781	877.10505529	54043.487	50846.409	157.45737	46	585.241699	261615.296875	717.40768781	877.10505529			topfd
825.72974762	873.90138971	192282.37	171691.31	156.68566	47	17933.158203	30459.568359	826.48278172	873.90138971	4.0		topfd
586.09097204	876.70422285	45504.177	60230.125	156.46118	48	568.472839	255958.9375	586.09097204	876.70422285			topfd
669.36992212	846.14975340	35625.855	35524.189	156.19374	49	7609.478516	3550.908203	669.36992212	846.48404907		3.0	topfd
654.62698464	820.06861355	33903.905	33774.775	156.18369	50	1506.790894	4893.766602	654.62698464	820.06861355			topfd
645.87122286	850.48247576	48471.857	48169.848	156.18246	51	554.529297	124575.515625	645.87122286	851.08412621		5.0	topfd
825.72974762	966.51119922	34284.366	32733.02	155.21369	53	17933.158203	3986.5271	826.48278172	966.51119922	4.0		topfd
227.17510390	572.2700106	7395.7242	6620.4317	155.1676	54	48250.851563	418.501648	227.1751039	572.2700106	1.0		topfd
793.46953082	854.68919324	772958.88	505586.85	155.15688	55	18446.875	379579.875	794.22151166	854.68919324	4.0		topfd
854.48838902	872.9052716	447857.08	296884.26	154.83152	56	627968.0	3257.030273	854.48838902	872.9052716			topfd
666.37280077	791.95958113	31159.018	29314.214	154.75826	57	75390.40625	617.852478	666.37280077	791.95958113	2.0		topfd
733.17322668	867.89795205	112179.55	104245.13	153.68952	58	23987.175781	4278.201172	733.42689471	868.10286123	4.0	5.0	topfd
666.37280077	960.55931257	68474.471	62184.674	153.50828	59	75390.40625	1099.949097	666.37280077	960.55931257	2.0		topfd
589.29128862	657.18064552	24694.557	23243.061	153.36458	60	14262.819336	2878.989014	589.29128862	657.38122472	1.0	5.0	topfd
666.37280077	978.89461310	45369.133	42900.189	153.13707	61	3446.111328	27505.117188	667.87504345	979.22890943	2.0	3.0	topfd
854.08716357	862.50101197	137268.77	123594.05	153.10777	62	657060.4375	1060.900635	854.08716357	862.50101197			topfd
666.37280077	811.27464772	86845.592	77365.095	152.91437	63	52013.984375	2635.273682	666.87455833	811.27464772	2.0		topfd
873.50025526	912.28569661	135268.07	121492.6	152.86456	64	64639.6875	4761.272949	873.50025526	912.28569661	2.0		topfd
451.24426433	912.03504233	10597.027	10256.747	152.46761	65	511.172028	7696.0625	451.24426433	912.03504233			topfd
725.41237675	876.70422285	225504.47	189509.46	152.25431	66	8036.48584	255958.9375	725.91260031	876.70422285	2.0		topfd
199.18030961	850.48247576	1560634.5	560437.05	151.78478	67	255187.1875	159148.578125	199.18030961	850.88354199		5.0	topfd
853.88668234	860.15963140	89443.342	93225.132	151.77255	68	201831.375	1452.880737	853.88668234	861.49562285		3.0	topfd
850.48247576	1337.74001012	27181.389	26776.28	151.63973	69	66331.054688	452.488617	850.48319754	1337.74001012	5.0		topfd
838.48646844	915.48312819	26593.568	25826.639	151.44153	70	6371.824219	7213.625977	838.73674241	915.48312819	4.0	1.0	topfd
518.29326327	790.46486446	19746.011	19680.241	151.08635	71	882.064453	17945.982422	518.29326327	790.46486446		2.0	topfd
739.43331943	842.48118284	83905.364	81854.593	150.96769	72	1809.554443	36868.410156	739.43331943	842.88230004		5.0	topfd
838.48646844	915.48312819	15869.279	15793.329	150.6963	73	2803.626953	7213.625977	839.23695597	915.48312819	4.0	1.0	topfd
725.41237675	846.87757216	59516.281	56361.337	150.64155	74	12432.706055	4575.469727	725.41237675	848.28501408	2.0	5.0	topfd
877.50659174	1095.54935344	32320.557	31180.899	150.39438	76	63493.097656	855.909668	877.50659174	1097.55675268		1.0	topfd
761.44796328	838.87676904	99444.941	91108.807	150.38535	77	30478.798828	4432.488281	761.94716559	839.88000669	4.0	5.0	topfd
612.32599136	977.89879095	26898.173	25831.872	150.15215	78	3396.415039	10155.004883	612.82819893	977.89879095	2.0		topfd
793.46953082	1095.54935344	28942.084	28952.872	150.01055	79	35713.785156	2017.383667	793.7201471	1096.55298956	4.0	1.0	topfd
850.48247576	859.90024006	104728.89	99690.869	149.97452	80	23523.121094	4882.693848	851.48497466	859.90024006	5.0		topfd
850.48247576	1009.59691937	104480.87	78551.871	149.59812	81	159148.578125	1374.557861	850.88354199	1009.59691937	5.0		topfd
874.10125994	875.50560207	254257.05	211682.06	149.25873	82	12222.288086	71721.476563	874.10125994	876.50346562		4.0	topfd
668.87803557	733.93286228	21393.098	20293.724	149.16974	83	2360.493896	4278.790039	668.87803557	733.93286228			topfd
240.13347238	967.51090834	4823.6251	4749.355	149.06806	84	2987.404541	1781.398438	240.13347238	967.51090834			topfd
731.25650629	761.44796328	113301.84	106752.94	148.97259	85	31728.416016	5075.324707	731.25650629	762.44695815		4.0	topfd
867.25012328	915.48312819	12777.899	12532.052	148.76802	86	3697.768799	3181.882813	867.25012328	916.48654631		1.0	topfd
622.85625813	978.89461310	28554.701	27121.945	148.71647	87	1846.626465	27505.117188	622.85625813	979.22890943	2.0	3.0	topfd
730.92068791	856.52099929	71246.381	66236.656	148.52679	88	56660.640625	1794.984131	730.92068791	856.52099929			topfd
820.06861355	966.4970392	13435.91	13287.851	148.12166	89	4893.766602	430.071564	820.06861355	966.4970392			topfd
733.4176487	820.06861355	32709.391	31562.253	148.09915	90	3893.229248	4893.766602	733.4176487	820.06861355			topfd
733.17322668	772.95155389	36565.856	33321.505	147.78985	91	23987.175781	2177.497803	733.42689471	772.95155389	4.0		topfd
217.08106662	873.09940682	21973.679	21782.729	147.1628	92	1455.042969	26064.699219	217.08106662	873.09940682			topfd
284.19573863	877.10505529	107846.7	96078.168	146.70783	93	3929.76001	261615.296875	284.19573863	877.10505529			topfd
258.14380051	854.28765079	72110.249	53392.131	146.44915	95	561.284424	765626.4375	258.14380051	854.28765079			topfd
200.18367373	837.28151378	57972.687	52867.736	146.36979	96	25352.552734	9676.485352	200.18367373	837.28151378			topfd
654.88558093	1650.88532311	17989.416	17860.151	146.32413	97	25036.363281	561.655151	654.88558093	1650.88532311			topfd
731.42273047	859.09546717	62633.913	61726.045	146.24646	98	13273.37793	2364.052246	731.42273047	859.09546717			topfd
825.72974762	967.51090834	17671.196	17183.628	146.07134	99	13696.728516	1781.398438	825.72988487	967.51090834	4.0		topfd
832.87528711	845.8832864	70104.647	68175.816	145.56621	101	4481.227539	12647.092773	832.87798486	845.8832864	5.0		topfd
705.89811594	819.27730229	31589.25	35730.955	145.47923	102	383.282288	102007.257813	705.89811594	819.87829033		5.0	topfd
825.72974762	966.51119922	20920.409	19784.192	145.44895	103	7061.651367	3986.5271	826.732739	966.51119922	4.0		topfd
