m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
636.28358	750.64463	1458511.7	505934.4	351.41571	40	356386.75	2191748.0	636.283588	751.146042	2.0	4.0	ffc_line
636.28358	750.64463	276158.37	140863.59	248.94741	132	65975.773438	1510322.875	637.286236	750.644745	2.0	4.0	ffc_line
600.76493	768.4038800000001	511128.14	279298.43	384.6614	26	356908.3125	526688.6875	600.764907	768.905424	2.0	4.0	ffc_line
478.72958	829.421605	507507.05	275866.53	396.69855	19	225401.59375	769683.4375	478.729596	829.923119	2.0	4.0	ffc_line
450.21862999999996	843.677105	166709.59	73989.098	183.34567	1099	92301.820313	616618.5	450.218633	844.178615	2.0	4.0	ffc_line
543.25113	797.1609050000001	1185920.3	461163.06	393.95437	21	378279.9375	1372191.25	543.251153	797.662361	2.0	4.0	ffc_line
600.76493	768.4038800000001	274682.23	111961.58	194.78974	645	211030.0625	610188.125	601.266495	768.654718	2.0	4.0	ffc_line
478.72958	829.421605	299998.01	180005.56	358.20413	37	104523.539063	843403.25	479.231065	829.672436	2.0	4.0	ffc_line
344.67017999999996	896.4512550000001	7214.3842	6716.2216	197.3076	589	6751.663086	54843.476563	345.171709	896.702145	2.0	4.0	ffc_line
344.67017999999996	896.4512550000001	33189.072	31662.05	470.25778	6	20811.027344	58404.539063	344.6702	896.952927	2.0	4.0	ffc_line
450.21862999999996	843.677105	98870.778	61721.626	224.82323	220	38402.347656	667409.875	450.720158	843.927949	2.0	4.0	ffc_line
636.28358	750.64463	997473.1	283739.69	235.70457	175	227665.953125	2603333.25	636.785183	750.895465	2.0	4.0	ffc_line
543.25113	797.1609050000001	629588.04	198540.05	222.15339	239	201617.59375	1563432.25	543.752774	797.411735	2.0	4.0	ffc_line
636.28358	750.64463	780354.64	232917.43	216.80565	274	356386.75	1189503.25	636.283588	751.396591	2.0	4.0	ffc_line
344.67017999999996	896.4512550000001	13992.302	12896.73	266.98123	95	20811.027344	35572.371094	344.6702	897.203353	2.0	4.0	ffc_line
600.76493	768.4038800000001	325045.61	182329.32	331.00958	46	356908.3125	284720.0625	600.764907	769.156	2.0	4.0	ffc_line
