m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	charge_A	envelope_id_A	monoisotopic_mass_A	deconvoluted_mz_A	charge_B	envelope_id_B	monoisotopic_mass_B	deconvoluted_mz_B
156.102426	156.102426	25073159.0	25038132.0	1604.3119	-1	1	0	155.0951	156.1024	1	0	155.0951	156.1024
156.102426	175.119605	1766662.6	1577744.0	183.25187	282	1	112	155.0951	156.1024	1	331	174.1123	175.1196
156.102426	183.113388	1159704.9	968042.14	139.18724	740	1	113	155.0951	156.1024	1	469	182.1061	183.1134
156.102426	187.072039	116453.27	93404.145	28.558445	4715	1	114	155.0951	156.1024	1	661	186.0648	187.072
156.102426	195.08835	-310522.16	-343497.83	-186.74685	13511	1	115	155.0951	156.1024	1	835	194.0811	195.0884
156.102426	201.087675	206060.71	184459.24	64.307459	2970	1	116	155.0951	156.1024	1	1036	200.0804	201.0877
156.102426	201.124072	3306805.1	-2865407.0	-78.004972	10437	1	117	155.0951	156.1024	1	1213	200.1168	201.1241
156.102426	202.121175	97624.881	77000.816	29.528329	4656	1	118	155.0951	156.1024	1	1182	200.1168	201.1241
156.102426	202.127494	765700.49	471796.84	54.056037	3457	1	120	155.0951	156.1024	1	1380	201.1202	202.1275
156.102426	229.119049	2009175.6	-5851055.5	-146.66406	12696	1	129	155.0951	156.1024	1	1515	228.1118	229.119
156.102426	230.116129	864.47096	-21645.92	-7.8859161	7044	1	121	155.0951	156.1024	1	1510	228.1118	229.119
156.102426	230.122528	-686754.03	-1153943.8	-104.02953	11462	1	122	155.0951	156.1024	1	1694	229.1152	230.1225
156.102426	266.125697	482144.56	452912.22	179.81645	312	1	123	155.0951	156.1024	1	1866	265.1184	266.1257
156.102426	272.161442	-195026.91	-219241.9	-115.64287	11826	1	124	155.0951	156.1024	1	2001	271.1542	272.1614
156.102426	288.204002	1052576.1	973538.6	177.20734	325	1	125	155.0951	156.1024	1	2256	287.1967	288.204
156.102426	298.104311	239321.1	198946.96	63.599394	2997	1	126	155.0951	156.1024	1	2398	297.097	298.1043
156.102426	300.156407	1052086.4	76317.044	5.1088316	5976	1	127	155.0951	156.1024	1	2584	299.1491	300.1564
156.102426	301.159861	-241948.04	-327970.14	-95.387874	11132	1	128	155.0951	156.1024	1	2554	299.1491	300.1564
156.102426	316.114992	622115.38	548626.14	107.5367	1457	1	110	155.0951	156.1024	1	2744	315.1077	316.115
