m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	charge_A	charge_B	line_deviation	line_residual	parent_isotope_idx	component_A	component_B	monoisotopic_mass_A	deconvoluted_mz_A	envelope_id_A	monoisotopic_mass_B	deconvoluted_mz_B	envelope_id_B	adj_mass_A	adj_mass_B
272.161442	666.887703	-469913.8	-502994.74	-165.90408	13132	1	2	2.0	0.06315199999994547	0	272.161442	1333.775406	271.1542	272.1614	38	1331.7608	666.8877	39	272.161442	1332.767566
272.161442	667.389809	-255490.14	-307097.25	-58.054047	9556	1	2	1.0	0.05893999999989319	0	272.161442	1334.779618	271.1542	272.1614	24	1332.7651	667.3898	27	272.161442	1333.771778
272.161442	667.887312	224543.21	179653.96	27.623308	4773	1	2	0.0	0.06393400000001748	0	272.161442	1335.774624	271.1542	272.1614	4	1333.7601	667.8873	10	272.161442	1334.766784
288.204002	659.353388	-382724.34	-431925.88	-67.755922	9995	1	2	1.0	0.08922200000006342	0	288.204002	1318.706776	287.1967	288.204	25	1316.6922	659.3534	26	288.204002	1317.698936
300.156407	653.875096	0.0	0.0	0.0	6379	1	2	0.0	0.09340100000008533	0	300.156407	1307.750192	299.1491	300.1564	5	1305.7356	653.8751	9	300.156407	1306.742352
401.288604	1204.639002	2136735.1	1977179.5	144.55271	655	1	1	2.0	0.07239400000003116	0	401.288604	1204.639002	400.2813	401.2886	32	1203.6317	1204.639	37	401.288604	1204.639002
401.288604	1205.641873	720091.05	528369.67	52.655168	3528	1	1	1.0	0.06952299999989009	0	401.288604	1205.641873	400.2813	401.2886	18	1203.6317	1204.639	23	401.288604	1205.641873
402.292021	1204.639002	-570240.96	-585130.07	-165.82276	13130	1	1	1.0	0.06897700000013174	0	402.292021	1204.639002	400.2813	401.2886	18	1203.6317	1204.639	23	402.292021	1204.639002
402.292021	1205.641873	56360.712	38470.028	12.153896	5596	1	1	0.0	0.06610599999999067	0	402.292021	1205.641873	401.2847	402.292	0	1204.6346	1205.6419	3	402.292021	1205.641873
476.273741	654.359227	-6945827.9	-41535717.0	-211.1734	13841	2	1	1.0	0.09329100000013568	0	952.547482	654.359227	950.5329	476.2737	28	653.3519	654.3592	31	951.539642	654.359227
476.273741	655.362039	3574796.6	833359.31	13.790969	5509	2	1	0.0	0.09047899999995934	0	952.547482	655.362039	950.5329	476.2737	11	653.3519	654.3592	17	951.539642	655.362039
476.775123	654.359227	4061121.8	-8105450.9	-75.516551	10320	2	1	0.0	0.09052699999983815	0	953.550246	654.359227	950.5329	476.2737	11	653.3519	654.3592	17	952.542406	654.359227
487.767518	630.403825	57043.347	41333.95	10.181412	5717	2	1	2.0	0.0611389999999119	0	975.535036	630.403825	973.5205	487.7675	40	629.3965	630.4038	41	974.527196	630.403825
504.784561	597.346987	23056638.0	3600460.6	23.298373	4998	2	1	1.0	0.08389099999999416	0	1009.569122	597.346987	1007.5546	504.7846	29	596.3397	597.347	30	1008.561282	597.346987
505.285893	597.346987	2399028.4	-2546199.9	-28.677656	8113	2	1	0.0	0.08122700000012628	0	1010.571786	597.346987	1008.5572	505.2859	12	596.3397	597.347	16	1009.563946	597.346987
535.850077	536.242818	0.0	0.0	0.0	6480	2	1	0.0	0.057027999999718304	0	1071.700154	536.242818	1069.6856	535.8501	13	535.2355	536.2428	14	1070.6923140000001	536.242818
535.850077	536.291421	8851898.8	8303972.0	108.71004	1425	2	1	0.0	0.008424999999988358	0	1071.700154	536.291421	1069.6856	535.8501	14	535.2841	536.2914	15	1070.6923140000001	536.291421
535.955778	536.182618	-945695.63	-971522.55	-137.61788	12468	2	1	0.0	0.09417400000006637	0	1071.911556	536.182618	1069.897	535.9558	15	535.1753	536.1826	13	1070.903716	536.182618
536.182618	535.955778	-945695.63	-971522.55	-137.61788	12468	1	2	0.0	0.09417400000006637	0	536.182618	1071.911556	535.1753	536.1826	6	1069.897	535.9558	8	536.182618	1070.903716
536.242818	535.850077	0.0	0.0	0.0	6480	1	2	0.0	0.057027999999718304	0	536.242818	1071.700154	535.2355	536.2428	7	1069.6856	535.8501	6	536.242818	1070.6923140000001
536.291421	535.850077	8851898.8	8303972.0	108.71004	1425	1	2	0.0	0.008424999999988358	0	536.291421	1071.700154	535.2841	536.2914	8	1069.6856	535.8501	7	536.291421	1070.6923140000001
597.346987	504.784561	23056638.0	3600460.6	23.298373	4998	1	2	1.0	0.08389099999999416	0	597.346987	1009.569122	596.3397	597.347	26	1007.5546	504.7846	25	597.346987	1008.561282
597.346987	505.285893	2399028.4	-2546199.9	-28.677656	8113	1	2	0.0	0.08122700000012628	0	597.346987	1010.571786	596.3397	597.347	9	1008.5572	505.2859	5	597.346987	1009.563946
597.346987	1008.563901	-1844786.3	-6552186.5	-99.007981	11264	1	1	2.0	0.08911200000011377	0	597.346987	1008.563901	596.3397	597.347	33	1007.5566	1008.5639	36	597.346987	1008.563901
