m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking
272.1614	666.8877	-469913.8	-502994.74	-165.90408	13132
272.1614	667.3898	-255490.14	-307097.25	-58.054047	9556
272.1614	667.8873	224543.21	179653.96	27.623308	4773
288.204	659.3534	-382724.34	-431925.88	-67.755922	9995
300.1564	653.8751	0.0	0.0	0.0	6379
401.2886	1204.639	2136735.1	1977179.5	144.55271	655
401.2886	1204.639	720091.05	528369.67	52.655168	3528
401.2886	1204.639	-570240.96	-585130.07	-165.82276	13130
402.292	1205.6419	56360.712	38470.028	12.153896	5596
476.2737	654.3592	-6945827.9	-41535717.0	-211.1734	13841
476.2737	654.3592	3574796.6	833359.31	13.790969	5509
476.2737	654.3592	4061121.8	-8105450.9	-75.516551	10320
487.7675	630.4038	57043.347	41333.95	10.181412	5717
504.7846	597.347	23056638.0	3600460.6	23.298373	4998
505.2859	597.347	2399028.4	-2546199.9	-28.677656	8113
535.8501	536.2428	0.0	0.0	0.0	6480
535.8501	536.2914	8851898.8	8303972.0	108.71004	1425
535.9558	536.1826	-945695.63	-971522.55	-137.61788	12468
536.1826	535.9558	-945695.63	-971522.55	-137.61788	12468
536.2428	535.8501	0.0	0.0	0.0	6480
536.2914	535.8501	8851898.8	8303972.0	108.71004	1425
597.347	504.7846	23056638.0	3600460.6	23.298373	4998
597.347	505.2859	2399028.4	-2546199.9	-28.677656	8113
597.347	1008.5639	-1844786.3	-6552186.5	-99.007981	11264
597.347	1009.5667	309672.17	-1896376.7	-50.547998	9175
630.4038	487.7675	57043.347	41333.95	10.181412	5717
653.8751	300.1564	0.0	0.0	0.0	6379
654.3592	476.2737	-6945827.9	-41535717.0	-211.1734	13841
654.3592	476.2737	4061121.8	-8105450.9	-75.516551	10320
654.3592	951.5419	-1106425.9	-10041404.0	-106.67744	11556
654.3592	951.5419	1988443.6	-1674281.8	-32.23144	8291
654.3592	476.2737	3574796.6	833359.31	13.790969	5509
654.3592	951.5419	-1796828.2	-2504973.9	-93.191663	11051
655.362	952.5446	2391125.1	2100834.2	107.75736	1450
659.3534	288.204	-382724.34	-431925.88	-67.755922	9995
666.8877	272.1614	-469913.8	-502994.74	-165.90408	13132
667.3898	272.1614	-255490.14	-307097.25	-58.054047	9556
667.8873	272.1614	224543.21	179653.96	27.623308	4773
951.5419	654.3592	-1106425.9	-10041404.0	-106.67744	11556
951.5419	654.3592	-1796828.2	-2504973.9	-93.191663	11051
951.5419	654.3592	1988443.6	-1674281.8	-32.23144	8291
952.5446	655.362	2391125.1	2100834.2	107.75736	1450
1008.5639	597.347	-1844786.3	-6552186.5	-99.007981	11264
1009.5667	597.347	309672.17	-1896376.7	-50.547998	9175
1204.639	401.2886	2136735.1	1977179.5	144.55271	655
1204.639	401.2886	-570240.96	-585130.07	-165.82276	13130
1204.639	401.2886	720091.05	528369.67	52.655168	3528
1205.6419	402.292	56360.712	38470.028	12.153896	5596
