m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking
1204.639	175.1196	25244833.0	25084756.0	1273.9226	1
175.1196	1204.639	25244833.0	25084756.0	1273.9226	1
565.2752	814.482	58626208.0	56005207.0	1164.3594	2
814.482	565.2752	58626208.0	56005207.0	1164.3594	2
300.1564	653.8751	355823770.0	262187790.0	1054.3404	3
653.8751	300.1564	355823770.0	262187790.0	1054.3404	3
500.3575	879.3997	19982228.0	19730374.0	1001.3959	4
879.3997	500.3575	19982228.0	19730374.0	1001.3959	4
629.4008	750.3565	15557810.0	15374329.0	938.70762	5
750.3565	629.4008	15557810.0	15374329.0	938.70762	5
300.1564	653.8751	194805700.0	152553350.0	913.39267	6
653.8751	300.1564	194805700.0	152553350.0	913.39267	6
1008.5639	371.1938	18755287.0	18322403.0	908.68617	7
371.1938	1008.5639	18755287.0	18322403.0	908.68617	7
1204.639	175.1196	11635793.0	11443445.0	892.64305	8
175.1196	1204.639	11635793.0	11443445.0	892.64305	8
596.8456	415.1839	140359140.0	117995480.0	856.04609	9
415.1839	596.8456	140359140.0	117995480.0	856.04609	9
504.7846	599.3058	35258126.0	34052411.0	855.57282	10
599.3058	504.7846	35258126.0	34052411.0	855.57282	10
622.2969	757.4601	9890456.1	9814625.0	791.69203	11
757.4601	622.2969	9890456.1	9814625.0	791.69203	11
528.2686	540.3033	82621553.0	72492860.0	769.61895	12
540.3033	528.2686	82621553.0	72492860.0	769.61895	12
978.4691	401.2886	13326942.0	13038379.0	754.01907	13
401.2886	978.4691	13326942.0	13038379.0	754.01907	13
1091.5547	288.204	5934173.9	5893840.8	723.18234	14
288.204	1091.5547	5934173.9	5893840.8	723.18234	14
535.9558	814.482	22124252.0	21044092.0	705.27196	15
814.482	535.9558	22124252.0	21044092.0	705.27196	15
540.3033	500.2734	64887357.0	57956373.0	698.76791	16
500.2734	540.3033	64887357.0	57956373.0	698.76791	16
814.482	565.2752	15602402.0	15085168.0	682.66195	17
565.2752	814.482	15602402.0	15085168.0	682.66195	17
629.4008	489.7371	12210012.0	11947537.0	680.04937	18
489.7371	629.4008	12210012.0	11947537.0	680.04937	18
951.5419	428.2156	7178952.0	7105385.0	662.22646	19
428.2156	951.5419	7178952.0	7105385.0	662.22646	19
540.3033	415.1839	127309290.0	99976720.0	661.37486	20
415.1839	540.3033	127309290.0	99976720.0	661.37486	20
540.3033	500.2734	39222795.0	36394293.0	648.80907	21
500.2734	540.3033	39222795.0	36394293.0	648.80907	21
415.1839	596.8456	63399831.0	55198319.0	607.5346	22
596.8456	415.1839	63399831.0	55198319.0	607.5346	22
814.482	694.319	14738272.0	14129983.0	603.27517	23
694.319	814.482	14738272.0	14129983.0	603.27517	23
814.482	397.1966	23986377.0	22596088.0	587.5463	24
397.1966	814.482	23986377.0	22596088.0	587.5463	24
814.482	195.0884	9172308.7	8700801.7	564.48462	25
195.0884	814.482	9172308.7	8700801.7	564.48462	25
383.1944	540.3033	49985130.0	41835010.0	546.41222	26
540.3033	383.1944	49985130.0	41835010.0	546.41222	26
415.1839	540.3033	62489847.0	51335552.0	544.77701	27
540.3033	415.1839	62489847.0	51335552.0	544.77701	27
540.3033	428.2156	44225812.0	37867784.0	538.93573	28
428.2156	540.3033	44225812.0	37867784.0	538.93573	28
401.2886	1107.5126	6112000.6	5922276.2	535.28676	29
1107.5126	401.2886	6112000.6	5922276.2	535.28676	29
814.482	494.2378	9458530.3	9407730.1	533.73485	30
494.2378	814.482	9458530.3	9407730.1	533.73485	30
565.2752	814.482	11720030.0	11161551.0	533.40997	31
814.482	565.2752	11720030.0	11161551.0	533.40997	31
528.2686	540.3033	35356769.0	31223297.0	526.94676	32
540.3033	528.2686	35356769.0	31223297.0	526.94676	32
266.1257	814.482	7816822.6	7398840.0	510.79606	33
814.482	266.1257	7816822.6	7398840.0	510.79606	33
