m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B
1204.639	175.1196	25244833.0	25084756.0	1273.9226	1	2382.019531	8633.249023
175.1196	1204.639	25244833.0	25084756.0	1273.9226	1	8633.249023	2382.019531
565.2752	814.482	58626208.0	56005207.0	1164.3594	2	7124.077148	21098.802734
814.482	565.2752	58626208.0	56005207.0	1164.3594	2	21098.802734	7124.077148
300.1564	654.3592	355823770.0	262187790.0	1054.3404	3	33528.605469	108949.34375
654.3592	300.1564	355823770.0	262187790.0	1054.3404	3	108949.34375	33528.605469
500.3575	879.3997	19982228.0	19730374.0	1001.3959	4	7123.803223	2645.866943
879.3997	500.3575	19982228.0	19730374.0	1001.3959	4	2645.866943	7123.803223
629.4008	750.3565	15557810.0	15374329.0	938.70762	5	6271.913086	1653.093994
750.3565	629.4008	15557810.0	15374329.0	938.70762	5	1653.093994	6271.913086
300.1564	654.3592	194805700.0	152553350.0	913.39267	6	33528.605469	48794.230469
654.3592	300.1564	194805700.0	152553350.0	913.39267	6	48794.230469	33528.605469
1008.5639	371.1938	18755287.0	18322403.0	908.68617	7	9142.976563	2637.109131
371.1938	1008.5639	18755287.0	18322403.0	908.68617	7	2637.109131	9142.976563
1204.639	175.1196	11635793.0	11443445.0	892.64305	8	1037.281006	8633.249023
175.1196	1204.639	11635793.0	11443445.0	892.64305	8	8633.249023	1037.281006
596.8456	415.1839	140359140.0	117995480.0	856.04609	9	61967.726563	16149.670898
415.1839	596.8456	140359140.0	117995480.0	856.04609	9	16149.670898	61967.726563
504.7846	599.3058	35258126.0	34052411.0	855.57282	10	31507.433594	2404.958496
599.3058	504.7846	35258126.0	34052411.0	855.57282	10	2404.958496	31507.433594
622.2969	757.4601	9890456.1	9814625.0	791.69203	11	1524.513184	3421.105713
757.4601	622.2969	9890456.1	9814625.0	791.69203	11	3421.105713	1524.513184
528.2686	540.3033	82621553.0	72492860.0	769.61895	12	5624.222656	81014.875
540.3033	528.2686	82621553.0	72492860.0	769.61895	12	81014.875	5624.222656
