m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	i	j	line_offset	matched_offset	line_n_points	is_parental	ffc_index	mz1_A	mz1_B	charge_A	charge_B	envelope_id_A	envelope_id_B	deconvoluted_mz_A	deconvoluted_mz_B	monoisotopic_mass_A	monoisotopic_mass_B	isotope_similarity_A	isotope_similarity_B
536.959897	535.955778	8639279.3	8142025.0	181.1445	302	18498.279297	1231.341064	1	1	2	0.005	0.0	11	True	603	536.959897	1070.904276	1	2	10	25	536.96	1070.904	535.9527	1069.8967	0.9978	
401.288604	603.793117	4666969.1	4393455.1	340.37291	61	7515.183105	1081.730591	1	1	2	0.005	0.0	11	True	120	401.288604	1206.578954	1	2	4	30	401.289	1206.579	400.2817	1205.5717		
300.156407	654.359227	355823770.0	262187790.0	1054.3404	3	33528.605469	108949.34375	1	1	2	0.005	0.0	11	True	4	300.156407	1307.711174	1	2	2	31	300.156	1307.711	299.1487	1306.7037	0.9957	0.9643
599.30583	504.784561	35258126.0	34052411.0	855.57282	10	2404.958496	31507.433594	1	1	2	0.005	0.0	11	True	19	599.30583	1008.561842	1	2	11	23	599.306	1008.562	598.2987	1007.5547		0.9807
629.40075	489.73711	12210012.0	11947537.0	680.04937	18	6271.913086	1868.962158	1	1	2	0.005	0.0	11	True	34	629.40075	978.4669399999999	1	2	13	22	629.401	978.467	628.3937	977.4597	0.9902	
500.357482	554.258768	12599756.0	12131174.0	509.88637	34	7123.803223	2905.465332	1	1	2	0.005	0.0	11	True	66	500.357482	1107.510256	1	2	8	28	500.357	1107.51	499.3497	1106.5027		0.9819
415.183883	596.845575	140359140.0	117995480.0	856.04609	9	16149.670898	61967.726563	1	1	2	0.005	0.0	11	True	17	415.183883	1192.68387	1	2	5	29	415.184	1192.684	414.1767	1191.6767	0.9933	0.9813
528.268562	540.30326	82621553.0	72492860.0	769.61895	12	5624.222656	81014.875	1	1	2	0.005	0.0	11	True	22	528.268562	1079.59924	1	2	9	27	528.269	1079.599	527.2617	1078.5917	0.9954	0.9725
757.460091	425.707564	5494036.1	5480694.2	504.10249	36	3421.105713	750.10376	1	1	2	0.005	0.0	11	True	71	757.460091	850.407848	1	2	16	19	757.46	850.408	756.4527	849.4007	0.9898	
814.482029	397.19662	23986377.0	22596088.0	587.5463	24	21098.802734	2682.680664	1	1	2	0.005	0.0	11	True	46	814.482029	793.38596	1	2	18	17	814.482	793.386	813.4747	792.3787	0.9831	
1008.563901	300.156407	29964863.0	23470978.0	417.0046	45	9142.976563	33528.605469	1	1	2	0.005	0.0	11	True	88	1008.563901	599.305534	1	2	24	11	1008.564	599.306	1007.5567	598.2987	0.9817	
535.955778	536.959897	8639279.3	8142025.0	181.1445	302	1231.341064	18498.279297	0	1	2	1.01	1.00335	16	False	602	535.955778	1072.9125139999999	1	2	10	26	536.96	1072.913	535.9527	1071.9057	0.9978	
529.270973	540.30326	16135360.0	14313333.0	349.48618	58	1108.264771	81014.875	0	1	2	1.01	1.00335	16	False	115	529.270973	1079.59924	1	2	9	27	528.269	1079.599	527.2617	1078.5917	0.9954	0.9725
500.357482	554.760058	5832654.0	5750326.6	381.96776	52	7123.803223	1102.149048	0	1	2	1.01	1.00335	16	False	103	500.357482	1108.5128359999999	1	2	8	28	500.357	1107.51	499.3497	1106.5027		0.9819
599.30583	505.285893	13017136.0	12710676.0	504.8385	35	2404.958496	10414.665039	0	1	2	1.01	1.00335	16	False	68	599.30583	1009.5645059999999	1	2	11	23	599.306	1008.562	598.2987	1007.5547		0.9807
758.462697	425.707564	2321617.4	2317749.6	290.09302	77	906.667358	750.10376	0	1	2	1.01	1.00335	16	False	152	758.462697	850.407848	1	2	16	19	757.46	850.408	756.4527	849.4007	0.9898	
415.183883	597.346987	63399831.0	55198319.0	607.5346	22	16149.670898	25816.384766	0	1	2	1.01	1.00335	16	False	42	415.183883	1193.686694	1	2	5	29	415.184	1192.684	414.1767	1191.6767	0.9933	0.9813
528.268562	540.804661	35356769.0	31223297.0	526.94676	32	5624.222656	29821.267578	0	1	2	1.01	1.00335	16	False	62	528.268562	1080.602042	1	2	9	27	528.269	1079.599	527.2617	1078.5917	0.9954	0.9725
230.122528	689.877751	349357700.0	53391892.0	128.97352	911	17446.246094	747632.125	0	1	2	1.01	1.00335	16	False	1820	230.122528	1378.748222	1	2	1	32	230.123	1378.748	229.1157	1377.7407		
630.403825	489.73711	2294164.0	2240790.0	305.78531	72	1328.932983	1868.962158	0	1	2	1.01	1.00335	16	False	142	630.403825	978.4669399999999	1	2	13	22	629.401	978.467	628.3937	977.4597	0.9902	
300.156407	654.860832	194805700.0	152553350.0	913.39267	6	33528.605469	48794.230469	0	1	2	1.01	1.00335	16	False	10	300.156407	1308.7143839999999	1	2	2	31	300.156	1307.711	299.1487	1306.7037	0.9957	0.9643
815.484834	397.19662	6746229.0	6471866.2	332.31445	63	5392.56543	2682.680664	0	1	2	1.01	1.00335	16	False	125	815.484834	793.38596	1	2	18	17	814.482	793.386	813.4747	792.3787	0.9831	
