ffc_index	line_id	i	j	line_offset	matched_offset	line_n_points	is_parental
603	1	1	2	0.005	0.0	11	True
120	1	1	2	0.005	0.0	11	True
4	1	1	2	0.005	0.0	11	True
19	1	1	2	0.005	0.0	11	True
34	1	1	2	0.005	0.0	11	True
66	1	1	2	0.005	0.0	11	True
17	1	1	2	0.005	0.0	11	True
22	1	1	2	0.005	0.0	11	True
71	1	1	2	0.005	0.0	11	True
46	1	1	2	0.005	0.0	11	True
88	1	1	2	0.005	0.0	11	True
602	0	1	2	1.01	1.00335	16	False
115	0	1	2	1.01	1.00335	16	False
103	0	1	2	1.01	1.00335	16	False
68	0	1	2	1.01	1.00335	16	False
152	0	1	2	1.01	1.00335	16	False
42	0	1	2	1.01	1.00335	16	False
62	0	1	2	1.01	1.00335	16	False
1820	0	1	2	1.01	1.00335	16	False
142	0	1	2	1.01	1.00335	16	False
10	0	1	2	1.01	1.00335	16	False
125	0	1	2	1.01	1.00335	16	False
97	0	1	2	1.01	1.00335	16	False
237	0	1	2	1.01	1.00335	16	False
199	0	1	2	1.01	1.00335	16	False
1941	0	1	2	1.01	1.00335	16	False
1040	0	1	2	1.01	1.00335	16	False
459	2	1	2	2.013	2.0067	5	False
87	2	1	2	2.013	2.0067	5	False
731	2	1	2	2.013	2.0067	5	False
173	2	1	2	2.013	2.0067	5	False
384	2	1	2	2.013	2.0067	5	False
55	3	1	2	-99.063	-99.069	5	False
132	3	1	2	-99.063	-99.069	5	False
83	3	1	2	-99.063	-99.069	5	False
426	3	1	2	-99.063	-99.069	5	False
118	3	1	2	-99.063	-99.069	5	False
