ffc_index	line_id	i	j	line_offset	matched_offset	line_n_points	is_parental
603	3	1	2	0.005	0.0	11	True
120	3	1	2	0.005	0.0	11	True
4	3	1	2	0.005	0.0	11	True
19	3	1	2	0.005	0.0	11	True
34	3	1	2	0.005	0.0	11	True
66	3	1	2	0.005	0.0	11	True
17	3	1	2	0.005	0.0	11	True
22	3	1	2	0.005	0.0	11	True
71	3	1	2	0.005	0.0	11	True
46	3	1	2	0.005	0.0	11	True
88	3	1	2	0.005	0.0	11	True
21	0	1	1	-229.111	-229.112	18	False
20	0	1	1	-229.111	-229.112	18	False
2	0	1	1	-229.111	-229.112	18	False
3	0	1	1	-229.111	-229.112	18	False
6	0	1	1	-229.111	-229.112	18	False
7	0	1	1	-229.111	-229.112	18	False
9	0	1	1	-229.111	-229.112	18	False
8	0	1	1	-229.111	-229.112	18	False
37	0	1	1	-229.111	-229.112	18	False
36	0	1	1	-229.111	-229.112	18	False
13	0	1	1	-229.111	-229.112	18	False
12	0	1	1	-229.111	-229.112	18	False
25	0	1	1	-229.111	-229.112	18	False
24	0	1	1	-229.111	-229.112	18	False
0	0	1	1	-229.111	-229.112	18	False
1	0	1	1	-229.111	-229.112	18	False
27	0	1	1	-229.111	-229.112	18	False
26	0	1	1	-229.111	-229.112	18	False
72	1	1	1	-228.109	-228.109	18	False
73	1	1	1	-228.109	-228.109	18	False
33	1	1	1	-228.109	-228.109	18	False
32	1	1	1	-228.109	-228.109	18	False
92	1	1	1	-228.109	-228.109	18	False
93	1	1	1	-228.109	-228.109	18	False
60	1	1	1	-228.109	-228.109	18	False
61	1	1	1	-228.109	-228.109	18	False
78	1	1	1	-228.109	-228.109	18	False
79	1	1	1	-228.109	-228.109	18	False
107	1	1	1	-228.109	-228.109	18	False
106	1	1	1	-228.109	-228.109	18	False
74	1	1	1	-228.109	-228.109	18	False
75	1	1	1	-228.109	-228.109	18	False
126	1	1	1	-228.109	-228.109	18	False
127	1	1	1	-228.109	-228.109	18	False
15	1	1	1	-228.109	-228.109	18	False
14	1	1	1	-228.109	-228.109	18	False
602	2	1	2	1.01	1.00335	16	False
115	2	1	2	1.01	1.00335	16	False
103	2	1	2	1.01	1.00335	16	False
68	2	1	2	1.01	1.00335	16	False
152	2	1	2	1.01	1.00335	16	False
42	2	1	2	1.01	1.00335	16	False
62	2	1	2	1.01	1.00335	16	False
1820	2	1	2	1.01	1.00335	16	False
142	2	1	2	1.01	1.00335	16	False
10	2	1	2	1.01	1.00335	16	False
125	2	1	2	1.01	1.00335	16	False
97	2	1	2	1.01	1.00335	16	False
237	2	1	2	1.01	1.00335	16	False
199	2	1	2	1.01	1.00335	16	False
1941	2	1	2	1.01	1.00335	16	False
1040	2	1	2	1.01	1.00335	16	False
1055	4	1	1	-100.068	-100.096	8	False
1054	4	1	1	-100.068	-100.096	8	False
45	4	1	1	-100.068	-100.096	8	False
44	4	1	1	-100.068	-100.096	8	False
91	4	1	1	-100.068	-100.096	8	False
90	4	1	1	-100.068	-100.096	8	False
56	4	1	1	-100.068	-100.096	8	False
57	4	1	1	-100.068	-100.096	8	False
146	5	1	1	-99.065	-99.069	8	False
147	5	1	1	-99.065	-99.069	8	False
178	5	1	1	-99.065	-99.069	8	False
179	5	1	1	-99.065	-99.069	8	False
415	5	1	1	-99.065	-99.069	8	False
414	5	1	1	-99.065	-99.069	8	False
716	5	1	1	-99.065	-99.069	8	False
717	5	1	1	-99.065	-99.069	8	False
459	6	1	2	2.013	2.0067	5	False
87	6	1	2	2.013	2.0067	5	False
731	6	1	2	2.013	2.0067	5	False
173	6	1	2	2.013	2.0067	5	False
384	6	1	2	2.013	2.0067	5	False
55	7	1	2	-99.063	-99.069	5	False
132	7	1	2	-99.063	-99.069	5	False
83	7	1	2	-99.063	-99.069	5	False
426	7	1	2	-99.063	-99.069	5	False
118	7	1	2	-99.063	-99.069	5	False
