m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id
536.9599800000001	535.95563	8639279.3	8142025.0	181.1445	302	18498.279297	1231.341064	3
401.28898	603.79313	4666969.1	4393455.1	340.37291	61	7515.183105	1081.730591	3
300.15598	654.35913	355823770.0	262187790.0	1054.3404	3	33528.605469	108949.34375	3
599.3059800000001	504.78463	35258126.0	34052411.0	855.57282	10	2404.958496	31507.433594	3
629.40098	489.73713	12210012.0	11947537.0	680.04937	18	6271.913086	1868.962158	3
500.35697999999996	554.25863	12599756.0	12131174.0	509.88637	34	7123.803223	2905.465332	3
415.18397999999996	596.84563	140359140.0	117995480.0	856.04609	9	16149.670898	61967.726563	3
528.26898	540.30313	82621553.0	72492860.0	769.61895	12	5624.222656	81014.875	3
757.4599800000001	425.70763	5494036.1	5480694.2	504.10249	36	3421.105713	750.10376	3
814.48198	397.19662999999997	23986377.0	22596088.0	587.5463	24	21098.802734	2682.680664	3
1008.56398	300.15663	29964863.0	23470978.0	417.0046	45	9142.976563	33528.605469	3
757.4599800000001	622.2969800000001	9890456.1	9814625.0	791.69203	11	3421.105713	1524.513184	0
622.2969800000001	757.4599800000001	9890456.1	9814625.0	791.69203	11	1524.513184	3421.105713	0
565.27498	814.48198	58626208.0	56005207.0	1164.3594	2	7124.077148	21098.802734	0
814.48198	565.27498	58626208.0	56005207.0	1164.3594	2	21098.802734	7124.077148	0
500.35697999999996	879.39998	19982228.0	19730374.0	1001.3959	4	7123.803223	2645.866943	0
879.39998	500.35697999999996	19982228.0	19730374.0	1001.3959	4	2645.866943	7123.803223	0
750.35698	629.40098	15557810.0	15374329.0	938.70762	5	1653.093994	6271.913086	0
629.40098	750.35698	15557810.0	15374329.0	938.70762	5	6271.913086	1653.093994	0
428.21598	951.5419800000001	7178952.0	7105385.0	662.22646	19	1113.214722	4298.900879	0
951.5419800000001	428.21598	7178952.0	7105385.0	662.22646	19	4298.900879	1113.214722	0
