m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id
536.9599800000001	535.95563	8639279.3	8142025.0	181.1445	302	18498.279297	1231.341064	1
401.28898	603.79313	4666969.1	4393455.1	340.37291	61	7515.183105	1081.730591	1
300.15598	654.35913	355823770.0	262187790.0	1054.3404	3	33528.605469	108949.34375	1
599.3059800000001	504.78463	35258126.0	34052411.0	855.57282	10	2404.958496	31507.433594	1
629.40098	489.73713	12210012.0	11947537.0	680.04937	18	6271.913086	1868.962158	1
500.35697999999996	554.25863	12599756.0	12131174.0	509.88637	34	7123.803223	2905.465332	1
415.18397999999996	596.84563	140359140.0	117995480.0	856.04609	9	16149.670898	61967.726563	1
528.26898	540.30313	82621553.0	72492860.0	769.61895	12	5624.222656	81014.875	1
757.4599800000001	425.70763	5494036.1	5480694.2	504.10249	36	3421.105713	750.10376	1
814.48198	397.19662999999997	23986377.0	22596088.0	587.5463	24	21098.802734	2682.680664	1
1008.56398	300.15663	29964863.0	23470978.0	417.0046	45	9142.976563	33528.605469	1
536.9599800000001	536.96013	8639279.3	8142025.0	181.1445	302	1231.341064	18498.279297	0
528.26898	540.30313	16135360.0	14313333.0	349.48618	58	1108.264771	81014.875	0
500.35697999999996	554.25863	5832654.0	5750326.6	381.96776	52	7123.803223	1102.149048	0
599.3059800000001	504.78463	13017136.0	12710676.0	504.8385	35	2404.958496	10414.665039	0
757.4599800000001	425.70763	2321617.4	2317749.6	290.09302	77	906.667358	750.10376	0
415.18397999999996	596.84563	63399831.0	55198319.0	607.5346	22	16149.670898	25816.384766	0
528.26898	540.30313	35356769.0	31223297.0	526.94676	32	5624.222656	29821.267578	0
230.12298	689.8776300000001	349357700.0	53391892.0	128.97352	911	17446.246094	747632.125	0
629.40098	489.73713	2294164.0	2240790.0	305.78531	72	1328.932983	1868.962158	0
300.15598	654.35913	194805700.0	152553350.0	913.39267	6	33528.605469	48794.230469	0
814.48198	397.19662999999997	6746229.0	6471866.2	332.31445	63	5392.56543	2682.680664	0
415.18397999999996	596.84563	21470963.0	18389750.0	395.01794	49	1903.160034	61967.726563	0
300.15598	654.35913	23093398.0	14838616.0	238.1415	119	2384.458984	108949.34375	0
1008.56398	300.15663	11133347.0	8090090.7	252.4677	100	3074.820557	33528.605469	0
645.3539800000001	482.26263	710655.96	660239.24	126.28223	971	1911.971924	798.843811	0
689.3739800000001	460.25413	3258616.7	3219443.9	156.30633	521	3346.073486	1506.11792	0
528.26898	540.30313	5808763.1	5065202.4	194.44411	230	1108.264771	29821.267578	2
300.15598	654.35913	38377238.0	30956076.0	419.96469	44	33528.605469	9481.617188	2
528.26898	540.30313	3965593.0	3469036.4	172.40543	366	5624.222656	4290.990234	2
300.15598	654.35913	15693812.0	11968919.0	265.64883	87	2384.458984	48794.230469	2
1008.56398	301.15963	3648335.0	3075845.6	202.09038	193	9142.976563	2384.458984	2
429.19998	540.30313	44225812.0	37867784.0	538.93573	28	3445.552979	81014.875	3
201.08798000000002	654.35913	14937832.0	12864929.0	315.89419	67	1032.938354	108949.34375	3
401.28898	554.25863	9359177.6	8786286.2	422.41763	42	7515.183105	2905.465332	3
316.11498	596.84563	15212923.0	11166266.0	197.28109	214	3013.229492	61967.726563	3
500.23697999999996	504.78463	15315214.0	13897635.0	341.05157	60	1889.202759	31507.433594	3
