col0	col1	col2	col3	col4	col5	THEO_MONO_MZ_1	THEO_MONO_MASS_1	THEO_INTE_SUM_1	THEO_CHARGE_1	THEO_MONO_MZ_2	THEO_MONO_MASS_2	THEO_INTE_SUM_2	THEO_CHARGE_2
726.770015	726.770015	5893993.0	5845390.0	1758.1717	-1	726.7699176	3628.81320567	45374477.54665967	5.0	726.7699176	3628.81320567	45374477.54665967	5.0
726.770015	794.802496	157445.83	118376.25	84.641646	154290	726.7699176	3628.81320567	45374477.54665967	5.0	794.5519175	6348.35712826	31019269.65542704	8.0
726.770015	817.951804	58664.438	45676.173	40.362417	484884	726.7699176	3628.81320567	45374477.54665967	5.0	817.61774508	9799.3256234	25029256.838948	12.0
726.770015	834.306235	-184945.41	-217051.8	-173.44818	1862126	726.7699176	3628.81320567	45374477.54665967	5.0	834.074741	10829.87703893	123268141.99534342	13.0
726.770015	848.640981	102299.36	58214.838	34.449873	542645	726.7699176	3628.81320567	45374477.54665967	5.0	848.39072275	10168.6013554	111790627.7790776	12.0
726.770015	849.930166	37053.557	10541.952	8.7630546	811575	726.7699176	3628.81320567	45374477.54665967	5.0	849.46637831	11029.96832393	21698526.77759459	13.0
726.770015	854.168363	105017.41	62079.525	46.540045	426570	726.7699176	3628.81320567	45374477.54665967	5.0	853.88072386	5970.11413173	29853467.28055976	7.0
726.770015	861.407021	-94795.29	-119465.51	-108.25029	1713558	726.7699176	3628.81320567	45374477.54665967	5.0	861.04588307	12040.54049246	49822001.76846982	14.0
726.770015	863.306391	-63647.199	-86095.54	-73.648868	1547057	726.7699176	3628.81320567	45374477.54665967	5.0	862.96999128	15515.3288666	72971613.86365935	18.0
726.770015	867.007992	80444.925	50195.513	35.128951	535883	726.7699176	3628.81320567	45374477.54665967	5.0	866.54184307	12983.018499	25536326.02554198	15.0
726.770015	868.209819	105146.37	23864.104	7.8182377	821723	726.7699176	3628.81320567	45374477.54665967	5.0	867.87551873	13003.023634	248027432.32314947	15.0
726.770015	874.373818	37957.911	-8172.6259	-8.3859081	1003449	726.7699176	3628.81320567	45374477.54665967	5.0	873.92564667	7856.2653318	26541449.3034771	9.0
726.770015	875.090393	230450.05	215741.56	127.45629	28276	726.7699176	3628.81320567	45374477.54665967	5.0	874.81082072	15728.4637966	124566247.31176364	18.0
726.770015	877.483849	-5054.0058	-28570.519	-23.752444	1155863	726.7699176	3628.81320567	45374477.54665967	5.0	876.9806333	8759.73356833	17852177.84968655	10.0
726.770015	877.795404	-49634.476	-71396.338	-76.909668	1566101	726.7699176	3628.81320567	45374477.54665967	5.0	877.37195053	16650.92880713	27943683.84578345	19.0
726.770015	878.314007	24944.774	6853.6463	3.4212487	868362	726.7699176	3628.81320567	45374477.54665967	5.0	877.92343172	15784.4907946	39133507.54425311	18.0
726.770015	878.738962	-4824.8036	-41304.305	-24.253027	1160688	726.7699176	3628.81320567	45374477.54665967	5.0	878.35932494	14037.63277553	82161019.6273844	16.0
726.770015	879.008254	61652.39	43687.453	35.076954	536371	726.7699176	3628.81320567	45374477.54665967	5.0	878.60731195	17552.00070966	40695468.0150463	20.0
726.770015	879.266892	-2241.6717	-28843.982	-18.244327	1102905	726.7699176	3628.81320567	45374477.54665967	5.0	878.94890884	16680.89101513	171636683.01011825	19.0
726.770015	879.665378	23469.717	3095.9486	1.9935424	883619	726.7699176	3628.81320567	45374477.54665967	5.0	879.21041309	9660.23450286	21915566.69737048	11.0
726.770015	879.949941	-6746.8477	-50101.336	-29.051225	1205559	726.7699176	3628.81320567	45374477.54665967	5.0	879.53215392	10542.2985294	36608122.31899853	12.0
726.770015	880.003862	18497.974	-4149.0733	-1.1137222	927068	726.7699176	3628.81320567	45374477.54665967	5.0	879.73972011	16695.91642913	196694695.1250146	19.0
726.770015	880.694504	166062.72	138231.92	87.943556	138252	726.7699176	3628.81320567	45374477.54665967	5.0	880.2934101	8792.86133633	32816021.0544267	10.0
726.770015	880.762444	41787.457	10800.094	8.1526597	818082	726.7699176	3628.81320567	45374477.54665967	5.0	880.2608095	15826.5635946	29974481.67921925	18.0
726.770015	880.847309	-62322.529	-85517.473	-65.504218	1495811	726.7699176	3628.81320567	45374477.54665967	5.0	880.58351379	16711.94850913	162997667.97006	19.0
726.770015	881.368477	490032.52	423228.33	147.15939	10660	726.7699176	3628.81320567	45374477.54665967	5.0	881.36829467	2641.0830546	72246574.88361314	3.0
726.770015	881.817011	3242.8538	-35995.014	-26.035259	1177525	726.7699176	3628.81320567	45374477.54665967	5.0	881.482751	7924.2792708	29244869.49557746	9.0
726.770015	882.215075	83658.918	42936.666	21.425055	676506	726.7699176	3628.81320567	45374477.54665967	5.0	881.952283	16737.95512413	206387050.3322728	19.0
726.770015	882.818411	-46277.935	-63394.446	-57.479347	1440394	726.7699176	3628.81320567	45374477.54665967	5.0	882.40062308	10576.7201594	36150035.15104359	12.0
726.770015	883.005456	-251990.78	-294015.19	-169.77884	1857411	726.7699176	3628.81320567	45374477.54665967	5.0	882.79367137	16753.94150313	634817723.935109	19.0
726.770015	883.847689	72771.983	-3791.1784	0.040216388	904299	726.7699176	3628.81320567	45374477.54665967	5.0	883.68922737	16770.95706713	2389332238.4064646	19.0
726.770015	884.141429	-16094.546	-28981.509	-17.143169	1091995	726.7699176	3628.81320567	45374477.54665967	5.0	883.6420617	17652.69570466	32101488.73351463	20.0
726.770015	884.955579	-144605.45	-195695.54	-108.89669	1715880	726.7699176	3628.81320567	45374477.54665967	5.0	884.58371758	16787.95238113	137734588.66300854	19.0
726.770015	885.134601	-94326.964	-110630.29	-106.68085	1707636	726.7699176	3628.81320567	45374477.54665967	5.0	884.71681375	10604.5144474	22249196.72429186	12.0
726.770015	885.589888	207942.7	173482.15	88.720295	134567	726.7699176	3628.81320567	45374477.54665967	5.0	885.143688	17682.72823066	50378891.98723859	20.0
726.770015	885.725374	-59393.893	-74689.078	-70.119408	1525407	726.7699176	3628.81320567	45374477.54665967	5.0	885.49226669	11498.30487293	90752088.332279	13.0
726.770015	886.483137	74037.058	5801.234	1.8940934	884674	726.7699176	3628.81320567	45374477.54665967	5.0	886.165457	16818.00543013	250049569.88563552	19.0
726.770015	886.796854	199752.71	157744.1	66.806871	261865	726.7699176	3628.81320567	45374477.54665967	5.0	886.5462885	3542.15604813	157944776.81306273	4.0
726.770015	888.009221	-148204.36	-227588.5	-74.842266	1554188	726.7699176	3628.81320567	45374477.54665967	5.0	887.79684711	16849.00184213	848039042.7553073	19.0
726.770015	888.035657	-73460.493	-96235.259	-73.799576	1547984	726.7699176	3628.81320567	45374477.54665967	5.0	887.55819433	18617.5692752	28834988.13592071	21.0
726.770015	888.135246	32716.299	14456.174	10.814768	789665	726.7699176	3628.81320567	45374477.54665967	5.0	887.63465333	15959.2927836	31297084.44213855	18.0
726.770015	888.851507	262242.34	148413.97	50.814494	388706	726.7699176	3628.81320567	45374477.54665967	5.0	888.69192153	16866.00825613	1520682700.4625666	19.0
726.770015	889.745393	-27895.551	-161553.74	-41.892254	1318819	726.7699176	3628.81320567	45374477.54665967	5.0	889.53413553	16882.01032213	1398372300.0472991	19.0
726.770015	890.483458	-317393.42	-494603.7	-125.15852	1768720	726.7699176	3628.81320567	45374477.54665967	5.0	890.271198	16896.01450913	1543044432.8723795	19.0
726.770015	891.167516	560539.98	322008.6	63.47915	285786	726.7699176	3628.81320567	45374477.54665967	5.0	890.903406	16908.02646113	1431587482.312524	19.0
726.770015	891.85235	254531.05	52356.279	12.591076	770610	726.7699176	3628.81320567	45374477.54665967	5.0	891.69366689	16923.04141813	7126568659.546025	19.0
726.770015	892.403865	-169229.75	-284629.46	-102.09716	1689706	726.7699176	3628.81320567	45374477.54665967	5.0	892.403865	891.39658853	60624519.48111552	1.0
726.770015	892.799498	-270237.1	-698765.48	-107.63636	1711222	726.7699176	3628.81320567	45374477.54665967	5.0	892.64032784	16941.02797613	20316317746.20989	19.0
726.770015	893.511287	75529.126	31526.634	17.960012	713245	726.7699176	3628.81320567	45374477.54665967	5.0	893.00996065	17840.05368366	43341424.03725138	20.0
726.770015	893.985406	-230962.85	-318245.59	-155.34885	1835648	726.7699176	3628.81320567	45374477.54665967	5.0	893.70985144	16068.6463496	428122217.9872288	18.0
726.770015	894.468011	47243.507	7611.9349	5.8970938	842152	726.7699176	3628.81320567	45374477.54665967	5.0	894.13491117	5358.7658082	22726864.30866824	6.0
726.770015	894.85823	14583.432	-19763.345	-14.618751	1066858	726.7699176	3628.81320567	45374477.54665967	5.0	894.356569	3573.39717013	19557210.58092131	4.0
726.770015	895.36382	58624.211	35592.544	25.031212	638797	726.7699176	3628.81320567	45374477.54665967	5.0	894.86321269	14301.69497953	29284793.03542356	16.0
726.770015	896.566755	22877.344	-14282.453	-9.5792414	1015810	726.7699176	3628.81320567	45374477.54665967	5.0	896.25867685	11638.26820493	96126801.78312688	13.0
726.770015	897.10156	23237.044	-4106.8977	-2.325915	939990	726.7699176	3628.81320567	45374477.54665967	5.0	896.71022983	16122.6531606	59002549.51194219	18.0
726.770015	897.710524	-78288.229	-91813.531	-84.907693	1610056	726.7699176	3628.81320567	45374477.54665967	5.0	897.17563153	15234.86203606	18741086.44644389	17.0
726.770015	897.877799	107911.41	93733.23	69.382337	243988	726.7699176	3628.81320567	45374477.54665967	5.0	897.48874983	16136.6665206	46949175.20348894	18.0
726.770015	898.824587	36643.512	22246.504	17.114581	722152	726.7699176	3628.81320567	45374477.54665967	5.0	898.37973667	16152.7042836	49687564.13612698	18.0
726.770015	899.263355	53054.758	26840.038	17.13274	721959	726.7699176	3628.81320567	45374477.54665967	5.0	898.79150482	15262.33188206	29351434.86757031	17.0
726.770015	899.489723	-52477.974	-92809.18	-65.080455	1493013	726.7699176	3628.81320567	45374477.54665967	5.0	899.48946	1796.96436707	22796814.39940156	2.0
726.770015	900.10255	50557.291	22154.52	12.273556	773980	726.7699176	3628.81320567	45374477.54665967	5.0	899.82199139	16178.6648686	284347716.2988685	18.0
726.770015	901.046385	-62732.981	-115882.88	-73.245131	1544629	726.7699176	3628.81320567	45374477.54665967	5.0	900.82292389	16196.6816536	528168129.45047134	18.0
726.770015	902.204615	28257.931	9648.3701	5.6679739	844509	726.7699176	3628.81320567	45374477.54665967	5.0	901.70376678	16212.5368256	31019958.17612807	18.0
726.770015	902.414276	-15516.23	-42214.481	-36.181799	1269958	726.7699176	3628.81320567	45374477.54665967	5.0	901.95149731	11712.27487093	42631730.76375498	13.0
