,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
84,705.381744,1020.82773,86,3767.864934,1,3,b7+3,b27,0.999999999999955,b+3,0.0875540000000683,0.015589999999519932,0.0014639999994869868,705.29419,3060.4519200000004
66,930.911752,953.020518,68,3767.86454,2,2,b17,y16+1,0.999999999999955,y+1,0.00884400000018104,0.00895400000013069,0.0010699999993448728,1860.8068199999998,1905.0421500000002
83,705.381744,1020.82773,86,3767.864934,1,3,y6+1,b27,0.999999999999955,y+1,0.01530600000000959,0.015589999999519932,0.0014639999994869868,705.39705,3060.4519200000004
96,476.274275,1097.1974,101,3767.866475,1,3,y4+1,b29,0.999999999999955,y+1,0.016515000000026703,0.018339999999625434,0.0030049999991206278,476.29079,3289.5581800000004
97,577.322546,1063.513942,102,3767.864372,1,3,y5+1,b28,0.999999999999955,y+1,0.015924000000040905,0.015645999999833293,0.0009019999993142847,577.33847,3188.5105000000003
108,818.466536,983.1326,117,3767.864336,1,3,y7+1,b26,0.999999999999955,y+1,0.014574000000038723,0.014259999999922002,0.0008659999994051759,818.4811100000001,2947.3678600000003
159,539.203433,1344.730161,212,3767.867188,2,2,b10,y23+1,0.999999999999955,y+1,0.0048659999999927095,0.0023280000009435753,0.0037179999994805257,1077.39416,2688.4548100000006
161,616.340608,1267.59262,218,3767.8664559999997,2,2,y10+1,b23,0.999999999999955,y+1,0.014034000000265223,0.015839999999570864,0.0029859999990549113,1231.6874100000002,2534.16156
167,703.291495,1180.641459,230,3767.8659079999998,2,2,b13,y20+1,0.999999999999955,y+1,0.006320000000187065,0.0050620000006347254,0.0024379999990742363,1405.56883,2360.2801400000003
171,917.501688,966.430778,237,3767.864932,2,2,y15+1,b18,0.999999999999955,y+1,0.00950400000033369,0.00978600000030383,0.0014619999992646626,1834.0050400000002,1931.8439299999998
177,881.982424,1001.949824,262,3767.864496,2,2,y14+1,b19,0.999999999999955,y+1,0.01092200000016419,0.010768000000325628,0.001025999999455962,1762.9679300000003,2002.8810399999998
178,845.396306,1231.675462,267,3767.86438,3,1,b23,y10+1,0.999999999999955,y+1,0.011677999999847088,0.011948000000302272,0.0009099999992940866,2534.16156,1231.6874100000002
179,235.093728,1177.590897,269,3767.866419,1,3,y2+1,b31,0.999999999999955,y+1,0.018041999999979907,0.01981099999966318,0.002948999999262014,235.11176999999998,3530.7372000000005
181,409.736522,1474.196622,293,3767.8662879999997,2,2,y7+1,b26,0.999999999999955,y+1,0.01590600000008635,0.017543999999361404,0.002817999999024323,818.4811100000001,2947.3678600000003
183,759.833904,1124.0988,297,3767.8654079999997,2,2,b14,y19+1,0.999999999999955,y+1,0.007078000000092288,0.0063200000004144385,0.0019379999989723729,1518.6528899999998,2247.19608
187,646.749278,1237.183441,314,3767.865438,2,2,b12,y21+1,0.999999999999955,y+1,0.005945999999994456,0.005158000000847096,0.001967999999124004,1292.48477,2473.3642000000004
192,931.551515,945.437938,348,3767.865329,1,3,y8+1,b25,0.999999999999955,y+1,0.013655000000085238,0.014333999999962543,0.0018589999995128892,931.5651700000001,2834.2838
196,803.931349,1080.00184,381,3767.8663779999997,2,2,y13+1,b20,0.999999999999955,y+1,0.011962000000266926,0.013689999999769498,0.0029079999990244687,1606.8668200000002,2158.98215
205,348.178404,1139.896002,443,3767.8664099999996,1,3,y3+1,b30,0.999999999999955,y+1,0.017426000000000386,0.019185999999535852,0.0029399999989436765,348.19583,3417.6531400000003
