,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,deviation,charge_A,charge_B,adj_mass_A,adj_mass_B,explanation_A,deviation_A,theoretical_mass_A,explanation_B,deviation_B,theoretical_mass_B
0,930.911752,953.020518,68,3767.86454,1861.823504,1906.041036,0.020410000000083528,2,2,1860.815664,1905.033196,b17,0.00884400000018104,1860.8068199999998,y16,0.010385999999925843,1905.0228100000002
1,705.381744,1020.82773,86,3767.864934,705.381744,3062.48319,0.020804000000225642,1,3,705.381744,3060.46751,y6,0.004033999999933258,705.3777100000001,b27,0.015589999999519932,3060.4519200000004
2,476.274275,1097.1974,101,3767.866475,476.274275,3291.5922,0.022344999999859283,1,3,476.274275,3289.57652,y4,0.002824999999972988,476.27145,b29,0.018339999999625434,3289.5581800000004
3,577.322546,1063.513942,102,3767.864372,577.322546,3190.541826,0.02024200000005294,1,3,577.322546,3188.526146,y5,0.003415999999901942,577.3191300000001,b28,0.015645999999833293,3188.5105000000003
4,818.466536,983.1326,117,3767.864336,818.466536,2949.3978,0.02020600000014383,1,3,818.466536,2947.38212,y7,0.004765999999904125,818.4617700000001,b26,0.014259999999922002,2947.3678600000003
5,539.203433,1344.730161,212,3767.867188,1078.406866,2689.460322,0.02305800000021918,2,2,1077.399026,2688.4524819999997,b10,0.0048659999999927095,1077.39416,y23,0.017011999998885585,2688.435470000001
6,616.340608,1267.59262,218,3767.8664559999997,1232.681216,2535.18524,0.022325999999793567,2,2,1231.673376,2534.1773999999996,y10,0.005305999999791311,1231.6680700000002,b23,0.015839999999570864,2534.16156
7,703.291495,1180.641459,230,3767.8659079999998,1406.58299,2361.282918,0.02177799999981289,2,2,1405.5751500000001,2360.2750779999997,b13,0.006320000000187065,1405.56883,y20,0.014277999999194435,2360.2608000000005
8,917.501688,966.430778,237,3767.864932,1835.003376,1932.861556,0.020802000000003318,2,2,1833.995536,1931.853716,y15,0.009835999999722844,1833.9857000000002,b18,0.00978600000030383,1931.8439299999998
9,881.982424,1001.949824,262,3767.864496,1763.964848,2003.899648,0.020366000000194617,2,2,1762.957008,2002.891808,y14,0.008417999999892345,1762.9485900000002,b19,0.010768000000325628,2002.8810399999998
10,845.396306,1231.675462,267,3767.86438,2536.188918,1231.675462,0.020250000000032742,3,1,2534.173238,1231.675462,b23,0.011677999999847088,2534.16156,y10,0.007391999999754262,1231.6680700000002
11,235.093728,1177.590897,269,3767.866419,235.093728,3532.772691,0.02228900000000067,1,3,235.093728,3530.757011,y2,0.0012980000000197833,235.09242999999998,b31,0.01981099999966318,3530.7372000000005
12,409.736522,1474.196622,293,3767.8662879999997,819.473044,2948.393244,0.02215799999976298,2,2,818.465204,2947.3854039999997,y7,0.0034339999998564963,818.4617700000001,b26,0.017543999999361404,2947.3678600000003
