,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
29,379.730691,811.993239,49,4007.434338,2,4,y7,b30,0.0,Parent,0.0016619999998965795,0.008685999999670457,0.012707999999292952,758.4518800000001,3244.94075
32,542.829029,730.444069,54,4007.434334,2,4,y11,b26,0.0,Parent,0.002947999999832973,0.007395999999516789,0.01270399999930305,1084.6472700000002,2918.7453600000003
46,458.310365,709.825083,102,4007.4357799999993,1,5,y4,b33,0.0,Parent,0.0018549999999777356,0.009934999999131833,0.01414999999860811,458.30851,3545.0841200000004
62,559.35831,689.614975,159,4007.433185,1,5,y5,b32,0.0,Parent,0.002119999999877109,0.007074999999531428,0.011554999999134452,559.3561900000001,3444.0364400000003
71,280.182538,861.767638,222,4007.435628,2,4,y5,b32,0.0,Parent,0.0010459999999739011,0.010591999999633117,0.01399799999944662,559.3561900000001,3444.0364400000003
80,598.763944,1013.615054,338,4007.4347740000003,5,1,b27,y10,0.0,Parent,0.0058899999999084685,0.004893999999922016,0.0131439999995564,2989.7824700000006,1013.6101600000001
61,559.35831,689.614975,159,4007.433185,1,5,b4+3,b32,0.0,b+3,0.012280000000032487,0.007074999999531428,0.011554999999134452,559.37059,3444.0364400000003
70,280.182538,861.767638,222,4007.435628,2,4,b4+3,b32,0.0,b+3,0.013353999999935695,0.010591999999633117,0.01399799999944662,559.37059,3444.0364400000003
3,280.182538,862.018239,4,4008.438032,2,4,y5,b32+1,0.999999999999955,b+1,0.0010459999999739011,0.009645999999520427,0.01305199999933393,559.3561900000001,3445.0397900000003
4,379.730691,812.24398,5,4008.437302,2,4,y7,b30+1,0.999999999999955,b+1,0.0016619999998965795,0.008299999999508145,0.01232199999913064,758.4518800000001,3245.9441
13,458.310365,710.025373,18,4008.4372299999995,1,5,y4,b33+1,0.999999999999955,b+1,0.0018549999999777356,0.008034999999381398,0.012249999998857675,458.30851,3546.0874700000004
15,559.35831,689.81565,20,4008.43656,1,5,y5,b32+1,0.999999999999955,b+1,0.002119999999877109,0.00709999999980937,0.011579999999412394,559.3561900000001,3445.0397900000003
16,408.241512,797.988504,21,4008.4370400000003,2,4,y8,b29+1,0.999999999999955,b+1,0.001843999999891821,0.007855999999719643,0.012059999999564752,815.4733400000001,3188.9226400000002
17,315.701199,844.258842,27,4008.437766,2,4,y6,b31+1,0.999999999999955,b+1,0.0012579999998934,0.009167999999590393,0.012785999999323394,630.3933000000001,3374.00268
23,217.166711,758.253989,41,4008.436656,1,5,y2,b35+1,0.999999999999955,b+1,0.0008410000000083073,0.008474999999634747,0.011675999999170017,217.16586999999998,3787.2301100000004
24,229.658571,887.280393,43,4008.438714,2,4,y4,b33+1,0.999999999999955,b+1,0.0007919999999899119,0.010581999999430991,0.013733999999203661,458.30851,3546.0874700000004
28,542.829029,730.695037,48,4008.438206,2,4,y11,b26+1,0.999999999999955,b+1,0.002947999999832973,0.007917999999335734,0.013225999999121996,1084.6472700000002,2919.7487100000003
47,584.757286,1084.652373,112,4008.438803,5,1,b26+1,y11,0.999999999999955,b+1,0.006359999999858701,0.0051029999997354025,0.013822999999320018,2919.7487100000003,1084.6472700000002
55,598.964615,1013.615054,148,4008.4381289999997,5,1,b27+1,y10,0.999999999999955,b+1,0.0058949999993274105,0.004893999999922016,0.013148999998975341,2990.7858200000005,1013.6101600000001
72,649.996426,758.454663,224,4008.4367930000003,5,1,b30+1,y7,0.999999999999955,b+1,0.0066700000002128945,0.0027829999999084976,0.011812999999619933,3245.9441,758.4518800000001
83,507.310348,748.454142,401,4008.437264,2,4,y10,b27+1,0.999999999999955,b+1,0.0026959999999007778,0.007227999999486201,0.012283999999453954,1013.6101600000001,2990.7858200000005
2,280.182538,862.018239,4,4008.438032,2,4,b4+3,b32+1,0.999999999999955,"b+1, b+3",0.013353999999935695,0.009645999999520427,0.01305199999933393,559.37059,3445.0397900000003
14,559.35831,689.81565,20,4008.43656,1,5,b4+3,b32+1,0.999999999999955,"b+1, b+3",0.012280000000032487,0.00709999999980937,0.011579999999412394,559.37059,3445.0397900000003
40,280.684175,861.767638,75,4008.438902,2,4,b4+4,b32,0.999999999999955,b+4,0.013430000000084874,0.010591999999633117,0.013921999999183754,560.3739400000001,3444.0364400000003
37,649.795834,759.458454,71,4008.437624,5,1,b30,y7+1,0.999999999999955,y+1,0.00705999999991036,0.003223999999931948,0.012643999999454536,3244.94075,759.45523
38,458.277432,772.970593,72,4008.4372359999998,2,4,y9+1,b28,0.999999999999955,y+1,0.0019239999999172142,0.007971999999426771,0.0122559999990699,915.5451,3088.8508800000004
41,280.684175,861.767638,75,4008.438902,2,4,y5+1,b32,0.999999999999955,y+1,0.000969999999938409,0.010591999999633117,0.013921999999183754,560.35954,3444.0364400000003
44,598.763944,1014.618206,94,4008.4379260000005,5,1,b27,y10+1,0.999999999999955,y+1,0.0058899999999084685,0.004695999999967171,0.012945999999828928,2989.7824700000006,1014.61351
45,408.74309,797.737776,95,4008.437284,2,4,y8+1,b29,0.999999999999955,y+1,0.0016499999999268766,0.008293999999750667,0.012303999999403459,816.4766900000001,3187.9192900000003
63,316.202832,844.008192,163,4008.438432,2,4,y6+1,b31,0.999999999999955,y+1,0.0011739999999917927,0.009917999999743188,0.013451999999233522,631.39665,3372.99933
64,280.182538,745.848426,165,4009.424668,1,5,,,1.99999999999991,Parent+1 (Unannotated),,,0.003662000000531407,,
67,280.684175,862.018239,193,4009.4413059999997,2,4,b4+4,b32+1,1.99999999999991,"b+1, b+4",0.013430000000084874,0.009645999999520427,0.012975999999071064,560.3739400000001,3445.0397900000003
