,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
0,600.717014,1271.561877,4,4275.146946999999,5,1,y24,b12,0.0,Parent,0.011669999998957792,0.008057000000007974,0.022086999998464307,2999.5420400000007,1271.55382
26,636.283588,750.644745,56,4275.146156,2,4,b12,y24,0.0,Parent,0.005515999999943233,0.013419999998859566,0.02129599999898346,1271.55382,2999.5420400000007
32,543.251153,797.161047,65,4275.1464940000005,2,4,b10,y26,0.0,Parent,0.004695999999967171,0.014577999998891755,0.02163399999972171,1085.4897700000001,3185.606090000001
34,614.92451,1200.522782,70,4275.145332,5,1,y25,b11,0.0,Parent,0.0120399999991605,0.00607199999990371,0.020471999999244872,3070.579150000001,1200.51671
38,344.6702,896.451378,85,4275.145912,2,4,b6,y30,0.0,Parent,0.002530000000092514,0.01616199999853052,0.021051999999144755,688.33003,3582.765830000001
39,478.729596,829.42181,88,4275.1464320000005,2,4,b9,y27,0.0,Parent,0.0041720000000395885,0.015039999998862186,0.02157199999965087,956.44718,3314.648680000001
43,647.604255,842.364243,107,4275.145506,4,2,y20,b16,0.0,Parent,0.01085999999941123,0.007425999999895794,0.020645999999032938,2587.3826400000003,1683.71322
49,694.553748,802.377346,131,4275.146086000001,5,1,y29,b7,0.0,Parent,0.014479999999366555,0.004386000000067725,0.021225999999842315,3468.722900000001,802.3729599999999
60,684.809991,726.381031,178,4275.144106,2,4,b13,y23,0.0,Parent,0.005561999999827094,0.011323999999149237,0.01924599999892962,1368.6065800000001,2902.4892800000007
62,261.124746,802.804289,194,4275.146191000001,1,5,b2,y34,0.0,Parent,0.0014060000000313266,0.017564999999194697,0.021330999999918276,261.12334,4009.972520000001
80,450.218633,843.677297,369,4275.146454,2,4,b8,y28,0.0,Parent,0.003706000000079257,0.015527999998539599,0.021593999998913205,899.42572,3371.670140000001
15,543.752774,797.161047,34,4276.149736,2,4,b10+1,y26,0.999999999999955,b+1,0.004588000000012471,0.014577999998891755,0.021525999999539636,1086.49312,3185.606090000001
30,600.717014,1272.563667,63,4276.1487369999995,5,1,y24,b12+1,0.999999999999955,b+1,0.011669999998957792,0.00649699999985387,0.02052699999876495,2999.5420400000007,1272.55717
53,614.92451,1201.526429,144,4276.148979,5,1,y25,b11+1,0.999999999999955,b+1,0.0120399999991605,0.006368999999949665,0.02076899999883608,3070.579150000001,1201.52006
54,479.231065,829.42181,148,4276.14937,2,4,b9+1,y27,0.999999999999955,b+1,0.003760000000056607,0.015039999998862186,0.02115999999932683,957.45053,3314.648680000001
59,345.171709,896.451378,176,4276.14893,2,4,b6+1,y30,0.999999999999955,b+1,0.0021980000001349254,0.01616199999853052,0.020719999999528227,689.3333799999999,3582.765830000001
63,647.604255,842.865024,214,4276.147068,4,2,y20,b16+1,0.999999999999955,b+1,0.01085999999941123,0.005637999999862586,0.018857999999454478,2587.3826400000003,1684.71657
69,601.266495,768.404077,244,4276.149298,2,4,b11+1,y25,0.999999999999955,b+1,0.005089999999881911,0.01363799999899129,0.02108799999950861,1201.52006,3070.579150000001
2,543.251153,797.411735,7,4276.149246,2,4,b10,y26+1,0.999999999999955,y+1,0.004695999999967171,0.013979999998809944,0.02103599999918515,1085.4897700000001,3186.609440000001
4,694.754303,802.377346,16,4276.148861000001,5,1,y29+1,b7,0.999999999999955,y+1,0.013904999999340362,0.004386000000067725,0.020650999999816122,3469.726250000001,802.3729599999999
8,600.917622,1271.561877,22,4276.149987000001,5,1,y24+1,b12,0.999999999999955,y+1,0.011359999999513093,0.008057000000007974,0.021776999999929103,3000.5453900000007,1271.55382
9,344.6702,896.702145,23,4276.14898,2,4,b6,y30+1,0.999999999999955,y+1,0.002530000000092514,0.01587999999856038,0.020769999999174615,688.33003,3583.769180000001
13,647.854935,842.364243,32,4276.148225999999,4,2,y20+1,b16,0.999999999999955,y+1,0.010229999999410211,0.007425999999895794,0.020015999998577172,2588.38599,1683.71322
