,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
8,524.24656922,751.39342248,4.0,4281.21368162,524.24656922,3756.9671124,1.0,5.0,524.24656922,3752.9357524,1*m/z A + 5*m/z B,0.08157161999861273,0.0,,,,,,,,,,,5,1
7,601.11571138,615.59369936,7.0,4280.19991956,1202.23142276,3077.9684967999997,2.0,5.0,1201.22358276,3073.9371367999997,2*m/z A + 5*m/z B,0.06780955999875005,0.0,,,,,,,,,,,4,4
2,636.28850575,751.6441405,116.0,4279.1535735,1272.5770115,3006.576562,2.0,4.0,1271.5691715,3003.553042,2*m/z A + 4*m/z B,0.021463499998390034,0.0,0,0.015351499999951557,1271.55382,0.0,b12,+4,0.0023980000005394686,3003.5554400000005,4.0,y24,3,2
1,677.61105152,783.37078663,199.0,4277.18577934,2710.44420608,1566.74157326,4.0,2.0,2707.42068608,1565.73373326,4*m/z A + 2*m/z B,0.05366933999903267,0.0,+5,0.005643920000238722,2707.4263300000002,5.0,y21,,,,,,1,2
10,327.12987798,825.41677845,307.0,4283.05674774,981.3896339400001,3301.6671138,3.0,4.0,979.3739539400001,3298.6435938,3*m/z A + 4*m/z B,0.07536226000138413,0.0,,,,,,,,,,,7,2
9,688.29292924,726.62905082,485.0,4283.10206176,1376.58585848,2906.51620328,2.0,4.0,1375.57801848,2903.4926832799997,2*m/z A + 4*m/z B,0.03004824000163353,0.0,+7,0.052011519999950906,1375.63003,7.0,b13,+1,5.3279999065125594e-05,2903.4926300000006,1.0,y23,7,2
0,597.33310313,828.39009665,563.0,4277.169599340001,1791.9993093900002,2485.17028995,3.0,3.0,1789.9836293900003,2483.15460995,3*m/z A + 3*m/z B,0.03748933999941073,0.0,,,,,,,,,,,1,2
4,314.19012211,912.93020233,675.0,4280.10105354,628.38024422,3651.72080932,2.0,4.0,627.37240422,3648.69728932,2*m/z A + 4*m/z B,0.03105646000130946,0.0,+6,0.005625779999945735,627.37803,6.0,y4,,,,,,4,4
3,597.31256313,695.35301072,744.0,4279.2283895,3583.8753787799997,695.35301072,6.0,1.0,3578.8361787799995,695.35301072,6*m/z A + 1*m/z B,0.09627949999867269,0.0,,,,,,+7,0.0004692799999475028,695.35348,7.0,b6,3,2
6,592.11713778,727.38078087,840.0,4280.08360755,3552.70282668,727.38078087,6.0,1.0,3547.6636266799997,727.38078087,6*m/z A + 1*m/z B,0.04850245000125142,0.0,,,,,,+5,0.041579130000059195,727.42236,5.0,y5,4,4
5,601.52342941,636.28082275,989.0,4280.178792549999,3007.61714705,1272.5616455,5.0,2.0,3003.58578705,1271.5538055,5*m/z A + 2*m/z B,0.046682549997967726,0.0,+4,0.030347049999363662,3003.5554400000005,4.0,y24,0,1.4500000133921276e-05,1271.55382,0.0,b12,4,4
