Intensity Ranking,m/z A,Interpretation A,m/z B,Interpretation B,MassDeviation
9,879.400284,b9(1+),500.35751,y4(1+),0.02
13,622.296892,b7(1+),757.459964,y6(1+),0.023
21,629.400798,y5(1+),750.356579,b8(1+),0.023
40,978.468532,b10(1+),401.288606,y3(1+),0.022
50,428.21552,b5(1+),951.542184,y8(1+),0.019
120,187.07207,b2(1+),1192.687406,y11(1+),0.023
6276,740.43566,,639.323502,,
6536,690.381323,,689.378148,,
13058,1119.658134,,260.115028,,
18195,545.29526,,834.450797,,
21889,892.529211,,487.265969,,
23375,1080.604472,,299.172317,,
27325,1079.601577,y10(1+),300.156393,b3(1+),0.019
