,Ranking,m/z A,Interpretation A,error A,m/z B,Interpretation B,error B
29929,1,1204.639002,internal 3:14 (+1),-0.0069392,175.119605,y1 (+1),-0.00065283
15298,2,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,814.482029,y7 (+1),-0.00390064
2891,3,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,654.359227,y12 (+2),-0.00227641
8862,4,500.357482,y4 (+1),-0.00198796,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707
17377,5,629.40075,y5 (+1),-0.00266287,750.356517,internal 3:10 (+1),-0.00358916
2892,6,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,654.860832,y12 (+2) (C13),-0.00220399
28903,7,1008.563901,y9 (+1),-0.00539706,371.193813,internal 3:6 (+1),-0.00130197
30103,8,1205.641873,internal 3:14 (+1) (C13),-0.00645537,175.119605,y1 (+1),-0.00065283
15863,9,596.845575,y11 (+2),-0.00209592,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
9490,10,504.784561,y9 (+2),-0.0016708,599.30583,b6 (+1),-0.00231197
17034,11,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267,757.460091,y6 (+1),-0.00342636
11218,12,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775,540.30326,y10 (+2),-0.00181291
28736,13,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116,401.288604,y3 (+1),-0.00152387
29594,14,1091.55473,internal 3:13 (+1),-0.00673118,288.204002,y2 (+1),-0.00098585
14254,15,537.279979,internal 3:8-CO (+1),-0.00200701,814.482029,y7 (+1),-0.00390064
14317,16,540.30326,y10 (+2),-0.00181291,500.273383,b5-CO (+1),-0.00189337
28101,17,815.484834,y7 (+1) (C13),-0.00335081,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039
17270,18,629.40075,y5 (+1),-0.00266287,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435
28394,19,951.541865,y8 (+1),-0.00482478,428.215597,internal 3:7 (+1),-0.00162225
14297,20,540.30326,y10 (+2),-0.00181291,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
14491,21,540.804661,y10 (+2) (C13),-0.00153649,500.273383,b5-CO (+1),-0.00189337
5138,22,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273,597.346987,y11 (+2) (C13),-0.0018305
27976,23,814.482029,y7 (+1),-0.00390064,694.319024,internal 2:8 (+1),-0.0035443
27862,24,814.482029,y7 (+1),-0.00390064,397.19662,b8 (+2),-0.00103496
