,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
5117,666.376407,978.900162,1,666.376407,4894.5008100000005,5560.877217,1332.752814,3915.600648,5248.353462,1999.129221,2936.700486,4935.829707,2665.505628,1957.800324,4623.305952,3331.8820349999996,978.900162,4310.7821969999995,4581.977055,4269.4533,3956.929545,3644.40579
5136,666.376407,1016.594461,2,666.376407,5082.972305,5749.348712,1332.752814,4066.377844,5399.130658,1999.129221,3049.783383,5048.912604,2665.505628,2033.188922,4698.69455,3331.8820349999996,1016.594461,4348.476495999999,4732.754251,4382.536196999999,4032.318143,3682.100089
13238,654.637758,939.037334,3,654.637758,4695.18667,5349.824428,1309.275516,3756.149336,5065.424852,1963.913274,2817.112002,4781.025276,2618.551032,1878.074668,4496.6257,3273.1887899999997,939.037334,4212.226124,4410.787094,4126.387518,3841.9879419999997,3557.588366
12486,733.177995,781.957789,4,733.177995,3909.7889450000002,4642.96694,1466.35599,3127.831156,4594.187146,2199.533985,2345.873367,4545.407352,2932.71198,1563.915578,4496.627558,3665.889975,781.957789,4447.847764,3861.009151,3812.229357,3763.449563,3714.669769
37986,844.479543,860.163799,5,844.479543,4300.8189950000005,5145.298538000001,1688.959086,3440.655196,5129.6142820000005,2533.438629,2580.4913970000002,5113.930026,3377.918172,1720.327598,5098.24577,4222.397715,860.163799,5082.561514,4285.134739,4269.4504830000005,4253.766227,4238.0819710000005
8849,793.472878,1095.560097,6,793.472878,5477.800485,6271.273363,1586.945756,4382.240388,5969.186144,2380.418634,3286.680291,5667.098925,3173.891512,2191.120194,5365.011706,3967.36439,1095.560097,5062.924487,5175.713266000001,4873.626047,4571.538828000001,4269.451609
13366,654.637758,930.032178,7,654.637758,4650.16089,5304.798648,1309.275516,3720.128712,5029.404228,1963.913274,2790.0965340000002,4754.009808000001,2618.551032,1860.064356,4478.615388,3273.1887899999997,930.032178,4203.220968,4374.7664700000005,4099.37205,3823.9776300000003,3548.58321
5173,666.376407,921.549942,8,666.376407,4607.74971,5274.126117,1332.752814,3686.199768,5018.952582,1999.129221,2764.649826,4763.779047,2665.505628,1843.099884,4508.605512,3331.8820349999996,921.549942,4253.431976999999,4352.576175,4097.40264,3842.229105,3587.05557
22631,668.873562,971.559602,9,668.873562,4857.79801,5526.671572,1337.747124,3886.238408,5223.985532000001,2006.620686,2914.678806,4921.299492,2675.494248,1943.119204,4618.613452,3344.3678099999997,971.559602,4315.927412,4555.11197,4252.425929999999,3949.73989,3647.0538500000002
305194,715.376194,946.233183,10,715.376194,4731.1659150000005,5446.542109000001,1430.752388,3784.932732,5215.68512,2146.1285820000003,2838.699549,4984.828131,2861.504776,1892.466366,4753.971142,3576.88097,946.233183,4523.114153,4500.308926000001,4269.451937,4038.5949480000004,3807.737959
121260,723.889636,940.555947,11,723.889636,4702.779735,5426.669371,1447.779272,3762.223788,5210.00306,2171.668908,2821.667841,4993.336749,2895.558544,1881.111894,4776.670438,3619.44818,940.555947,4560.004127,4486.113424,4269.447113,4052.780802,3836.114491
208220,842.746238,898.464065,12,842.746238,4492.320325,5335.066562999999,1685.492476,3593.85626,5279.348736,2528.238714,2695.392195,5223.6309089999995,3370.984952,1796.92813,5167.913082,4213.7311899999995,898.464065,5112.195255,4436.602498,4380.884671,4325.166844,4269.449017
5183,666.376407,973.224866,13,666.376407,4866.124330000001,5532.500737,1332.752814,3892.899464,5225.652278,1999.129221,2919.674598,4918.803819,2665.505628,1946.449732,4611.95536,3331.8820349999996,973.224866,4305.106900999999,4559.275871,4252.427412,3945.578953,3638.730494
5170,666.376407,790.968382,14,666.376407,3954.84191,4621.218317,1332.752814,3163.873528,4496.626342,1999.129221,2372.905146,4372.034367,2665.505628,1581.936764,4247.442392,3331.8820349999996,790.968382,4122.850417,3830.249935,3705.65796,3581.065985,3456.47401
9556,825.733837,966.517736,15,825.733837,4832.58868,5658.322517,1651.467674,3866.070944,5517.5386180000005,2477.201511,2899.5532080000003,5376.7547190000005,3302.935348,1933.035472,5235.9708200000005,4128.669185,966.517736,5095.1869209999995,4691.804781,4551.020882000001,4410.236983000001,4269.453084
71565,801.4479,867.001259,16,801.4479,4335.006295,5136.454195,1602.8958,3468.005036,5070.900836,2404.3437,2601.003777,5005.347476999999,3205.7916,1734.002518,4939.794118,4007.2395,867.001259,4874.240759,4269.452936,4203.899577,4138.346218,4072.792859
76834,686.406933,1064.590801,17,686.406933,5322.9540050000005,6009.360938000001,1372.813866,4258.363204,5631.17707,2059.2207989999997,3193.772403,5252.993202,2745.627732,2129.181602,4874.809334,3432.034665,1064.590801,4496.625466,4944.770137,4566.586268999999,4188.402400999999,3810.218533
38077,844.479543,897.858176,18,844.479543,4489.29088,5333.770423,1688.959086,3591.432704,5280.39179,2533.438629,2693.574528,5227.013157,3377.918172,1795.716352,5173.634524,4222.397715,897.858176,5120.255891,4435.912247,4382.533614,4329.154981,4275.776348
