,m/z A,m/z B,Ranking,annotation A,annotation B
347,175.119605,1205.641873,8,y1 (+1),internal 3:14 (+1) (C13)
613,187.072039,596.845575,48,internal 3:4 (+1),y11 (+2)
856,195.08835,814.482029,25,internal 7:8 (+1),y7 (+1)
2248,266.125697,814.482029,33,internal 6:8 (+1),y7 (+1)
2892,300.156407,654.860832,6,b3 (+1),y12 (+2) (C13)
2893,300.156407,655.362039,44,b3 (+1),No Match
2950,300.156407,1008.563901,45,b6 (+2),y9 (+1)
3300,316.114992,1079.601791,43,internal 2:4 (+1),y10 (+1)
3473,371.193813,1009.566717,38,internal 3:6 (+1),y9 (+1) (C13)
3562,383.194391,540.30326,26,internal 2:5-H2O-CO (+1),y10 (+2)
4609,401.288604,554.258768,42,y3 (+1),internal 2:12 (+2)
4926,411.188975,504.784561,50,internal 2:5-H2O (+1),y9 (+2)
5128,415.183883,540.30326,20,b4 (+1),y10 (+2)
5129,415.183883,540.804661,27,b4 (+1),y10 (+2) (C13)
5138,415.183883,597.346987,22,b4 (+1),y11 (+2) (C13)
5311,416.187017,596.845575,49,b4 (+1) (C13),y11 (+2)
5732,428.215597,952.544553,47,internal 3:7 (+1),y8 (+1) (C13)
5824,429.1995,540.30326,28,internal 2:5 (+1),y10 (+2)
6840,482.226425,504.784561,39,internal 2:6-H2O (+1),y9 (+2)
7188,486.22122,504.784561,41,No Match,y9 (+2)
7990,494.237812,814.482029,30,internal 4:8 (+1),y7 (+1)
8608,500.273383,540.30326,16,b5-CO (+1),y10 (+2)
8609,500.273383,540.804661,21,b5-CO (+1),y10 (+2) (C13)
9424,504.784561,411.188975,50,y9 (+2),internal 2:5-H2O (+1)
9435,504.784561,482.226425,39,y9 (+2),internal 2:6-H2O (+1)
9437,504.784561,486.22122,41,y9 (+2),No Match
9664,505.285893,599.30583,35,y9 (+2) (C13),b6 (+1)
11219,528.268562,540.804661,32,b5 (+1),y10 (+2) (C13)
14254,537.279979,814.482029,15,internal 3:8-CO (+1),y7 (+1)
14288,540.30326,383.194391,26,y10 (+2),internal 2:5-HCOOH (+1)
14297,540.30326,415.183883,20,y10 (+2),b4 (+1)
14301,540.30326,429.1995,28,y10 (+2),internal 2:5 (+1)
14317,540.30326,500.273383,16,y10 (+2),b5-CO (+1)
14471,540.804661,415.183883,27,y10 (+2) (C13),b4 (+1)
14491,540.804661,500.273383,21,y10 (+2) (C13),b5-CO (+1)
14506,540.804661,528.268562,32,y10 (+2) (C13),b5 (+1)
14816,554.258768,401.288604,42,b11 (+2) / internal 2:12 (+2),y3 (+1)
15299,565.275177,815.484834,17,internal 3:8 (+1),y7 (+1) (C13)
15472,566.278227,814.482029,31,internal 3:8 (+1) (C13),y7 (+1)
15837,596.845575,187.072039,48,y11 (+2),internal 3:4 (+1)
15864,596.845575,416.187017,49,y11 (+2),b4 (+1) (C13)
16037,597.346987,415.183883,22,y11 (+2) (C13),b4 (+1)
16411,599.30583,505.285893,35,b6 (+1),y9 (+2) (C13)
17035,622.296933,758.462697,37,internal 3:9 (+1),y6 (+1) (C13)
17551,630.403825,750.356517,40,y5 (+1) (C13),internal 3:10 (+1)
18808,654.860832,300.156407,6,y12 (+2) (C13),b3 (+1)
18982,655.362039,300.156407,44,No Match,b3 (+1) / b6 (+2)
26374,750.356517,630.403825,40,internal 3:10 (+1),y5 (+1) (C13)
27415,758.462697,622.296933,37,y6 (+1) (C13),internal 3:9 (+1)
27844,814.482029,195.08835,25,y7 (+1),internal 7:8 (+1)
27852,814.482029,266.125697,33,y7 (+1),internal 6:8 (+1)
27885,814.482029,494.237812,30,y7 (+1),internal 4:8 (+1)
27921,814.482029,537.279979,15,y7 (+1),internal 3:8-CO (+1)
27928,814.482029,566.278227,31,y7 (+1),internal 3:8 (+1) (C13)
28101,815.484834,565.275177,17,y7 (+1) (C13),internal 3:8 (+1)
28568,952.544553,428.215597,47,y8 (+1) (C13),internal 3:7 (+1)
28900,1008.563901,300.156407,45,y9 (+1),b6 (+2)
29077,1009.566717,371.193813,38,y9 (+1) (C13),internal 3:6 (+1)
29250,1079.601791,316.114992,43,y10 (+1),internal 2:4 (+1)
30103,1205.641873,175.119605,8,internal 3:14 (+1) (C13),y1 (+1)
