,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
10,654.637758,939.037334,3.0,4496.6257,2618.551032,1878.074668,4.0,2.0,2615.5275119999997,1877.066828,4*m/z A + 2*m/z B,0.00687000000016269,0.0,0,0.0019519999996191473,2615.52556,0.0,y21,0,0.002558000000362881,1877.0642699999996,0.0,b16,parent,10
14,733.177995,781.957789,4.0,4496.627558,2932.71198,1563.915578,4.0,2.0,2929.68846,1562.907738,4*m/z A + 2*m/z B,0.008728000000701286,0.0,0,0.003889999999955762,2929.68457,0.0,y24,0,0.002478000000337488,1562.9052599999998,0.0,b13,parent,10
20,715.376194,946.233183,10.0,4500.308926000001,715.376194,3784.932732,1.0,4.0,715.376194,3781.909212,1*m/z A + 4*m/z B,0.30990399999882356,0.0,,,,,,,,,,,4,5
11,666.376407,790.968382,14.0,4496.626342,1332.752814,3163.873528,2.0,4.0,1331.744974,3160.850008,2*m/z A + 4*m/z B,0.007512000000133412,0.0,0,0.0020139999999173597,1331.74296,0.0,y11,0,0.0031380000000353903,3160.84687,0.0,b26,parent,10
8,686.406933,1064.590801,17.0,4496.625466,3432.034665,1064.590801,5.0,1.0,3428.003305,1064.590801,5*m/z A + 1*m/z B,0.006636000000980857,0.0,0,0.002165000000331929,3428.00114,0.0,y28,0,0.0021110000000135187,1064.58869,0.0,b9,parent,10
9,634.979443,1321.728383,20.0,4496.625598,3174.897215,1321.728383,5.0,1.0,3170.865855,1321.728383,5*m/z A + 1*m/z B,0.006768000000192842,0.0,0,0.0022650000000794535,3170.86359,0.0,y26,0,0.0021429999999327265,1321.72624,0.0,b11,parent,10
16,654.637758,939.044364,21.0,4496.63976,2618.551032,1878.088728,4.0,2.0,2615.5275119999997,1877.080888,4*m/z A + 2*m/z B,0.020930000000589644,0.0,0,0.0019519999996191473,2615.52556,0.0,y21,0,0.016618000000335087,1877.0642699999996,0.0,b16,parent,10
18,838.48984329,915.497183,22.0,4500.47857529,838.48984329,3661.988732,1.0,4.0,838.48984329,3658.9652119999996,1*m/z A + 4*m/z B,0.14025470999968093,0.0,,,,,,,,,,,4,5
15,729.434083,849.462751,23.0,4496.633166,3647.170415,849.462751,5.0,1.0,3643.139055,849.462751,5*m/z A + 1*m/z B,0.014336000000184868,0.0,0,0.010925000000497676,3643.1281299999996,0.0,y30,0,0.0010510000000749642,849.4617,0.0,b7,parent,10
12,703.813394,977.559428,24.0,4496.626398,3519.06697,977.559428,5.0,1.0,3515.03561,977.559428,5*m/z A + 1*m/z B,0.00756800000090152,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,0,0.0027680000000600558,977.55666,0.0,b8,parent,10
7,718.921486,810.469017,29.0,4496.623978,2875.685944,1620.938034,4.0,2.0,2872.6624239999996,1619.930194,4*m/z A + 2*m/z B,0.005148000000190223,0.0,0,0.0006860000003143796,2872.66311,0.0,y23,0,0.00347400000032394,1619.9267199999997,0.0,b14,parent,10
13,723.889636,762.211934,35.0,4496.627008,1447.779272,3048.847736,2.0,4.0,1446.771432,3045.824216,2*m/z A + 4*m/z B,0.008178000000953034,0.0,0,0.0015319999999974243,1446.7699,0.0,y12,0,0.0042860000003202,3045.8199299999997,0.0,b25,parent,10
32,864.89911003,868.10202207,61.0,4334.10428627,1729.79822006,2604.3060662099997,2.0,3.0,1728.79038006,2602.2903862099997,2*m/z A + 3*m/z B,0.47454372999982297,0.0,,,,,,,,,,,-162.04,4
6,711.742474,787.937478,71.0,4499.039856,2135.227422,2363.8124340000004,3.0,3.0,2133.211742,2361.7967540000004,3*m/z A + 3*m/z B,0.42102600000089296,0.0,,,,,,,,,,,2,2
34,816.07608403,973.224866,83.0,4237.52920212,3264.30433612,973.224866,4.0,1.0,3261.2808161199996,973.224866,4*m/z A + 1*m/z B,0.007372120000582072,0.0,(+5)-259.097,0.32789611999987756,3260.9529199999997,5.0,y29,,,,,,-259.097,4
35,816.07608403,973.224866,83.0,4237.52920212,3264.30433612,973.224866,4.0,1.0,3261.2808161199996,973.224866,4*m/z A + 1*m/z B,0.007372120000582072,0.0,(+6)-260.1,0.32789611999987756,3260.9529199999997,6.0,y29,,,,,,-259.097,4
0,729.093661,770.115183,93.0,4497.626532,2187.280983,2310.345549,3.0,3.0,2185.265303,2308.329869,3*m/z A + 3*m/z B,0.0077020000007905765,0.0,+1,0.0008729999999559368,2185.26443,1.0,y18,0,0.0011190000004717149,2308.3287499999997,0.0,b19,1,5
2,532.79875,858.01303,103.0,4497.64962,1065.5975,3432.05212,2.0,4.0,1064.58966,3429.0285999999996,2*m/z A + 4*m/z B,0.03079000000070664,0.0,0,0.0009700000000520959,1064.58869,0.0,b9,+1,0.024109999999836873,3429.00449,1.0,y28,1,5
37,845.28424703,856.521888,155.0,4237.65887612,3381.13698812,856.521888,4.0,1.0,3378.1134681199997,856.521888,4*m/z A + 1*m/z B,0.1370461200003774,0.0,(0)-265.117,0.10243811999998798,3378.0110299999997,0.0,y30,,,,,,-259.097,4
1,842.48611903,985.090646,159.0,4497.639649090001,2527.4583570900004,1970.181292,3.0,2.0,2525.4426770900004,1969.173452,3*m/z A + 2*m/z B,0.02081909000116866,0.0,+5,0.05529290999902514,2525.4979699999994,5.0,b21,,,,,,1,5
