,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
35,280.18253,861.767405,3,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
45,280.18253,861.767405,4,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
42,379.73068,811.9931300000001,5,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
21,280.18253,861.767405,7,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
15,379.73068,811.9931300000001,8,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
30,379.73068,811.9931300000001,9,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
61,458.3103799999999,709.8247000000001,12,458.3103799999999,3549.1235000000006,4007.4338800000005,916.6207599999998,2839.2988000000005,3755.9195600000003,1374.9311399999997,2129.4741000000004,3504.40524,1833.2415199999996,1419.6494000000002,3252.89092,2291.5518999999995,709.8247000000001,3001.3765999999996,3297.6091800000004,3046.09486,2794.58054,2543.0662199999997
34,315.70117999999997,844.008005,16,315.70117999999997,4220.040025,4535.741205,631.4023599999999,3376.03202,4007.43438,947.1035399999998,2532.024015,3479.127555,1262.8047199999999,1688.01601,2950.82073,1578.5058999999999,844.008005,2422.513905,3691.7332,3163.426375,2635.11955,2106.812725
74,458.3103799999999,709.8247000000001,18,458.3103799999999,3549.1235000000006,4007.4338800000005,916.6207599999998,2839.2988000000005,3755.9195600000003,1374.9311399999997,2129.4741000000004,3504.40524,1833.2415199999996,1419.6494000000002,3252.89092,2291.5518999999995,709.8247000000001,3001.3765999999996,3297.6091800000004,3046.09486,2794.58054,2543.0662199999997
72,559.35828,689.6149800000001,20,559.35828,3448.0749000000005,4007.4331800000004,1118.71656,2758.4599200000002,3877.17648,1678.0748400000002,2068.84494,3746.91978,2237.43312,1379.2299600000001,3616.6630800000003,2796.7914,689.6149800000001,3486.4063800000004,3317.8182,3187.5615,3057.3048000000003,2927.0481
38,408.2415299999999,797.737655,21,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
44,315.70117999999997,844.008005,27,315.70117999999997,4220.040025,4535.741205,631.4023599999999,3376.03202,4007.43438,947.1035399999998,2532.024015,3479.127555,1262.8047199999999,1688.01601,2950.82073,1578.5058999999999,844.008005,2422.513905,3691.7332,3163.426375,2635.11955,2106.812725
63,559.35828,689.6149800000001,28,559.35828,3448.0749000000005,4007.4331800000004,1118.71656,2758.4599200000002,3877.17648,1678.0748400000002,2068.84494,3746.91978,2237.43312,1379.2299600000001,3616.6630800000003,2796.7914,689.6149800000001,3486.4063800000004,3317.8182,3187.5615,3057.3048000000003,2927.0481
20,379.73068,811.9931300000001,37,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
73,217.16668,758.05332,41,217.16668,3790.2666,4007.4332799999997,434.33336,3032.21328,3466.54664,651.50004,2274.15996,2925.66,868.66672,1516.10664,2384.77336,1085.8334,758.05332,1843.88672,3249.3799599999998,2708.49332,2167.60668,1626.7200400000002
48,229.65858,887.0295550000001,43,229.65858,4435.147775,4664.806355000001,459.31716,3548.1182200000003,4007.4353800000004,688.97574,2661.088665,3350.064405,918.63432,1774.0591100000001,2692.6934300000003,1148.2929,887.0295550000001,2035.322455,3777.7768,3120.4058250000003,2463.03485,1805.6638750000002
33,542.33198,730.444205,44,542.33198,3652.221025,4194.553005,1084.66396,2921.77682,4006.44078,1626.9959400000002,2191.3326150000003,3818.3285550000005,2169.32792,1460.88841,3630.21633,2711.6599,730.444205,3442.1041050000003,3464.1088,3275.996575,3087.8843500000003,2899.7721250000004
87,559.35828,689.6149800000001,47,559.35828,3448.0749000000005,4007.4331800000004,1118.71656,2758.4599200000002,3877.17648,1678.0748400000002,2068.84494,3746.91978,2237.43312,1379.2299600000001,3616.6630800000003,2796.7914,689.6149800000001,3486.4063800000004,3317.8182,3187.5615,3057.3048000000003,2927.0481
46,542.33198,730.444205,48,542.33198,3652.221025,4194.553005,1084.66396,2921.77682,4006.44078,1626.9959400000002,2191.3326150000003,3818.3285550000005,2169.32792,1460.88841,3630.21633,2711.6599,730.444205,3442.1041050000003,3464.1088,3275.996575,3087.8843500000003,2899.7721250000004
3,379.73068,811.9931300000001,49,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
65,559.35828,689.6149800000001,50,559.35828,3448.0749000000005,4007.4331800000004,1118.71656,2758.4599200000002,3877.17648,1678.0748400000002,2068.84494,3746.91978,2237.43312,1379.2299600000001,3616.6630800000003,2796.7914,689.6149800000001,3486.4063800000004,3317.8182,3187.5615,3057.3048000000003,2927.0481
2,542.33198,730.444205,54,542.33198,3652.221025,4194.553005,1084.66396,2921.77682,4006.44078,1626.9959400000002,2191.3326150000003,3818.3285550000005,2169.32792,1460.88841,3630.21633,2711.6599,730.444205,3442.1041050000003,3464.1088,3275.996575,3087.8843500000003,2899.7721250000004
27,408.2415299999999,797.737655,63,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
14,408.2415299999999,797.737655,66,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
32,379.73068,811.9931300000001,68,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
31,408.2415299999999,797.737655,70,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
52,649.79576,758.45468,71,649.79576,3792.2734,4442.06916,1299.59152,3033.81872,4333.41024,1949.38728,2275.3640400000004,4224.75132,2599.18304,1516.90936,4116.0923999999995,3248.9788,758.45468,4007.4334799999997,3683.61448,3574.9555600000003,3466.29664,3357.6377199999997
39,457.77598,772.9704300000001,72,457.77598,3864.8521500000006,4322.628130000001,915.55196,3091.8817200000003,4007.43368,1373.3279400000001,2318.91129,3692.23923,1831.10392,1545.9408600000002,3377.04478,2288.8799,772.9704300000001,3061.85033,3549.6577,3234.46325,2919.2688000000003,2604.07435
80,584.5566200000001,1082.65598,74,584.5566200000001,5413.2798999999995,5997.83652,1169.1132400000001,4330.62392,5499.737160000001,1753.6698600000002,3247.96794,5001.6378,2338.2264800000003,2165.31196,4503.53844,2922.7831000000006,1082.65598,4005.4390800000006,4915.18054,4417.08118,3918.98182,3420.8824600000003
49,280.18253,861.767405,75,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
25,457.77598,772.9704300000001,86,457.77598,3864.8521500000006,4322.628130000001,915.55196,3091.8817200000003,4007.43368,1373.3279400000001,2318.91129,3692.23923,1831.10392,1545.9408600000002,3377.04478,2288.8799,772.9704300000001,3061.85033,3549.6577,3234.46325,2919.2688000000003,2604.07435
16,507.31033,748.203305,87,507.31033,3741.016525,4248.326855,1014.62066,2992.81322,4007.43388,1521.93099,2244.609915,3766.540905,2029.24132,1496.40661,3525.64793,2536.5516500000003,748.203305,3284.7549550000003,3500.1235500000003,3259.230575,3018.3376,2777.444625
53,598.76394,1013.61508,94,598.76394,5068.0754,5666.8393399999995,1197.52788,4054.46032,5251.9882,1796.2918200000001,3040.84524,4837.13706,2395.05576,2027.23016,4422.28592,2993.8197,1013.61508,4007.43478,4653.22426,4238.37312,3823.5219800000004,3408.67084
41,408.2415299999999,797.737655,95,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
7,458.3103799999999,709.8247000000001,102,458.3103799999999,3549.1235000000006,4007.4338800000005,916.6207599999998,2839.2988000000005,3755.9195600000003,1374.9311399999997,2129.4741000000004,3504.40524,1833.2415199999996,1419.6494000000002,3252.89092,2291.5518999999995,709.8247000000001,3001.3765999999996,3297.6091800000004,3046.09486,2794.58054,2543.0662199999997
55,584.5566200000001,1082.65598,112,584.5566200000001,5413.2798999999995,5997.83652,1169.1132400000001,4330.62392,5499.737160000001,1753.6698600000002,3247.96794,5001.6378,2338.2264800000003,2165.31196,4503.53844,2922.7831000000006,1082.65598,4005.4390800000006,4915.18054,4417.08118,3918.98182,3420.8824600000003
59,598.76394,1013.61508,113,598.76394,5068.0754,5666.8393399999995,1197.52788,4054.46032,5251.9882,1796.2918200000001,3040.84524,4837.13706,2395.05576,2027.23016,4422.28592,2993.8197,1013.61508,4007.43478,4653.22426,4238.37312,3823.5219800000004,3408.67084
84,458.3103799999999,709.8247000000001,119,458.3103799999999,3549.1235000000006,4007.4338800000005,916.6207599999998,2839.2988000000005,3755.9195600000003,1374.9311399999997,2129.4741000000004,3504.40524,1833.2415199999996,1419.6494000000002,3252.89092,2291.5518999999995,709.8247000000001,3001.3765999999996,3297.6091800000004,3046.09486,2794.58054,2543.0662199999997
58,584.5566200000001,1082.65598,131,584.5566200000001,5413.2798999999995,5997.83652,1169.1132400000001,4330.62392,5499.737160000001,1753.6698600000002,3247.96794,5001.6378,2338.2264800000003,2165.31196,4503.53844,2922.7831000000006,1082.65598,4005.4390800000006,4915.18054,4417.08118,3918.98182,3420.8824600000003
82,458.3103799999999,709.8247000000001,132,458.3103799999999,3549.1235000000006,4007.4338800000005,916.6207599999998,2839.2988000000005,3755.9195600000003,1374.9311399999997,2129.4741000000004,3504.40524,1833.2415199999996,1419.6494000000002,3252.89092,2291.5518999999995,709.8247000000001,3001.3765999999996,3297.6091800000004,3046.09486,2794.58054,2543.0662199999997
12,457.77598,772.9704300000001,138,457.77598,3864.8521500000006,4322.628130000001,915.55196,3091.8817200000003,4007.43368,1373.3279400000001,2318.91129,3692.23923,1831.10392,1545.9408600000002,3377.04478,2288.8799,772.9704300000001,3061.85033,3549.6577,3234.46325,2919.2688000000003,2604.07435
17,507.31033,748.203305,146,507.31033,3741.016525,4248.326855,1014.62066,2992.81322,4007.43388,1521.93099,2244.609915,3766.540905,2029.24132,1496.40661,3525.64793,2536.5516500000003,748.203305,3284.7549550000003,3500.1235500000003,3259.230575,3018.3376,2777.444625
28,507.31033,748.203305,147,507.31033,3741.016525,4248.326855,1014.62066,2992.81322,4007.43388,1521.93099,2244.609915,3766.540905,2029.24132,1496.40661,3525.64793,2536.5516500000003,748.203305,3284.7549550000003,3500.1235500000003,3259.230575,3018.3376,2777.444625
54,598.76394,1013.61508,148,598.76394,5068.0754,5666.8393399999995,1197.52788,4054.46032,5251.9882,1796.2918200000001,3040.84524,4837.13706,2395.05576,2027.23016,4422.28592,2993.8197,1013.61508,4007.43478,4653.22426,4238.37312,3823.5219800000004,3408.67084
88,458.3103799999999,709.8247000000001,151,458.3103799999999,3549.1235000000006,4007.4338800000005,916.6207599999998,2839.2988000000005,3755.9195600000003,1374.9311399999997,2129.4741000000004,3504.40524,1833.2415199999996,1419.6494000000002,3252.89092,2291.5518999999995,709.8247000000001,3001.3765999999996,3297.6091800000004,3046.09486,2794.58054,2543.0662199999997
69,280.18253,861.767405,158,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
6,559.35828,689.6149800000001,159,559.35828,3448.0749000000005,4007.4331800000004,1118.71656,2758.4599200000002,3877.17648,1678.0748400000002,2068.84494,3746.91978,2237.43312,1379.2299600000001,3616.6630800000003,2796.7914,689.6149800000001,3486.4063800000004,3317.8182,3187.5615,3057.3048000000003,2927.0481
47,315.70117999999997,844.008005,163,315.70117999999997,4220.040025,4535.741205,631.4023599999999,3376.03202,4007.43438,947.1035399999998,2532.024015,3479.127555,1262.8047199999999,1688.01601,2950.82073,1578.5058999999999,844.008005,2422.513905,3691.7332,3163.426375,2635.11955,2106.812725
86,280.18258,745.44708,165,280.18258,3727.2354,4007.41798,560.36516,2981.78832,3542.15348,840.54774,2236.34124,3076.88898,1120.73032,1490.89416,2611.62448,1400.9128999999998,745.44708,2146.3599799999997,3261.9709000000003,2796.7064,2331.4419,1866.1774
85,458.3103799999999,709.8247000000001,177,458.3103799999999,3549.1235000000006,4007.4338800000005,916.6207599999998,2839.2988000000005,3755.9195600000003,1374.9311399999997,2129.4741000000004,3504.40524,1833.2415199999996,1419.6494000000002,3252.89092,2291.5518999999995,709.8247000000001,3001.3765999999996,3297.6091800000004,3046.09486,2794.58054,2543.0662199999997
36,229.65858,887.0295550000001,184,229.65858,4435.147775,4664.806355000001,459.31716,3548.1182200000003,4007.4353800000004,688.97574,2661.088665,3350.064405,918.63432,1774.0591100000001,2692.6934300000003,1148.2929,887.0295550000001,2035.322455,3777.7768,3120.4058250000003,2463.03485,1805.6638750000002
37,280.18253,861.767405,193,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
19,408.2415299999999,797.737655,221,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
5,280.18253,861.767405,222,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
51,649.79576,758.45468,224,649.79576,3792.2734,4442.06916,1299.59152,3033.81872,4333.41024,1949.38728,2275.3640400000004,4224.75132,2599.18304,1516.90936,4116.0923999999995,3248.9788,758.45468,4007.4334799999997,3683.61448,3574.9555600000003,3466.29664,3357.6377199999997
68,379.73068,811.9931300000001,265,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
77,649.79576,758.45468,299,649.79576,3792.2734,4442.06916,1299.59152,3033.81872,4333.41024,1949.38728,2275.3640400000004,4224.75132,2599.18304,1516.90936,4116.0923999999995,3248.9788,758.45468,4007.4334799999997,3683.61448,3574.9555600000003,3466.29664,3357.6377199999997
70,280.18253,861.767405,303,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
11,457.77598,772.9704300000001,307,457.77598,3864.8521500000006,4322.628130000001,915.55196,3091.8817200000003,4007.43368,1373.3279400000001,2318.91129,3692.23923,1831.10392,1545.9408600000002,3377.04478,2288.8799,772.9704300000001,3061.85033,3549.6577,3234.46325,2919.2688000000003,2604.07435
8,598.76394,1013.61508,338,598.76394,5068.0754,5666.8393399999995,1197.52788,4054.46032,5251.9882,1796.2918200000001,3040.84524,4837.13706,2395.05576,2027.23016,4422.28592,2993.8197,1013.61508,4007.43478,4653.22426,4238.37312,3823.5219800000004,3408.67084
71,315.70117999999997,844.008005,377,315.70117999999997,4220.040025,4535.741205,631.4023599999999,3376.03202,4007.43438,947.1035399999998,2532.024015,3479.127555,1262.8047199999999,1688.01601,2950.82073,1578.5058999999999,844.008005,2422.513905,3691.7332,3163.426375,2635.11955,2106.812725
75,618.57762,914.54498,392,618.57762,4572.7249,5191.30252,1237.15524,3658.17992,4895.3351600000005,1855.73286,2743.63494,4599.3678,2474.31048,1829.08996,4303.40044,3092.8881,914.54498,4007.4330800000002,4276.7575400000005,3980.79018,3684.8228200000003,3388.85546
40,507.31033,748.203305,401,507.31033,3741.016525,4248.326855,1014.62066,2992.81322,4007.43388,1521.93099,2244.609915,3766.540905,2029.24132,1496.40661,3525.64793,2536.5516500000003,748.203305,3284.7549550000003,3500.1235500000003,3259.230575,3018.3376,2777.444625
18,379.73068,811.9931300000001,516,379.73068,4059.96565,4439.69633,759.46136,3247.9725200000003,4007.4338800000005,1139.19204,2435.9793900000004,3575.1714300000003,1518.92272,1623.9862600000001,3142.90898,1898.6534000000001,811.9931300000001,2710.64653,3627.7032000000004,3195.4407500000007,2763.1783,2330.9158500000003
