,m/z A,m/z B,Ranking,comp_1_m/z A,comp_4_m/z B,1*m/z A + 4*m/z B,comp_2_m/z A,comp_3_m/z B,2*m/z A + 3*m/z B,comp_3_m/z A,comp_2_m/z B,3*m/z A + 2*m/z B,comp_4_m/z A,comp_1_m/z B,4*m/z A + 1*m/z B,1*m/z A + 3*m/z B,2*m/z A + 2*m/z B,3*m/z A + 1*m/z B
2724041,731.19377777,1084.64851673,1,731.19377777,4338.59406692,5069.7878446899995,1462.38755554,3253.94555019,4716.33310573,2193.58133331,2169.29703346,4362.87836677,2924.77511108,1084.64851673,4009.4236278099997,3985.13932796,3631.684589,3278.22985004
2717902,730.94298875,1084.64851673,2,730.94298875,4338.59406692,5069.53705567,1461.8859775,3253.94555019,4715.83152769,2192.82896625,2169.29703346,4362.1259997100005,2923.771955,1084.64851673,4008.42047173,3984.88853894,3631.18301096,3277.47748298
2708686,730.69224573,1084.64851673,3,730.69224573,4338.59406692,5069.28631265,1461.38449146,3253.94555019,4715.330041650001,2192.07673719,2169.29703346,4361.37377065,2922.76898292,1084.64851673,4007.4174996499996,3984.63779592,3630.68152492,3276.72525392
1163376,665.42238076,892.19044005,4,665.42238076,3568.7617602,4234.18414096,1330.84476152,2676.5713201500002,4007.4160816700005,1996.26714228,1784.3808801,3780.64802238,2661.68952304,892.19044005,3553.8799630900003,3341.9937009100004,3115.22564162,2888.45758233
2717905,730.94298875,1085.65087081,5,730.94298875,4342.60348324,5073.54647199,1461.8859775,3256.95261243,4718.83858993,2192.82896625,2171.30174162,4364.13070787,2923.771955,1085.65087081,4009.42282581,3987.89560118,3633.18771912,3278.47983706
1723059,694.42227497,799.81809301,6,694.42227497,3199.27237204,3893.69464701,1388.84454994,2399.45427903,3788.29882897,2083.2668249099997,1599.63618602,3682.9030109299997,2777.68909988,799.81809301,3577.5071928899997,3093.8765540000004,2988.48073596,2883.0849179199995
1163378,665.42238076,892.52552908,7,665.42238076,3570.10211632,4235.5244970799995,1330.84476152,2677.5765872399998,4008.42134876,1996.26714228,1785.05105816,3781.3182004399996,2661.68952304,892.52552908,3554.21505212,3342.998968,3115.89581968,2888.79267136
148671,536.85350795,978.23735262,8,536.85350795,3912.94941048,4449.80291843,1073.7070159,2934.71205786,4008.41907376,1610.56052385,1956.47470524,3567.03522909,2147.4140318,978.23735262,3125.65138442,3471.5655658100004,3030.1817211400003,2588.79787647
2034877,705.92496085,1183.71377129,9,705.92496085,4734.85508516,5440.780046010001,1411.8499217,3551.14131387,4962.99123557,2117.7748825500003,2367.42754258,4485.202425130001,2823.6998434,1183.71377129,4007.41361469,4257.06627472,3779.2774642800005,3301.4886538400006
148668,536.85350795,977.90413459,10,536.85350795,3911.61653836,4448.47004631,1073.7070159,2933.71240377,4007.41941967,1610.56052385,1955.80826918,3566.3687930300002,2147.4140318,977.90413459,3125.31816639,3470.5659117200003,3029.51528508,2588.4646584399998
1170455,665.92444779,892.19044005,11,665.92444779,3568.7617602,4234.68620799,1331.84889558,2676.5713201500002,4008.4202157300006,1997.77334337,1784.3808801,3782.15422347,2663.69779116,892.19044005,3555.8882312100004,3342.4957679400004,3116.22977568,2889.9637834200003
171549,537.35610799,977.90413459,12,537.35610799,3911.61653836,4448.97264635,1074.71221598,2933.71240377,4008.42461975,1612.0683239700002,1955.80826918,3567.87659315,2149.42443196,977.90413459,3127.3285665500002,3471.06851176,3030.52048516,2589.97245856
1170453,665.92444779,891.85658203,13,665.92444779,3567.42632812,4233.35077591,1331.84889558,2675.56974609,4007.4186416700004,1997.77334337,1783.71316406,3781.48650743,2663.69779116,891.85658203,3555.55437319,3341.4941938800002,3115.5620596400004,2889.6299254
2051296,706.17594086,1184.72177837,14,706.17594086,4738.88711348,5445.06305434,1412.35188172,3554.1653351100003,4966.5172168300005,2118.52782258,2369.44355674,4487.97137932,2824.70376344,1184.72177837,4009.42554181,4260.34127597,3781.79543846,3303.24960095
2702540,730.44140272,1085.65087081,15,730.44140272,4342.60348324,5073.04488596,1460.88280544,3256.95261243,4717.83541787,2191.32420816,2171.30174162,4362.62594978,2921.76561088,1085.65087081,4007.41648169,3987.39401515,3632.18454706,3276.97507897
591784,601.37494387,934.88923931,16,601.37494387,3739.55695724,4340.93190111,1202.74988774,2804.66771793,4007.41760567,1804.12483161,1869.77847862,3673.90331023,2405.49977548,934.88923931,3340.38901479,3406.0426618,3072.5283663600003,2739.01407092
2296288,714.95639853,859.16708053,17,714.95639853,3436.66832212,4151.62472065,1429.91279706,2577.50124159,4007.4140386500003,2144.86919559,1718.33416106,3863.20335665,2859.82559412,859.16708053,3718.99267465,3292.45764012,3148.2469581200003,3004.03627612
3166985,748.45163909,1013.61126831,18,748.45163909,4054.44507324,4802.89671233,1496.90327818,3040.83380493,4537.73708311,2245.35491727,2027.22253662,4272.5774538900005,2993.80655636,1013.61126831,4007.41782467,3789.28544402,3524.1258147999997,3258.96618558
2315497,715.45818357,859.16708053,19,715.45818357,3436.66832212,4152.12650569,1430.91636714,2577.50124159,4008.41760873,2146.3745507099998,1718.33416106,3864.70871177,2861.83273428,859.16708053,3720.99981481,3292.95942516,3149.2505282,3005.54163124
2315494,715.45818357,858.83253251,20,715.45818357,3435.33013004,4150.78831361,1430.91636714,2576.49759753,4007.4139646699996,2146.3745507099998,1717.66506502,3864.0396157299997,2861.83273428,858.83253251,3720.66526679,3291.9557811,3148.58143216,3005.2070832199997
171552,537.35610799,978.23735262,21,537.35610799,3912.94941048,4450.305518470001,1074.71221598,2934.71205786,4009.4242738400003,1612.0683239700002,1956.47470524,3568.54302921,2149.42443196,978.23735262,3127.66178458,3472.0681658500002,3031.18692122,2590.30567659
599180,601.87567191,935.22361234,22,601.87567191,3740.89444936,4342.77012127,1203.75134382,2805.6708370200004,4009.4221808400007,1805.62701573,1870.44722468,3676.07424041,2407.50268764,935.22361234,3342.7262999800005,3407.5465089300005,3074.1985685,2740.8506280700003
1439908,676.40548759,885.20308052,23,676.40548759,3540.81232208,4217.21780967,1352.81097518,2655.6092415599996,4008.42021674,2029.21646277,1770.40616104,3799.62262381,2705.62195036,885.20308052,3590.8250308799998,3332.0147291499998,3123.2171362199997,2914.4195432899996
1723043,694.42227497,799.48371698,24,694.42227497,3197.93486792,3892.3571428900004,1388.84454994,2398.45115094,3787.29570088,2083.2668249099997,1598.96743396,3682.23425887,2777.68909988,799.48371698,3577.1728168600002,3092.87342591,2987.8119839,2882.75054189
171546,537.35610799,977.56952857,25,537.35610799,3910.27811428,4447.6342222700005,1074.71221598,2932.70858571,4007.42080169,1612.0683239700002,1955.13905714,3567.20738111,2149.42443196,977.56952857,3126.99396053,3470.0646937,3029.85127312,2589.63785254
599178,601.87567191,934.55495728,26,601.87567191,3738.21982912,4340.09550103,1203.75134382,2803.66487184,4007.4162156600005,1805.62701573,1869.10991456,3674.73693029,2407.50268764,934.55495728,3342.0576449200003,3405.5405437500003,3072.8612583800004,2740.18197301
516538,595.35452841,799.14970896,27,595.35452841,3196.59883584,3791.95336425,1190.70905682,2397.44912688,3588.1581837000003,1786.0635852299997,1598.29941792,3384.3630031499997,2381.41811364,799.14970896,3180.5678226,2992.8036552900003,2789.0084747399997,2585.21329419
2708689,730.69224573,1085.65087081,28,730.69224573,4342.60348324,5073.29572897,1461.38449146,3256.95261243,4718.33710389,2192.07673719,2171.30174162,4363.37847881,2922.76898292,1085.65087081,4008.41985373,3987.64485816,3632.68623308,3277.727608
