,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
169,476.274275,1097.865943,1,3769.872104,476.274275,3293.5978290000003,1,3,476.274275,3291.5821490000003,1*m/z A + 3*m/z B,0.027973999999176158,0.0,0,0.002824999999972988,476.27145,0.0,y4,+2,0.017268999999942025,3291.5648800000004,2.0,b29,2,101
324,476.274275,1098.199865,2,3770.8738700000004,476.274275,3294.599595,1,3,476.274275,3292.583915,1*m/z A + 3*m/z B,0.029739999999492284,0.0,0,0.002824999999972988,476.27145,0.0,y4,+3,0.015684999999848515,3292.5682300000003,3.0,b29,3,92
54,476.274275,1097.531602,3,3768.869081,476.274275,3292.594806,1,3,476.274275,3290.579126,1*m/z A + 3*m/z B,0.024950999998964107,0.0,0,0.002824999999972988,476.27145,0.0,y4,+1,0.017595999999684864,3290.5615300000004,1.0,b29,1,86
138,705.381744,1021.496318,4,3769.8706979999997,705.381744,3064.488954,1,3,705.381744,3062.473274,1*m/z A + 3*m/z B,0.026567999998860614,0.0,+3,0.0875540000000683,705.29419,3.0,b7,+2,0.014653999999609368,3062.4586200000003,2.0,b27,2,101
137,705.381744,1021.496318,4,3769.8706979999997,705.381744,3064.488954,1,3,705.381744,3062.473274,1*m/z A + 3*m/z B,0.026567999998860614,0.0,0,0.004033999999933258,705.3777100000001,0.0,y6,+2,0.014653999999609368,3062.4586200000003,2.0,b27,2,101
26,705.381744,1021.162037,5,3768.8678550000004,705.381744,3063.486111,1,3,705.381744,3061.470431,1*m/z A + 3*m/z B,0.02372499999955835,0.0,0,0.004033999999933258,705.3777100000001,0.0,y6,+1,0.015160999999807245,3061.4552700000004,1.0,b27,1,86
27,705.381744,1021.162037,5,3768.8678550000004,705.381744,3063.486111,1,3,705.381744,3061.470431,1*m/z A + 3*m/z B,0.02372499999955835,0.0,+3,0.0875540000000683,705.29419,3.0,b7,+1,0.015160999999807245,3061.4552700000004,1.0,b27,1,86
21,818.466536,983.46699,6,3768.867506,818.466536,2950.40097,1,3,818.466536,2948.38529,1*m/z A + 3*m/z B,0.023375999999188934,0.0,+1,0.1521060000001171,818.3144299999999,1.0,b8,0,0.13326000000051863,2948.5185500000007,0.0,y25,1,86
22,818.466536,983.46699,6,3768.867506,818.466536,2950.40097,1,3,818.466536,2948.38529,1*m/z A + 3*m/z B,0.023375999999188934,0.0,+1,0.1521060000001171,818.3144299999999,1.0,b8,+1,0.01407999999992171,2948.3712100000002,1.0,b26,1,86
19,818.466536,983.46699,6,3768.867506,818.466536,2950.40097,1,3,818.466536,2948.38529,1*m/z A + 3*m/z B,0.023375999999188934,0.0,0,0.004765999999904125,818.4617700000001,0.0,y7,0,0.13326000000051863,2948.5185500000007,0.0,y25,1,86
20,818.466536,983.46699,6,3768.867506,818.466536,2950.40097,1,3,818.466536,2948.38529,1*m/z A + 3*m/z B,0.023375999999188934,0.0,0,0.004765999999904125,818.4617700000001,0.0,y7,+1,0.01407999999992171,2948.3712100000002,1.0,b26,1,86
