m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
881.98258	1001.94933	17212.801	16918.018	221.19513	262	3561.547119	4125.115234	881.982424	1001.949824	2.0	2.0	ffc_line
930.91193	953.02053	34252.322	34126.873	397.37224	68	4969.979004	4884.22998	930.911752	953.020518	2.0	2.0	ffc_line
917.5017300000001	966.43068	22390.794	21829.022	231.66645	237	5320.276367	5463.108398	917.501688	966.430778	2.0	2.0	ffc_line
759.83388	1124.09843	26443.217	25361.999	209.32787	297	7927.807617	7323.821777	759.833904	1124.0988	2.0	2.0	ffc_line
646.74928	1237.18343	35023.561	34205.224	205.37969	314	16213.923828	6773.901855	646.749278	1237.183441	2.0	2.0	ffc_line
672.88318	1211.04918	8255.2867	8350.4101	147.47339	1246	2295.927734	6073.449219	672.883173	1211.04955	2.0	2.0	ffc_line
817.34763	1066.5843300000001	4212.2222	4197.2487	141.24148	1533	1804.338135	1697.49646	817.347653	1066.58517	2.0	2.0	ffc_line
746.41768	1137.5145300000001	4729.9931	4707.3261	148.09219	1210	986.347534	3617.781494	746.417687	1137.515261	2.0	2.0	ffc_line
703.2914800000001	1180.64118	83433.179	74143.181	234.90879	230	20966.744141	22465.208984	703.291495	1180.641459	2.0	2.0	ffc_line
596.22508	1287.70728	7549.2426	7566.8582	156.54287	901	3311.194092	2489.5625	596.225094	1287.707999	2.0	2.0	ffc_line
409.73652999999996	1474.19758	17305.033	16903.838	209.9318	293	6735.814941	3795.952148	409.736522	1474.196622	2.0	2.0	ffc_line
803.93133	1080.00108	5976.2382	5876.6615	192.27527	381	1027.800537	2946.31665	803.931349	1080.00184	2.0	2.0	ffc_line
616.34063	1267.59228	42652.506	42078.243	243.46406	218	10128.149414	11668.063477	616.340608	1267.59262	2.0	2.0	ffc_line
539.20343	1344.73033	20021.242	20048.678	247.85448	212	4804.693359	3652.852051	539.203433	1344.730161	2.0	2.0	ffc_line
818.46658	983.1325466666666	439041.41	351086.23	334.41881	117	100917.226563	63999.660156	818.466536	983.1326	1.0	3.0	ffc_line
577.32258	1063.5141133333334	160179.43	144438.56	353.02116	102	76625.296875	14426.735352	577.322546	1063.513942	1.0	3.0	ffc_line
705.38178	1020.82758	389887.21	324499.86	372.59248	86	88190.265625	54551.472656	705.381744	1020.82773	1.0	3.0	ffc_line
931.5514800000001	945.4378133333333	68978.932	64375.909	197.60331	348	21863.859375	30176.328125	931.551515	945.437938	1.0	3.0	ffc_line
348.17838	1139.8954800000001	313432.6	208262.55	183.14002	443	130760.367188	71698.328125	348.178404	1139.896002	1.0	3.0	ffc_line
235.09368	1177.5902466666666	9481936.4	1712485.5	218.52434	269	1354781.625	488503.5625	235.093728	1177.590897	1.0	3.0	ffc_line
476.27428	1097.1970466666667	354122.51	290967.41	355.68252	101	98392.0625	43545.941406	476.274275	1097.1974	1.0	3.0	ffc_line
235.10268000000002	1177.5902466666666	257454.96	64747.205	147.78631	1221	8804.308594	488503.5625	235.10267	1177.590897	1.0	3.0	ffc_line
