m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
536.95988	536.95988	8639279.3	8142025.0	181.1445	302	1231.341064	18498.279297	535.955778	536.959897	2.0	1.0	ffc_line
603.79313	401.28857999999997	4666969.1	4393455.1	340.37291	27	1081.730591	7515.183105	603.793117	401.288604	2.0	1.0	ffc_line
654.35923	300.15637999999996	355823770.0	262187790.0	1054.3404	3	108949.34375	33528.605469	654.359227	300.156407	2.0	1.0	ffc_line
504.78458	599.30588	35258126.0	34052411.0	855.57282	10	31507.433594	2404.958496	504.784561	599.30583	2.0	1.0	ffc_line
489.73713	629.40078	12210012.0	11947537.0	680.04937	18	1868.962158	6271.913086	489.73711	629.40075	2.0	1.0	ffc_line
554.25878	500.35747999999995	12599756.0	12131174.0	509.88637	34	2905.465332	7123.803223	554.258768	500.357482	2.0	1.0	ffc_line
596.84558	415.18388	140359140.0	117995480.0	856.04609	9	61967.726563	16149.670898	596.845575	415.183883	2.0	1.0	ffc_line
540.3032800000001	528.26858	82621553.0	72492860.0	769.61895	12	81014.875	5624.222656	540.30326	528.268562	2.0	1.0	ffc_line
425.70758	757.4600800000001	5494036.1	5480694.2	504.10249	36	750.10376	3421.105713	425.707564	757.460091	2.0	1.0	ffc_line
397.19662999999997	814.48198	23986377.0	22596088.0	587.5463	24	2682.680664	21098.802734	397.19662	814.482029	2.0	1.0	ffc_line
300.15643	1008.56388	29964863.0	23470978.0	417.0046	45	33528.605469	9142.976563	300.156407	1008.563901	2.0	1.0	ffc_line
536.95988	536.95988	8639279.3	8142025.0	181.1445	302	18498.279297	1231.341064	536.959897	535.955778	1.0	2.0	ffc_line
401.28857999999997	603.79313	4666969.1	4393455.1	340.37291	27	7515.183105	1081.730591	401.288604	603.793117	1.0	2.0	ffc_line
300.15637999999996	654.35923	355823770.0	262187790.0	1054.3404	3	33528.605469	108949.34375	300.156407	654.359227	1.0	2.0	ffc_line
599.30588	504.78458	35258126.0	34052411.0	855.57282	10	2404.958496	31507.433594	599.30583	504.784561	1.0	2.0	ffc_line
629.40078	489.73713	12210012.0	11947537.0	680.04937	18	6271.913086	1868.962158	629.40075	489.73711	1.0	2.0	ffc_line
500.35747999999995	554.25878	12599756.0	12131174.0	509.88637	34	7123.803223	2905.465332	500.357482	554.258768	1.0	2.0	ffc_line
415.18388	596.84558	140359140.0	117995480.0	856.04609	9	16149.670898	61967.726563	415.183883	596.845575	1.0	2.0	ffc_line
528.26858	540.3032800000001	82621553.0	72492860.0	769.61895	12	5624.222656	81014.875	528.268562	540.30326	1.0	2.0	ffc_line
757.4600800000001	425.70758	5494036.1	5480694.2	504.10249	36	3421.105713	750.10376	757.460091	425.707564	1.0	2.0	ffc_line
814.48198	397.19662999999997	23986377.0	22596088.0	587.5463	24	21098.802734	2682.680664	814.482029	397.19662	1.0	2.0	ffc_line
1008.56388	300.15643	29964863.0	23470978.0	417.0046	45	9142.976563	33528.605469	1008.563901	300.156407	1.0	2.0	ffc_line
757.4600800000001	622.2969800000001	9890456.1	9814625.0	791.69203	11	3421.105713	1524.513184	757.460091	622.296933	1.0	1.0	ffc_line
622.2969800000001	757.4600800000001	9890456.1	9814625.0	791.69203	11	1524.513184	3421.105713	622.296933	757.460091	1.0	1.0	ffc_line
565.2751800000001	814.48198	58626208.0	56005207.0	1164.3594	2	7124.077148	21098.802734	565.275177	814.482029	1.0	1.0	ffc_line
814.48198	565.2751800000001	58626208.0	56005207.0	1164.3594	2	21098.802734	7124.077148	814.482029	565.275177	1.0	1.0	ffc_line
500.35747999999995	879.3997800000001	19982228.0	19730374.0	1001.3959	4	7123.803223	2645.866943	500.357482	879.399748	1.0	1.0	ffc_line
879.3997800000001	500.35747999999995	19982228.0	19730374.0	1001.3959	4	2645.866943	7123.803223	879.399748	500.357482	1.0	1.0	ffc_line
750.35648	629.40078	15557810.0	15374329.0	938.70762	5	1653.093994	6271.913086	750.356517	629.40075	1.0	1.0	ffc_line
629.40078	750.35648	15557810.0	15374329.0	938.70762	5	6271.913086	1653.093994	629.40075	750.356517	1.0	1.0	ffc_line
951.54188	428.21558	7178952.0	7105385.0	662.22646	19	4298.900879	1113.214722	951.541865	428.215597	1.0	1.0	ffc_line
428.21558	951.54188	7178952.0	7105385.0	662.22646	19	1113.214722	4298.900879	428.215597	951.541865	1.0	1.0	ffc_line
1008.56388	371.19378	18755287.0	18322403.0	908.68617	7	9142.976563	2637.109131	1008.563901	371.193813	1.0	1.0	ffc_line
371.19378	1008.56388	18755287.0	18322403.0	908.68617	7	2637.109131	9142.976563	371.193813	1008.563901	1.0	1.0	ffc_line
978.46918	401.28857999999997	13326942.0	13038379.0	754.01907	13	2100.085938	7515.183105	978.469136	401.288604	1.0	1.0	ffc_line
401.28857999999997	978.46918	13326942.0	13038379.0	754.01907	13	7515.183105	2100.085938	401.288604	978.469136	1.0	1.0	ffc_line
175.11958	1204.63898	25244833.0	25084756.0	1273.9226	1	8633.249023	2382.019531	175.119605	1204.639002	1.0	1.0	ffc_line
1204.63898	175.11958	25244833.0	25084756.0	1273.9226	1	2382.019531	8633.249023	1204.639002	175.119605	1.0	1.0	ffc_line
288.20398	1091.55468	5934173.9	5893840.8	723.18234	14	3243.247559	1144.434814	288.204002	1091.55473	1.0	1.0	ffc_line
1091.55468	288.20398	5934173.9	5893840.8	723.18234	14	1144.434814	3243.247559	1091.55473	288.204002	1.0	1.0	ffc_line
528.26858	540.3032800000001	16135360.0	14313333.0	349.48618	58	1108.264771	81014.875	529.270973	540.30326	1.0	2.0	ffc_line
500.35747999999995	554.25878	5832654.0	5750326.6	381.96776	52	7123.803223	1102.149048	500.357482	554.760058	1.0	2.0	ffc_line
599.30588	504.78458	13017136.0	12710676.0	504.8385	35	2404.958496	10414.665039	599.30583	505.285893	1.0	2.0	ffc_line
757.4600800000001	425.70758	2321617.4	2317749.6	290.09302	77	906.667358	750.10376	758.462697	425.707564	1.0	2.0	ffc_line
415.18388	596.84558	63399831.0	55198319.0	607.5346	22	16149.670898	25816.384766	415.183883	597.346987	1.0	2.0	ffc_line
528.26858	540.3032800000001	35356769.0	31223297.0	526.94676	32	5624.222656	29821.267578	528.268562	540.804661	1.0	2.0	ffc_line
229.11908	689.87773	349357700.0	53391892.0	128.97352	911	17446.246094	747632.125	230.122528	689.877751	1.0	2.0	ffc_line
629.40078	489.73713	2294164.0	2240790.0	305.78531	72	1328.932983	1868.962158	630.403825	489.73711	1.0	2.0	ffc_line
300.15637999999996	654.35923	194805700.0	152553350.0	913.39267	6	33528.605469	48794.230469	300.156407	654.860832	1.0	2.0	ffc_line
814.48198	397.19662999999997	6746229.0	6471866.2	332.31445	63	5392.56543	2682.680664	815.484834	397.19662	1.0	2.0	ffc_line
415.18388	596.84558	21470963.0	18389750.0	395.01794	49	1903.160034	61967.726563	416.187017	596.845575	1.0	2.0	ffc_line
300.15637999999996	654.35923	23093398.0	14838616.0	238.1415	119	2384.458984	108949.34375	301.159861	654.359227	1.0	2.0	ffc_line
1008.56388	300.15643	11133347.0	8090090.7	252.4677	100	3074.820557	33528.605469	1009.566717	300.156407	1.0	2.0	ffc_line
645.35428	482.26277999999996	710655.96	660239.24	126.28223	971	1911.971924	798.843811	645.354248	482.262768	1.0	2.0	ffc_line
690.3793800000001	460.25403	3258616.7	3219443.9	156.30633	521	3346.073486	1506.11792	689.374307	460.254049	1.0	2.0	ffc_line
540.3032800000001	528.26858	16135360.0	14313333.0	349.48618	58	81014.875	1108.264771	540.30326	529.270973	2.0	1.0	ffc_line
554.25878	500.35747999999995	5832654.0	5750326.6	381.96776	52	1102.149048	7123.803223	554.760058	500.357482	2.0	1.0	ffc_line
504.78458	599.30588	13017136.0	12710676.0	504.8385	35	10414.665039	2404.958496	505.285893	599.30583	2.0	1.0	ffc_line
425.70758	757.4600800000001	2321617.4	2317749.6	290.09302	77	750.10376	906.667358	425.707564	758.462697	2.0	1.0	ffc_line
596.84558	415.18388	63399831.0	55198319.0	607.5346	22	25816.384766	16149.670898	597.346987	415.183883	2.0	1.0	ffc_line
540.3032800000001	528.26858	35356769.0	31223297.0	526.94676	32	29821.267578	5624.222656	540.804661	528.268562	2.0	1.0	ffc_line
689.87773	229.11908	349357700.0	53391892.0	128.97352	911	747632.125	17446.246094	689.877751	230.122528	2.0	1.0	ffc_line
489.73713	629.40078	2294164.0	2240790.0	305.78531	72	1868.962158	1328.932983	489.73711	630.403825	2.0	1.0	ffc_line
654.35923	300.15637999999996	194805700.0	152553350.0	913.39267	6	48794.230469	33528.605469	654.860832	300.156407	2.0	1.0	ffc_line
397.19662999999997	814.48198	6746229.0	6471866.2	332.31445	63	2682.680664	5392.56543	397.19662	815.484834	2.0	1.0	ffc_line
596.84558	415.18388	21470963.0	18389750.0	395.01794	49	61967.726563	1903.160034	596.845575	416.187017	2.0	1.0	ffc_line
654.35923	300.15637999999996	23093398.0	14838616.0	238.1415	119	108949.34375	2384.458984	654.359227	301.159861	2.0	1.0	ffc_line
300.15643	1008.56388	11133347.0	8090090.7	252.4677	100	33528.605469	3074.820557	300.156407	1009.566717	2.0	1.0	ffc_line
482.26277999999996	645.35428	710655.96	660239.24	126.28223	971	798.843811	1911.971924	482.262768	645.354248	2.0	1.0	ffc_line
460.25403	690.3793800000001	3258616.7	3219443.9	156.30633	521	1506.11792	3346.073486	460.254049	689.374307	2.0	1.0	ffc_line
622.2969800000001	757.4600800000001	3024331.3	3002347.8	483.55703	37	1524.513184	906.667358	622.296933	758.462697	1.0	1.0	ffc_line
