Intensity Ranking,m/z A,Interpretation A,m/z B,Interpretation B,MassDeviation
1,666.352264,b5(1+),610.345257,y11(2+),0.025
2,371.204938,y3(1+),1238.685321,bi(3-13)(1+),0.029
3,406.198635,b3(1+),740.422212,y13(2+),0.028
4,1125.600158,bi(3-12)(1+),484.289815,y4(1+),0.028
5,553.267801,b4(1+),610.345257,y11(2+),0.025
6,592.263309,bi(3-7)(1+),1017.625987,y9(1+),0.044
7,1375.747118,bi(3-14)(1+),234.145596,y2(1+),0.043
8,753.384857,b6(1+),566.829179,y10(2+),0.021
9,525.272787,a4(1+),666.887673,y12(2+),0.023
10,406.198635,b3(1+),667.389099,bi(4-15)(2+),0.002
11,583.358572,y5(1+),1026.530455,bi(3-11)(1+),0.029
12,666.887673,y12(2+),553.267801,b4(1+),0.022
13,1052.535457,b9(1+),720.418255,y6(1+),0.052
14,484.289815,y4(1+),996.5556,bi(4-12)(1+),0.032
15,720.418255,y6(1+),889.47034,bi(3-10)(1+),0.052
16,1219.686731,y11(1+),277.119219,b4(2+),0.048
17,638.358436,a5(1+),610.345257,y11(2+),0.026
18,833.502863,y7(1+),776.385838,bi(3-9)(1+),0.047
19,234.145596,y2(1+),826.449145,b14(2+),0.021
20,753.384857,b6(1+),567.33049,bi(7-12)-2(H2O)-(HCOOH)(1+),0.04
21,868.412412,b7(1+),509.315401,y9(2+),0.025
22,371.204938,y3(1+),1109.641372,bi(4-13)(1+),0.031
23,500.273503,bi(6-10)(1+),720.418255,y6(1+),0.052
24,1246.702707,bi(4-14)(1+),234.145596,y2(1+),0.047
25,897.486911,bi(4-11)(1+),583.358572,y5(1+),0.032
26,1052.535457,b9(1+),360.712177,y6(2+),0.028
27,583.358572,y5(1+),651.842229,b11(2+),0.023
28,610.345257,y11(2+),344.197892,a3-2(NH3)(1+),0.063
29,663.300913,bi(3-8)(1+),946.587983,y8(1+),0.042
30,610.345257,y11(2+),621.33067,a5-(NH3)(1+),0.027
31,583.358572,y5(1+),637.333082,bi(6-11)(1+),0.034
32,647.342401,bi(4-9)(1+),833.502863,y7(1+),0.047
33,484.289815,y4(1+),736.402101,b6-(NH3)(1+),0.047
34,372.192968,b3-2(NH3)(1+),610.345257,y11(2+),0.058
35,1132.654161,y10(1+),477.236088,bi(3-6)(1+),0.046
36,804.943757,y14(2+),249.16054,a2(1+),0.026
37,459.22547,bi(3-6)-(H2O)(1+),566.829179,y10(2+),0.022
38,566.829179,y10(2+),735.374533,b6-(H2O)(1+),0.021
39,233.165507,ai(4-5)(1+),1219.686731,y11(1+),0.044
40,740.422212,y13(2+),243.134699,bi(2-3)(1+),0.028
41,735.374533,b6-(H2O)(1+),567.33049,bi(7-12)-2(H2O)-(HCOOH)(1+),0.04
42,1220.689442,bi(3-13)-(H2O)(1+),277.119219,b2(1+),0.041
43,484.289815,y4(1+),849.486505,bi(5-12)(1+),0.031
44,387.188739,bi(6-9)(1+),833.502863,y7(1+),0.047
45,249.124257,a2(1+),1332.771603,y12(1+),0.052
46,372.208283,b3-2(NH3)(1+),1239.687907,ai(4-15)-2(H2O)-(HCOH)(1+),0.092
47,249.124257,a2(1+),666.887673,y12(2+),0.042
48,503.288248,bi(2-5)(1+),610.345257,y11(2+),0.025
49,484.289815,y4(1+),701.376735,b12(2+),0.024
50,360.712177,y6(2+),939.450318,b8(1+),0.028
